N	3gram	Savitsky_P_1	KulturaY
1	и т д	1	14
2	в том что	4	10
3	с точки зрения	3	8
4	для того чтобы	1	8
5	с другой стороны	1	7
6	в этом смысле	1	5
7	во всяком случае	1	5
8	само по себе	1	5
9	не только в	4	4
10	не может быть	1	4
11	то же время	7	3
12	в то же	7	3
13	хотя бы и	1	2
14	вместе с тем	1	2
15	так же как	1	2
16	в отличие от	1	2
17	но также и	1	2
18	мы знаем что	1	2
19	том что в	1	1
20	не более как	1	1
21	чуть ли не	1	1
22	собою как бы	1	1
23	в настоящее время	1	1
24	и не только	2	1
25	возможно также что	1	1
26	тот или иной	1	1
27	можно говорить о	1	1
28	не было бы	1	1
29	совершенно ясно что	1	1
30	тех пор пока	1	1
31	и то что	1	1
32	и в частности	1	1
33	не в области	1	1
34	все это в	1	1
35	сами по себе	3	1
36	в противоречии с	1	1
37	с одной стороны	3	1
38	другой стороны есть	1	1
39	в известном смысле	1	1
40	такова же судьба	1	1
41	по сравнению с	1	1
42	не в том	1	1
43	в каком смысле	1	1
44	вслед за тем	1	1
45	т д не	1	1
46	до тех пор	1	1
47	почти исключительно на	1	1
48	заключается в том	2	1
49	в большинстве случаев	1	1
50	эти могут быть	1	1
51	то главным образом	1	1
52	эта не только	1	1
53	как оно есть	1	1
