N	3gram	Tiupa_Vved_1	Tragedij
1	то же время	3	5
2	в то же	4	5
3	в отличие от	2	2
4	в данном случае	6	2
5	о том что	4	2
6	и в самом	1	2
7	в том что	3	2
8	и он в	1	1
9	в этом случае	1	1
10	в этом мире	1	1
11	в литературе это	1	1
12	у него нет	1	1
13	может быть не	3	1
14	а стало быть	1	1
15	во всяком случае	1	1
16	в высшей степени	2	1
17	объясняется тем что	1	1
18	но при этом	2	1
19	и в этом	1	1
20	тем не менее	3	1
21	по природе своей	1	1
22	которой не может	1	1
23	бы и не	2	1
24	все же не	1	1
25	в связи с	1	1
26	то что он	1	1
27	вместо того чтобы	1	1
28	не может быть	3	1
29	и все же	4	1
30	отнюдь не является	1	1
31	с того что	1	1
32	мысль о том	1	1
33	него нет своего	1	1
34	как и в	2	1
