N	2gram	Losev_Vesc_1	Otkroven
1	у него	2	22
2	и в	21	19
3	но и	18	13
4	и не	29	13
5	в этом	4	12
6	человека в	1	11
7	не в	5	11
8	не только	36	11
9	может быть	16	11
10	а не	19	11
11	человека и	1	10
12	вопрос о	1	10
13	в нем	2	10
14	и все	5	10
15	в самой	2	9
16	прежде всего	9	9
17	к человеку	1	9
18	не было	1	9
19	никогда не	2	9
20	потому что	16	9
21	и он	1	8
22	в его	2	7
23	ни с	6	7
24	но он	2	7
25	как и	8	6
26	все это	5	6
27	отношение к	1	5
28	в том	8	5
29	в самом	9	5
30	в этой	3	5
31	для него	4	5
32	в россии	2	5
33	а в	4	5
34	то что	27	5
35	с его	1	4
36	все эти	3	4
37	него и	1	4
38	что не	5	4
39	не может	17	4
40	т е	55	4
41	того чтобы	3	4
42	есть лишь	2	4
43	и его	2	4
44	всегда есть	3	4
45	что в	9	4
46	только и	2	4
47	нем нет	1	3
48	и есть	26	3
49	различие между	2	3
50	быть может	1	3
51	о том	6	3
52	еще не	8	3
53	во имя	1	3
54	к нему	1	3
55	было бы	14	3
56	того что	8	3
57	когда он	1	3
58	что он	1	3
59	и ее	18	3
60	в себе	14	3
61	о природе	1	3
62	и вот	2	3
63	для того	2	3
64	это было	1	3
65	что человек	1	3
66	это не	5	3
67	только одно	2	3
68	всякой человеческой	1	3
69	никто не	1	3
70	мысли и	3	3
71	могут быть	1	3
72	как бы	12	3
73	с ним	8	3
74	и от	3	3
75	в этих	1	3
76	хотя бы	6	3
77	в своих	1	3
78	все что	1	3
79	и с	8	2
80	из всего	1	2
81	и то	10	2
82	в ее	7	2
83	от самого	1	2
84	на западе	1	2
85	что у	5	2
86	так и	3	2
87	ни у	1	2
88	и о	3	2
89	по себе	13	2
90	раз уже	1	2
91	не все	1	2
92	что и	3	2
93	частью в	1	2
94	что они	6	2
95	в истории	1	2
96	как к	4	2
97	в своем	6	2
98	и нет	1	2
99	все же	4	2
100	и к	1	2
101	и потому	5	2
102	с богом	1	2
103	должен был	1	2
104	в которой	1	2
105	так что	5	2
106	уже в	1	2
107	с чем	7	2
108	о которой	2	2
109	одно из	1	2
110	всякий кто	1	2
111	же это	4	2
112	так как	7	2
113	тем что	2	2
114	даже и	4	2
115	момент в	6	2
116	в другом	2	2
117	его в	2	2
118	сказать что	17	2
119	с тем	5	2
120	личности и	1	2
121	для человека	1	2
122	должно быть	6	2
123	него не	1	2
124	подойти к	1	2
125	том что	8	2
126	что есть	5	2
127	для всякого	2	2
128	к этому	1	2
129	что же	8	2
130	можно ли	7	2
131	с которой	1	2
132	у кого	1	2
133	и для	9	2
134	самое главное	2	2
135	ничего не	3	2
136	и ни	1	2
137	к ней	2	2
138	ничто не	2	2
139	ли сказать	3	2
140	не есть	49	2
141	жизни в	1	2
142	в своей	5	2
143	что все	2	2
144	хотя и	4	2
145	ее в	1	2
146	все еще	3	2
147	но в	5	2
148	всегда в	1	1
149	не занимала	1	1
150	и это	14	1
151	если вы	2	1
152	и самое	2	1
153	также и	6	1
154	можно и	2	1
155	чтобы не	1	1
156	от самой	4	1
157	не отрицает	1	1
158	связана с	1	1
159	в виду	2	1
160	сам по	3	1
161	с кем	1	1
162	на нем	1	1
163	на самом	1	1
164	кто хочет	1	1
165	между двумя	1	1
166	чего не	2	1
167	нет никакой	2	1
168	уже с	1	1
169	из самых	2	1
170	к другому	1	1
171	когда человек	1	1
172	должна быть	4	1
173	и больше	9	1
174	и когда	4	1
175	природе своей	1	1
176	можно было	2	1
177	к чему	1	1
178	из всех	1	1
179	не с	7	1
180	есть не	14	1
181	по природе	1	1
182	которая была	1	1
183	и каждый	1	1
184	бытие не	1	1
185	мы не	6	1
186	том как	1	1
187	ту же	2	1
188	по сравнению	7	1
189	если бы	5	1
190	в сущности	4	1
191	но может	1	1
192	находится в	3	1
193	не вполне	2	1
194	бы даже	1	1
195	о нем	1	1
196	тут все	1	1
197	кого не	1	1
198	себе что	3	1
199	это я	4	1
200	но к	1	1
201	в ней	12	1
202	не иметь	1	1
203	и что	15	1
204	почему же	1	1
205	это потому	1	1
