N	3gram	Vygotskiy__6	Poddanst
1	гораздо большей степени	1	4
2	в гораздо большей	1	4
3	не только в	1	4
4	в том что	19	4
5	с точки зрения	10	3
6	сами по себе	1	3
7	с одной стороны	1	3
8	в том числе	1	2
9	в значительной мере	2	2
10	имеет не только	1	2
11	заключается в том	5	2
12	одних и других	1	2
13	не только это	1	2
14	том что в	1	1
15	мы видим в	2	1
16	только это не	1	1
17	в настоящее время	1	1
18	в этом смысле	2	1
19	и в этом	1	1
20	в наших глазах	1	1
21	и не может	2	1
22	в отличие от	1	1
23	и именно в	1	1
24	в собственном смысле	1	1
25	в этом деле	1	1
26	вместе с тем	2	1
27	и то что	2	1
28	новое по сравнению	1	1
29	что во всех	1	1
30	что в момент	1	1
31	так же как	6	1
32	можем представить себе	1	1
33	с величайшим трудом	1	1
34	по сравнению с	14	1
35	иначе как на	2	1
36	с другой стороны	2	1
37	не может быть	2	1
38	во всех доступных	1	1
39	и тем самым	5	1
40	именно потому что	2	1
41	мы знаем что	3	1
42	как одна из	1	1
43	друг с другом	5	1
44	для того чтобы	8	1
45	но в этом	1	1
46	том числе и	1	1
47	в отдельности и	1	1
