N	2gram	Tiupa_Teor_1	Formalny
1	и в	18	38
2	в этом	8	27
3	может быть	17	23
4	и его	8	21
5	таким образом	3	20
6	и не	13	20
7	в самом	4	16
8	не в	7	15
9	прежде всего	2	15
10	не может	4	14
11	в нем	4	13
12	связи с	1	13
13	но и	9	13
14	в пределах	5	12
15	в поэзии	2	12
16	с его	5	11
17	с тем	1	11
18	в том	16	11
19	вовсе не	3	11
20	с другими	5	10
21	в его	6	10
22	в связи	1	10
23	с помощью	1	10
24	не только	16	9
25	при этом	12	9
26	как и	4	9
27	языка в	4	9
28	на почве	4	9
29	отнюдь не	3	8
30	точки зрения	9	8
31	так и	10	8
32	что и	2	8
33	тем что	1	8
34	в первом	2	7
35	как мы	1	7
36	лишь в	6	7
37	по себе	1	7
38	для него	2	7
39	в своей	6	7
40	с точки	3	7
41	во втором	3	7
42	уже не	4	7
43	не могут	2	7
44	по существу	1	7
45	слова и	1	7
46	что в	9	7
47	художественного произведения	4	6
48	и ее	3	6
49	все эти	2	6
50	в этой	3	6
51	то же	7	6
52	было бы	1	6
53	он не	3	6
54	в их	2	6
55	могут быть	4	6
56	для понимания	2	6
57	только в	6	6
58	то что	3	6
59	не было	1	6
60	вместе с	2	6
61	а не	9	6
62	как раз	2	6
63	в результате	1	6
64	истории литературы	1	6
65	художественной конструкции	1	6
66	а в	13	6
67	по преимуществу	4	5
68	говорить о	3	5
69	во всех	1	5
70	звука и	1	5
71	в слове	3	5
72	в то	6	5
73	в основе	3	5
74	же время	5	5
75	если бы	3	5
76	сводится к	5	5
77	и только	1	5
78	говорит в	2	5
79	что он	1	5
80	если мы	2	5
81	языка а	1	5
82	именно в	3	5
83	более того	1	5
84	и для	2	5
85	бы в	1	5
86	или иного	3	5
87	здесь и	1	4
88	в сущности	1	4
89	одним словом	1	4
90	в сторону	1	4
91	что они	1	4
92	независимо от	1	4
93	как в	5	4
94	и к	3	4
95	не следует	4	4
96	в статье	1	4
97	входит в	1	4
98	не столько	1	4
99	к тому	2	4
100	здесь не	1	4
101	в поэтической	1	4
102	того или	3	4
103	но в	9	4
104	и теперь	1	4
105	в большинстве	2	4
106	что не	1	4
107	из них	1	4
108	так как	1	4
109	лишь для	1	4
110	в особенности	1	4
111	и даже	2	4
112	другой стороны	5	4
113	на фоне	2	4
114	мы говорим	1	4
115	как бы	5	4
116	известной степени	3	4
117	совершенно не	1	4
118	оно не	1	4
119	они не	1	4
120	например в	1	3
121	же как	1	3
122	тем же	1	3
123	и до	1	3
124	из всего	1	3
125	между этими	1	3
126	поэтического слова	1	3
127	и на	1	3
128	не входит	1	3
129	если в	2	3
130	как к	2	3
131	хотя и	3	3
132	и как	2	3
133	что это	1	3
134	в целом	3	3
135	из этих	3	3
136	роль в	2	3
137	только на	1	3
138	время и	1	3
139	но именно	1	3
140	значительной степени	1	3
141	смысла в	1	3
142	его в	2	3
143	это было	2	3
144	литературного произведения	7	3
145	место в	5	3
146	однако и	1	3
147	до известной	2	3
148	только и	1	3
149	не является	4	3
150	в области	4	3
151	его с	1	3
152	своего развития	1	3
153	того чтобы	1	3
154	так в	4	3
155	особенно в	1	3
156	и здесь	2	3
157	одного из	1	3
158	к действительности	3	3
159	в значительной	1	3
160	к нему	1	3
161	того что	4	3
162	в какой	2	3
163	большинстве случаев	1	3
164	и их	1	3
165	слова в	2	3
166	для того	1	3
167	о каком	1	3
168	с другой	7	3
169	а о	1	3
170	и др	1	3
171	речи и	2	3
172	быть и	2	3
173	все это	2	3
174	или в	3	3
175	была бы	3	3
176	о литературе	2	3
177	можно говорить	1	2
178	в такой	1	2
179	и то	2	2
180	дело обстоит	1	2
181	идет о	1	2
182	между двумя	3	2
183	к другому	1	2
184	было и	1	2
185	при анализе	1	2
186	не была	1	2
187	совпадает с	3	2
188	этого термина	1	2
189	в широком	1	2
190	столь же	2	2
191	и л	1	2
192	совсем не	1	2
193	но не	9	2
194	системы языка	1	2
195	но как	1	2
196	а только	3	2
197	отношение к	5	2
198	отличие от	6	2
199	в одной	1	2
200	в художественном	3	2
201	перед нами	2	2
202	языка не	1	2
203	то в	2	2
204	со своей	3	2
205	в которой	2	2
206	он в	1	2
207	ее как	1	2
208	в единстве	1	2
209	литературных произведений	5	2
210	состоит в	17	2
211	и более	1	2
212	и по	2	2
213	на этом	1	2
214	без исключения	4	2
215	то ни	1	2
216	том случае	1	2
217	особенности в	1	2
218	и иных	1	2
219	должен был	1	2
