N	2gram	Bakhtin_Fr_3	Narrotol
1	не только	13	31
2	но и	11	27
3	и не	13	23
4	при этом	3	19
5	может быть	9	15
6	в качестве	1	14
7	в частности	3	14
8	как и	11	13
9	а не	5	13
10	а в	3	13
11	в этом	15	12
12	только в	3	12
13	и в	40	11
14	в данном	4	11
15	своего рода	2	10
16	и его	17	10
17	такого рода	3	10
18	то есть	18	9
19	времени и	2	9
20	то что	5	9
21	то же	7	8
22	представляет собой	1	8
23	не может	3	8
24	данном случае	2	8
25	в том	8	8
26	и т.п	10	8
27	но в	8	7
28	том что	4	7
29	если бы	3	7
30	на протяжении	3	7
31	у него	8	7
32	и он	1	6
33	в самом	6	6
34	не в	1	6
35	в этой	3	6
36	в себе	3	6
37	об этом	3	6
38	одного из	2	6
39	во втором	1	6
40	в его	13	6
41	как бы	3	6
42	один из	4	6
43	как раз	5	6
44	или в	1	6
45	а также	4	6
46	жизни и	4	6
47	и на	8	5
48	той или	2	5
49	перед нами	1	5
50	так и	3	5
51	точки зрения	2	5
52	в своей	6	5
53	тем самым	1	5
54	потому что	2	5
55	можно сказать	2	5
56	в первом	1	4
57	еще не	3	4
58	с его	3	4
59	но не	2	4
60	как в	3	4
61	все же	2	4
62	из этих	2	4
63	в нем	5	4
64	в мире	4	4
65	из них	4	4
66	по себе	1	4
67	и тем	1	4
68	в одном	7	4
69	вплоть до	3	4
70	в то	6	4
71	одна из	3	4
72	того чтобы	4	4
73	никогда не	1	4
74	что на	1	4
75	в ней	4	4
76	так в	4	4
77	о том	4	4
78	внимание на	1	4
79	же время	6	4
80	к нему	2	4
81	в литературе	5	4
82	того что	1	4
83	для него	5	4
84	слова в	2	4
85	или иной	2	4
86	прежде всего	16	4
87	о чем	2	4
88	мира в	1	4
89	однако и	1	4
90	и состоит	1	4
91	как известно	2	3
92	также и	4	3
93	самом деле	3	3
94	мы имеем	1	3
95	мы не	2	3
96	а для	1	3
97	этого эпизода	1	3
98	но как	2	3
99	в своем	7	3
100	и как	3	3
101	эпизоды в	1	3
102	в целом	2	3
103	в нашем	4	3
104	но именно	3	3
105	он не	9	3
106	для того	3	3
107	подобно тому	1	3
108	и с	8	3
109	это не	2	3
110	начала и	5	3
111	не всегда	1	3
112	в современной	1	3
113	и конец	1	3
114	и ее	2	3
115	их в	3	3
116	не менее	2	3
117	но они	1	3
118	о них	1	3
119	как будто	1	3
120	этом отношении	2	3
121	за ними	1	3
122	у нас	4	3
123	начиная с	3	3
124	и о	4	3
125	еще в	3	3
126	о нем	3	3
127	лишь в	2	3
128	между тем	3	3
129	что он	2	3
130	по отношению	3	3
131	именно в	2	3
132	не было	5	3
133	как это	1	3
134	тому как	1	3
135	главного героя	1	3
136	в начале	3	3
137	но для	1	3
138	это уже	1	3
139	в следующей	1	3
140	и все	9	3
141	первом случае	1	3
142	отношению к	2	3
143	что в	12	3
144	именно эта	1	2
145	переход от	2	2
146	тем же	2	2
147	и для	5	2
148	в сущности	9	2
149	жизни как	1	2
150	меньшей степени	2	2
151	и самого	1	2
152	между собой	1	2
153	для обозначения	1	2
154	отличие от	3	2
155	отнюдь не	1	2
156	в той	6	2
157	сознания в	1	2
158	глава вторая	1	2
159	в известном	1	2
160	раз в	2	2
161	роль в	4	2
162	не могла	1	2
163	так сказать	5	2
164	о смерти	1	2
165	и еще	2	2
166	и вот	2	2
167	одно и	1	2
168	это было	1	2
169	для них	1	2
170	также не	1	2
171	все равно	1	2
172	тот самый	1	2
173	этого не	1	2
174	он и	7	2
175	в этих	6	2
176	в отличие	3	2
177	сих пор	4	2
178	войне и	1	2
179	не имеет	1	2
180	дело в	2	2
181	и сама	2	2
182	дело не	3	2
183	ничего не	1	2
184	как она	1	2
185	и мире	1	2
186	связи с	6	2
187	к жизни	2	2
188	не слышит	2	2
189	они и	2	2
190	как мы	10	2
191	свою очередь	1	2
192	здесь не	3	2
193	другой стороны	1	2
194	в произведении	1	2
195	в пределах	1	2
196	что может	1	2
197	особенно в	4	2
198	она была	1	2
199	с ним	1	2
200	местах и	1	2
201	точек зрения	1	2
202	за пределами	1	2
203	никак не	3	2
204	до сих	4	2
205	с другой	2	2
206	это была	1	2
207	нас в	2	2
208	напомнить что	1	2
209	в форме	2	2
210	и только	1	2
211	от этих	1	2
212	же в	1	2
213	большей или	3	2
214	чем он	2	2
215	с ними	1	2
216	дело с	1	2
217	всяком случае	1	2
218	который в	2	2
219	и внутреннего	1	2
220	только на	4	2
221	до конца	6	2
222	в конце	3	2
223	каждый из	1	2
224	в особенности	5	2
225	и даже	4	2
226	в области	4	2
227	в результате	1	2
228	она в	1	2
229	после смерти	1	2
230	и притом	1	2
231	что не	1	2
232	вместе с	3	2
233	ни от	2	2
234	вот я	2	2
235	да и	1	2
236	в первой	2	2
237	мыслится как	1	2
238	быть и	1	2
239	к двум	1	2
240	в связи	5	2
241	и от	3	2
242	не подлежит	3	2
243	в году	5	2
244	хотя бы	2	2
245	в романе	15	2
246	между ними	3	2
247	сказать что	3	2
248	в свою	1	2
249	все что	2	2
250	в таком	1	2
251	во всяком	1	2
252	жизнь человека	1	1
253	говоря о	1	1
254	и т	1	1
255	одним из	2	1
256	рассказ об	1	1
257	по лужам	2	1
258	на самом	3	1
259	в стороне	1	1
260	это и	2	1
261	так у	1	1
262	в приведенном	3	1
263	и есть	3	1
264	и до	8	1
265	мы уже	13	1
266	из всех	4	1
267	например в	2	1
268	что между	1	1
269	ни единого	1	1
270	что иное	1	1
271	принадлежит к	1	1
272	мальчика и	1	1
273	но даже	1	1
274	не совсем	1	1
275	из которых	1	1
276	он был	3	1
277	иное как	1	1
278	быть в	2	1
279	в последних	2	1
280	бы то	1	1
281	тем как	1	1
282	от лица	1	1
283	при жизни	1	1
284	после его	1	1
285	не входит	1	1
286	первой половины	1	1
287	свою жизнь	1	1
288	отношение к	8	1
289	тут же	2	1
290	самого рассказчика	1	1
291	и я	1	1
292	и соответствующих	1	1
293	его на	1	1
294	внешнего и	1	1
295	с этим	2	1
296	на минуту	1	1
297	еще и	2	1
298	не улавливает	1	1
299	когда он	1	1
300	в предлагаемой	1	1
301	и наконец	3	1
302	на улицах	1	1
303	и к	3	1
304	со своей	1	1
305	шире и	3	1
306	и придает	1	1
307	в которой	2	1
308	отношения с	1	1
309	что это	1	1
310	не понимает	3	1
311	за это	1	1
312	во многих	1	1
313	речи но	1	1
314	и тот	1	1
315	что даже	1	1
316	но ведь	3	1
317	как он	2	1
318	но на	1	1
319	кухни и	2	1
320	главным образом	1	1
321	не как	1	1
322	однако он	1	1
323	в корне	2	1
324	какой бы	2	1
325	целом как	1	1
326	и по	1	1
327	так например	1	1
328	существенным моментом	1	1
329	таким образом	10	1
330	но все	3	1
331	значительной степени	2	1
332	жить в	1	1
333	то ни	1	1
334	могла бы	1	1
335	внешней а	1	1
336	во внешнем	1	1
337	этом свидетельствует	1	1
338	чего он	1	1
339	той же	8	1
340	особенности в	1	1
341	них не	1	1
342	это весьма	1	1
343	его в	1	1
344	второй половины	1	1
345	с другими	1	1
346	еще вернемся	4	1
347	том именно	1	1
348	и отдельные	1	1
349	это одна	1	1
350	например с	1	1
351	придает ему	1	1
352	в большей	2	1
353	действий и	1	1
354	все слова	1	1
355	произведение как	1	1
356	он восклицает	1	1
357	далеко не	2	1
358	жизни то	1	1
359	мировой литературы	3	1
360	в ее	3	1
361	с тем	1	1
362	мы видели	3	1
363	о шуме	1	1
364	в один	2	1
365	нисколько не	1	1
366	с еще	1	1
367	во время	8	1
368	отрыве от	1	1
369	или точнее	1	1
370	этой связи	1	1
371	в котором	2	1
372	с точки	1	1
373	не находит	2	1
374	в их	4	1
375	нельзя понять	2	1
376	в очерке	1	1
377	от его	1	1
378	и они	2	1
379	рождение и	1	1
380	мир и	1	1
381	втором случае	1	1
382	в небольшом	1	1
383	лег в	1	1
384	что было	2	1
385	и лег	1	1
386	на языке	1	1
387	ни было	1	1
388	что этот	1	1
389	как видим	1	1
390	для нее	1	1
