N	2gram	Propp_Isto_3	BTomashe
1	у нас	4	3
2	и не	12	2
3	больше чем	1	2
4	все это	1	2
5	в ней	2	2
6	видеть в	1	2
7	можно было	1	2
8	не то	1	2
9	же не	2	1
10	остановиться на	1	1
11	также что	1	1
12	бы только	1	1
13	об этом	1	1
14	и в	22	1
15	не вполне	6	1
16	и о	2	1
17	к ней	4	1
18	с другой	7	1
19	в своей	1	1
20	на самом	2	1
21	на которой	1	1
22	это повторяется	1	1
23	как будто	2	1
24	не следует	1	1
25	было бы	3	1
26	все же	5	1
27	всяком случае	2	1
28	кроме того	1	1
29	никак не	1	1
30	еще не	10	1
31	и на	4	1
32	в пределах	4	1
33	стоит на	3	1
34	одной из	1	1
35	должна быть	1	1
36	нет но	1	1
37	прежде всего	3	1
38	в данном	4	1
39	так и	2	1
40	о них	1	1
41	не было	2	1
42	в книге	1	1
43	его не	3	1
44	совершенно не	2	1
45	далеко не	3	1
46	неудивительно что	1	1
47	а не	6	1
48	что в	15	1
49	другой стороны	7	1
50	и ее	3	1
51	не все	6	1
52	отнюдь не	1	1
53	таким образом	10	1
54	вопрос о	2	1
55	и более	2	1
56	и потому	2	1
57	не только	14	1
58	во всяком	2	1
