N	2gram	Medvedev_V_1	Tvorches
1	и в	2	21
2	то же	1	13
3	том что	2	11
4	все это	1	10
5	и не	1	7
6	в том	2	7
7	в этом	1	6
8	и его	1	6
9	потому что	1	5
10	только в	1	5
11	но это	1	5
12	хотя бы	1	5
13	с большой	1	4
14	я не	1	3
15	время в	1	3
16	в самом	1	3
17	далеко не	1	3
18	в их	1	3
19	дело в	1	3
20	так как	1	3
21	в книге	3	3
22	самом деле	1	2
23	же с	1	2
24	по крайней	1	2
25	крайней мере	1	2
26	от других	1	2
27	именно в	1	2
28	в частности	1	2
29	к этому	1	2
30	гораздо более	1	2
31	чего не	1	1
32	столь же	1	1
33	к чему	1	1
34	так в	1	1
35	да и	1	1
36	связанным с	1	1
37	для них	1	1
38	том же	1	1
39	что сами	1	1
40	не одно	1	1
41	за свою	1	1
42	в конце	2	1
43	все время	1	1
44	ведь это	1	1
45	более к	1	1
46	нет есть	1	1
47	стоило бы	1	1
48	тем более	1	1
49	конце концов	2	1
