N	3gram	Potebnia_M_3	Morfolog
1	и т д	3	47
2	не может быть	3	8
3	подобно тому как	2	5
4	по отношению к	5	4
5	тем не менее	3	4
6	с другой стороны	4	4
7	если мы не	1	3
8	может быть названо	1	3
9	как и в	2	3
10	на самом деле	1	3
11	не могут быть	2	3
12	далеко не все	3	3
13	в первом случае	2	3
14	с одной стороны	3	2
15	в таких случаях	1	2
16	тем и другим	1	2
17	в сказке о	1	2
18	и вне связи	1	2
19	для того чтобы	3	2
20	можно заметить что	1	2
21	вне связи с	1	2
22	в том что	16	2
23	и в других	1	2
24	на первый взгляд	1	2
25	в то время	4	2
26	более или менее	3	2
27	следует заметить что	1	2
28	не менее она	1	2
29	в собственном смысле	2	2
30	и таким образом	1	2
31	то время как	1	2
32	отсюда видно что	1	2
33	что и при	1	1
34	крайняя бедность и	1	1
35	на свое место	1	1
36	таким образом что	1	1
37	в таком случае	2	1
38	это значит что	1	1
39	же время и	1	1
40	из них не	1	1
41	в то же	5	1
42	в том случае	1	1
43	мысль о необходимости	2	1
44	и вслед за	1	1
45	это дает нам	1	1
46	друг с другом	1	1
47	и там где	1	1
48	но оно имеет	1	1
49	на одном месте	1	1
50	дает нам возможность	2	1
51	в глаза что	1	1
52	можно сказать что	2	1
53	имеет смысла но	1	1
54	один из его	1	1
55	к соединению с	1	1
56	бы в том	1	1
57	здесь как и	1	1
58	потому что они	1	1
59	с этим в	1	1
60	в противном случае	1	1
61	мы должны будем	2	1
62	может быть объяснено	1	1
63	к тому что	2	1
64	бросается в глаза	1	1
65	о том что	1	1
66	по своему строению	1	1
67	самом деле в	1	1
68	противном случае он	1	1
69	и то же	5	1
70	могло бы быть	1	1
71	том что он	2	1
72	так же и	1	1
73	которые не могут	1	1
74	и может быть	2	1
75	соединению с другими	1	1
76	на то что	1	1
77	и качества с	1	1
78	далеко не всегда	1	1
79	можно себе представить	1	1
80	в целом и	1	1
81	в первый раз	1	1
82	или нет это	1	1
83	себе представить что	1	1
84	есть в то	1	1
85	то же время	5	1
86	в других случаях	1	1
87	и многие другие	1	1
88	может быть сравниваемо	1	1
89	можем заметить что	1	1
90	заметить что в	1	1
91	например в сказке	1	1
92	то же в	1	1
93	одно и то	5	1
94	если бы мы	1	1
95	не имеет смысла	1	1
96	что и в	3	1
97	это было бы	1	1
98	такое же развитие	1	1
99	в данном случае	1	1
100	до сих пор	3	1
