N	3gram	Medvedev_F_2	VLabPisa
1	и т д	5	15
2	в этом отношении	7	13
3	и т п	9	9
4	с другой стороны	3	8
5	не может быть	10	8
6	по этому поводу	1	7
7	более или менее	1	6
8	в художественном творчестве	1	5
9	в зависимости от	3	5
10	то же время	5	5
11	в то же	5	5
12	не было бы	1	4
13	не могут быть	4	4
14	в художественном произведении	1	4
15	в связи с	10	4
16	равно как и	1	4
17	в том что	2	4
18	и в то	3	3
19	вместе с тем	4	3
20	в этой области	1	3
21	большей или меньшей	1	3
22	это и есть	1	3
23	хотя бы в	3	3
24	к тому что	2	3
25	чуть ли не	1	2
26	до сих пор	1	2
27	только то что	1	2
28	таким образом в	1	2
29	и не может	3	2
30	по крайней мере	1	2
31	или меньшей степени	1	2
32	в том чтобы	1	2
33	на эти вопросы	1	2
34	с одной стороны	1	2
35	в конце концов	2	2
36	во всех этих	1	2
37	в большей или	1	2
38	во всяком случае	5	2
39	мы знаем что	1	2
40	таким образом не	2	2
41	для того чтобы	3	2
42	том смысле что	2	1
43	на этот вопрос	1	1
44	следует отметить что	1	1
45	органической связи с	1	1
46	является краеугольным камнем	1	1
47	в какой мере	2	1
48	иметь в виду	1	1
49	теми или иными	1	1
50	то о чем	1	1
51	что перед нами	1	1
52	как один из	1	1
53	в самом деле	5	1
54	но даже и	1	1
55	в этом смысле	2	1
56	совершенно очевидно что	1	1
57	как это было	2	1
58	говоря уже о	1	1
59	именно в этом	1	1
60	в таком случае	1	1
61	сами по себе	2	1
62	сама по себе	1	1
63	где же в	1	1
64	что он не	1	1
65	и так или	1	1
66	но и в	3	1
67	единстве художественного целого	1	1
68	только в том	1	1
69	по аналогии с	1	1
70	прежде всего необходимо	1	1
71	этом отношении очень	2	1
72	он не создает	1	1
73	том или ином	1	1
74	может быть и	3	1
75	в противном случае	1	1
76	во всей ее	1	1
77	т п все	1	1
78	часто смешивают с	1	1
79	в процессе этого	2	1
80	чем иным как	1	1
81	является не чем	1	1
82	то или иное	1	1
83	даже и не	2	1
84	же в таком	1	1
85	так или иначе	1	1
86	в применении к	2	1
87	мы полагаем что	1	1
88	только в единстве	1	1
89	в том или	1	1
90	не чем иным	1	1
91	в данном случае	1	1
92	по этому вопросу	1	1
93	может быть даже	1	1
94	но в то	1	1
95	при помощи которой	1	1
96	зависимости от различных	1	1
97	все те черты	1	1
98	главным образом на	1	1
99	с реальной жизнью	1	1
100	однако отметить что	1	1
101	следует однако отметить	1	1
102	не в том	3	1
103	все же не	1	1
104	с реальной действительностью	1	1
105	со всем что	1	1
106	все эти определения	2	1
107	именно в том	1	1
108	может быть при	1	1
109	что они не	1	1
110	того или иного	4	1
111	очевидно что в	1	1
112	между этими двумя	2	1
113	от всей полноты	2	1
114	и в прозе	1	1
115	в светлое поле	1	1
116	имеем в виду	1	1
117	не говоря уже	1	1
118	в свою очередь	1	1
119	быть и речи	3	1
120	ничего общего с	1	1
121	и без того	1	1
122	как особый специфический	1	1
123	не типичны для	1	1
124	может быть признана	1	1
125	здесь не могут	1	1
126	из этих элементов	1	1
127	мы говорим о	2	1
128	лежит в основе	1	1
129	евгения онегина не	1	1
130	в том смысле	3	1
131	говорить только о	1	1
132	всего может быть	1	1
133	произведения от его	1	1
134	светлое поле сознания	1	1
135	в подавляющем большинстве	1	1
136	и как увидим	1	1
137	как мы знаем	2	1
138	что оно является	1	1
139	т е в	1	1
