N	2gram	Berdyaev_O_1	Komedia
1	и в	19	22
2	и не	13	21
3	т е	4	16
4	том что	2	13
5	в том	5	12
6	так как	2	11
7	со стороны	1	11
8	потому что	9	10
9	в самом	5	9
10	в этом	12	8
11	его в	2	8
12	в глазах	1	8
13	в своем	2	8
14	к ней	2	8
15	о том	3	8
16	если бы	1	8
17	в его	7	8
18	что и	2	8
19	что он	3	8
20	не по	1	7
21	в конце	1	7
22	о чем	1	7
23	а в	5	7
24	самом деле	1	6
25	еще не	3	6
26	так что	2	6
27	и его	4	6
28	того чтобы	4	6
29	и что	1	6
30	для того	3	6
31	может быть	11	6
32	к этому	2	6
33	не хочет	1	5
34	отношение к	5	5
35	но в	2	5
36	не только	11	5
37	он не	7	5
38	в своей	2	5
39	и сам	1	5
40	хотя и	2	5
41	с ним	3	5
42	любви к	1	5
43	к нему	3	5
44	что в	4	5
45	из них	1	5
46	тем что	2	5
47	прежде всего	9	5
48	как это	1	5
49	все это	6	5
50	он знает	1	4
51	в ней	1	4
52	он был	8	4
53	все же	2	4
54	когда он	3	4
55	то что	5	4
56	в себе	3	4
57	что она	1	4
58	и с	2	4
59	должен был	2	4
60	с тем	2	4
61	не в	11	4
62	в отношении	1	4
63	у него	22	4
64	и здесь	1	4
65	так и	2	4
66	сразу же	2	4
67	вовсе не	1	4
68	но и	13	4
69	до конца	7	4
70	а не	11	4
71	и для	2	4
72	бы в	1	4
73	хотя бы	3	4
74	который в	1	3
75	с его	4	3
76	в ее	2	3
77	и к	2	3
78	тем же	1	3
79	и этим	2	3
80	в которой	2	3
81	представляет собой	1	3
82	в этой	5	3
83	на то	1	3
84	в нем	10	3
85	было бы	3	3
86	в них	1	3
87	как и	6	3
88	чем в	2	3
89	том как	1	3
90	не имеет	2	3
91	никогда не	9	3
92	ничего не	2	3
93	и мысли	4	3
94	в глаза	1	3
95	любовь к	2	3
96	нисколько не	1	3
97	что не	4	3
98	не так	1	3
99	всяком случае	1	3
100	в других	2	3
101	и даже	1	3
102	перед ним	1	3
103	на этот	1	3
104	один из	1	3
105	в частности	1	3
106	не может	4	3
107	как бы	3	3
108	еще больше	1	3
109	бы он	1	3
110	все что	3	3
111	во всяком	1	3
112	отношения к	1	2
113	человека и	10	2
114	о любви	2	2
115	его не	2	2
116	мы не	1	2
117	в сущности	1	2
118	и он	8	2
119	и на	2	2
120	и отец	1	2
121	его а	1	2
122	он говорит	1	2
123	что они	2	2
124	и я	1	2
125	как в	1	2
126	только один	1	2
127	после этого	1	2
128	о которой	2	2
129	в силу	1	2
130	людей и	1	2
131	человека в	11	2
132	в мире	1	2
133	из всех	1	2
134	не с	1	2
135	это не	3	2
136	над его	1	2
137	которую он	2	2
138	и без	1	2
139	в котором	1	2
140	из которой	1	2
141	в одном	1	2
142	она не	1	2
143	что их	1	2
144	и после	1	2
145	ii в	1	2
146	все еще	2	2
147	и это	1	2
148	и о	2	2
149	в виду	1	2
150	можно было	1	2
151	в эпоху	1	2
152	в другом	2	2
153	нуждается в	1	2
154	все время	1	2
155	трагедии и	1	2
156	и любовь	2	2
157	и ее	3	2
158	уже в	2	2
159	был бы	1	2
160	этом отношении	1	2
161	в отношениях	1	2
162	от того	1	2
163	к одной	1	2
164	что для	2	2
165	к человеку	9	2
166	не было	9	2
167	под влиянием	1	2
168	ближе к	1	2
169	он и	1	2
170	не могут	3	2
171	сравнению с	1	2
172	лет назад	1	2
173	о его	5	2
174	видно что	1	2
175	нет ничего	7	2
176	и все	10	2
177	человека не	1	2
178	совершенно не	1	2
179	которым он	1	2
180	в свое	1	2
181	к этой	2	2
182	по сравнению	1	2
183	в своих	3	2
184	в силе	1	1
185	например в	1	1
186	чтобы не	1	1
187	утра до	1	1
188	к удовлетворению	1	1
189	к другому	1	1
190	и до	1	1
191	видеть в	1	1
192	их жизни	1	1
193	вот о	1	1
194	преступления и	1	1
195	уверен что	1	1
196	вопрос о	10	1
197	было до	1	1
198	ты можешь	1	1
199	собой в	1	1
200	и идеологических	1	1
201	он сам	4	1
202	все эти	4	1
203	одним словом	1	1
204	поле битвы	1	1
205	но не	1	1
206	к которой	1	1
207	с какими	1	1
208	и всякий	1	1
209	себе и	1	1
210	человеку и	5	1
211	в истории	2	1
212	в одной	1	1
213	одном из	1	1
214	по содержанию	1	1
215	как к	2	1
216	на человека	1	1
217	на земле	4	1
218	и как	1	1
219	самом начале	1	1
220	от этого	1	1
221	в этот	2	1
222	говорят о	1	1
223	из жизни	1	1
224	за это	1	1
225	самое главное	2	1
226	больше всего	1	1
227	после которого	1	1
228	сказать в	1	1
229	человек не	7	1
230	главное в	1	1
231	страшная и	1	1
232	и почему	1	1
233	к одному	1	1
234	в каждом	1	1
235	что все	2	1
236	же не	1	1
237	это было	3	1
238	которого не	1	1
239	подходит к	1	1
240	в свой	1	1
241	приходит в	1	1
242	в это	1	1
243	его и	1	1
244	от которого	1	1
245	и переживает	1	1
246	бога и	1	1
247	посвящения в	1	1
248	одно из	2	1
249	его образ	1	1
250	человек и	4	1
251	человеком и	1	1
252	для всякого	2	1
253	любовь и	1	1
254	и раньше	1	1
255	но он	7	1
256	говорит с	1	1
257	над ними	1	1
258	человеческой природой	1	1
259	вещей и	1	1
260	с которой	2	1
261	того как	1	1
262	он еще	1	1
263	человека от	1	1
264	богатого и	1	1
265	и весь	1	1
266	и лишь	1	1
267	до вечера	1	1
268	и женщины	1	1
269	по своей	1	1
270	во всем	1	1
271	вот что	1	1
272	он больше	1	1
273	в сознании	1	1
274	с другом	1	1
275	свое собственное	1	1
276	бог и	1	1
277	могут быть	3	1
278	ставит в	1	1
279	чтобы сделать	1	1
280	чтобы человек	1	1
281	всего в	2	1
282	указывает на	1	1
283	это я	1	1
284	ты хочешь	1	1
285	и открывает	1	1
286	был для	1	1
287	и от	3	1
288	приносит нам	1	1
289	было сделать	1	1
290	нет никакой	1	1
291	и противоречия	1	1
292	и когда	1	1
293	что у	2	1
294	гуманизм и	1	1
295	ты не	1	1
296	особенно в	1	1
297	к его	1	1
298	представляется мне	1	1
299	несколько в	1	1
300	с утра	1	1
301	его жизни	1	1
302	после того	1	1
303	все его	1	1
304	из образов	1	1
305	каждом из	1	1
306	то в	1	1
307	но ничего	1	1
308	которых в	1	1
309	но нет	1	1
310	которой в	1	1
311	всего творчества	1	1
312	мысли не	1	1
313	там и	1	1
314	ни к	1	1
315	ли он	1	1
316	из сторон	1	1
317	которая была	1	1
318	со всеми	1	1
319	в эти	1	1
320	и все-таки	2	1
321	человека с	1	1
322	тебе была	1	1
323	в душе	2	1
324	и других	1	1
325	не стал	1	1
326	к каким	1	1
327	в новом	1	1
328	в судьбе	1	1
329	вот с	1	1
330	может служить	1	1
331	не случайно	1	1
332	и никогда	2	1
333	что человек	3	1
334	а именно	1	1
335	человека а	2	1
336	с той	1	1
337	действующих лиц	1	1
338	было и	1	1
339	а с	1	1
340	уверенность что	1	1
341	говорит о	1	1
342	что любовь	2	1
343	был в	1	1
344	у его	1	1
345	не допускает	1	1
346	и ему	1	1
347	тобой а	1	1
348	человек в	1	1
349	этой стихии	1	1
350	ко всем	2	1
351	и потому	2	1
352	из начал	1	1
353	ничего нет	1	1
354	чем на	3	1
355	не одно	1	1
356	этом огромном	1	1
357	слишком много	1	1
358	связывали с	1	1
359	и там	2	1
360	в мир	1	1
361	для человека	2	1
362	да и	1	1
363	с тобой	1	1
364	друг с	1	1
365	быть не	1	1
366	разговор с	1	1
367	он должен	1	1
368	она должна	1	1
369	отрицательного отношения	1	1
370	а что	1	1
371	которого они	1	1
372	в голову	1	1
373	к счастью	1	1
374	в этих	3	1
375	места в	1	1
376	отношении к	1	1
377	к любви	1	1
378	жизни в	2	1
379	много было	1	1
380	сказать что	2	1
381	была бы	1	1
382	для нашего	1	1
383	жизни а	1	1
384	я уверен	1	1
385	на своем	1	1
386	быть назван	1	1
387	жизни и	1	1
388	но еще	1	1
389	и эта	1	1
