N	3gram	Tiupa_Hudo_1	Psycholo
1	для того чтобы	2	19
2	в том что	7	14
3	с одной стороны	2	12
4	о том что	1	6
5	заключается в том	1	6
6	к тому что	2	6
7	с другой стороны	5	5
8	так же точно	1	5
9	заключает в себе	1	4
10	а с другой	2	4
11	таким образом что	1	3
12	иметь в виду	1	3
13	то же самое	1	3
14	из того что	1	3
15	одно и то	3	3
16	и то же	3	3
17	и того же	2	2
18	что иное как	1	2
19	мы видим в	1	2
20	состоит в том	5	2
21	одного и того	2	2
22	в этом случае	1	2
23	может быть и	2	2
24	с точки зрения	3	2
25	в отличие от	7	2
26	так же как	1	2
27	в том и	2	2
28	все то что	1	2
29	не может быть	3	2
30	ту же самую	1	2
31	и в самом	1	2
32	не что иное	1	2
33	той или иной	4	2
34	можно сказать что	3	2
35	друг от друга	1	2
36	как бы в	1	2
37	именно потому что	1	2
38	том что она	1	1
39	и в сущности	1	1
40	что в основе	2	1
41	мы имеем в	3	1
42	ни к каким	1	1
43	по отношению к	9	1
44	более или менее	5	1
45	вдоль улиц шумных	1	1
46	в этом смысле	3	1
47	том что он	1	1
48	живопись графика скульптура	1	1
49	а в том	1	1
50	между собой в	1	1
51	те и другие	1	1
52	в одной из	1	1
53	находятся между собой	1	1
54	что он должен	1	1
55	я вдоль улиц	1	1
56	до известной степени	2	1
57	что он не	1	1
58	только то что	1	1
59	искусства может быть	2	1
60	но он не	2	1
61	том или ином	1	1
62	ли я вдоль	1	1
63	в основе своей	1	1
64	и др в	1	1
65	входят в состав	1	1
66	с этой точки	1	1
67	по крайней мере	1	1
68	то или иное	1	1
69	в том случае	1	1
70	строго говоря и	1	1
71	в эстетический объект	2	1
72	не могло быть	2	1
73	брожу ли я	1	1
74	и не дает	1	1
75	в том или	1	1
76	в основе его	1	1
77	в художественном произведении	1	1
78	во внешнем мире	1	1
79	что речь в	1	1
80	у нее нет	1	1
81	как один из	1	1
82	принадлежат к числу	1	1
83	в произведении искусства	1	1
84	не могут быть	1	1
85	и в этой	1	1
86	имеем дело с	1	1
87	едва ли не	1	1
88	приводит к тому	2	1
89	именно в этом	1	1
90	и в том	1	1
91	этой точки зрения	1	1
92	первой части романа	1	1
93	того или иного	3	1
94	в частности в	1	1
95	в русском языке	1	1
96	произведения искусства как	1	1
97	в то время	1	1
98	в свою очередь	2	1
99	а не ее	1	1
100	но во всех	2	1
101	незаметно для читателя	1	1
102	с первых же	1	1
103	в конечном счете	5	1
104	и поэтому не	1	1
105	во времени и	1	1
106	в евгении онегине	1	1
107	всякое произведение искусства	1	1
108	мы имеем дело	2	1
109	же точно и	1	1
110	в полной мере	1	1
111	обратим внимание на	1	1
112	таким образом с	1	1
113	вбирает в себя	1	1
114	в русской литературе	2	1
