N	4gram	Bakhtin_KF_1	Problema
1	только по отношению к	2	4
2	позицию по отношению к	1	3
3	в то же время	2	3
4	и для эстетического созерцания	1	2
5	во всех своих моментах	2	2
6	бы то ни было	2	2
7	ни в чем не	4	2
8	и в то же	1	2
9	и тем не менее	1	1
10	дело в том что	1	1
11	лишь в соотнесении с	2	1
12	должно быть соотнесено с	2	1
13	там где оно не	1	1
14	в противном случае мы	1	1
15	только при этом условии	1	1
16	или иной культурной области	1	1
17	но в то же	1	1
18	в один момент не	1	1
19	в его целом как	1	1
20	к единству содержания и	1	1
21	в основе своей есть	1	1
22	взаимно проникают друг друга	1	1
23	в его целом в	1	1
24	ни в один момент	1	1
25	по отношению к нему	4	1
26	несмотря на то что	1	1
27	ни к чему не	2	1
28	той или иной культурной	1	1
