N	2gram	Bakhtin_Fr_1	Tragedij
1	и в	65	18
2	в романе	2	10
3	в году	6	9
4	в этом	15	9
5	не только	10	8
6	и с	3	7
7	и на	11	7
8	может быть	6	7
9	как бы	22	7
10	и не	22	7
11	но в	14	6
12	и его	10	6
13	же время	1	6
14	что он	3	6
15	у него	1	6
16	то же	1	5
17	все же	6	5
18	это не	3	5
19	как и	5	5
20	несмотря на	2	5
21	в то	1	5
22	в дальнейшем	8	5
23	так и	10	5
24	это очень	2	5
25	не может	3	5
26	к жизни	2	5
27	он всегда	1	4
28	еще не	6	4
29	в себе	3	4
30	в целом	2	4
31	в этой	4	4
32	в нем	13	4
33	об этом	1	4
34	том что	6	4
35	но и	10	4
36	и даже	8	4
37	прежде всего	11	4
38	но это	3	4
39	все это	9	4
40	этот образ	1	4
41	что в	3	4
42	и все	5	4
43	то что	3	4
44	к людям	1	3
45	и он	2	3
46	своего рода	1	3
47	как в	5	3
48	в своем	8	3
49	и как	1	3
50	все эти	10	3
51	при этом	6	3
52	то есть	45	3
53	тем самым	1	3
54	что с	1	3
55	о чем	1	3
56	и сам	1	3
57	жизнь и	1	3
58	с ним	3	3
59	на страницах	1	3
60	к нему	3	3
61	в его	9	3
62	один из	1	3
63	уже в	1	3
64	для него	5	3
65	в конце	1	3
66	как это	1	3
67	в основном	2	3
68	из самых	1	2
69	и до	4	2
70	а как	1	2
71	отказывается от	1	2
72	никогда не	6	2
73	он был	2	2
74	с его	5	2
75	отношение к	4	2
76	отличие от	5	2
77	не просто	3	2
78	это был	1	2
79	говорит что	1	2
80	имеет в	1	2
81	в самом	4	2
82	в письмах	1	2
83	то и	1	2
84	жизнью и	1	2
85	он не	2	2
86	но все	3	2
87	что все	1	2
88	его в	7	2
89	в это	2	2
90	нет в	1	2
91	в отличие	4	2
92	одном из	1	2
93	но эта	2	2
94	не в	4	2
95	вместе со	1	2
96	раз и	2	2
97	но они	1	2
98	одна из	1	2
99	xix веке	1	2
100	не могут	3	2
101	он и	3	2
102	к тому	2	2
103	и это	2	2
104	но при	2	2
105	в ее	3	2
106	еще в	1	2
107	ничего не	3	2
108	и здесь	3	2
109	о том	2	2
110	в глаза	1	2
111	времени в	1	2
112	что и	1	2
113	бросается в	1	2
114	в том	16	2
115	который в	1	2
116	и ее	1	2
117	уже не	3	2
118	в известной	3	2
119	в одном	5	2
120	друг друга	3	2
121	тем что	1	2
122	только к	1	2
123	говорит о	1	2
124	до конца	2	2
125	под влиянием	1	2
126	было в	1	2
127	но особенно	1	2
128	еще раз	2	2
129	это уже	4	2
130	от всего	2	2
131	потому что	5	2
132	в частности	5	2
133	в таком	2	2
134	а между	1	1
135	маски в	1	1
136	сохраняет свое	1	1
137	на творчество	1	1
138	одним из	2	1
139	например в	2	1
140	человека и	1	1
141	начала является	1	1
142	цинизма и	1	1
143	он показывает	1	1
144	а из	1	1
145	и др	24	1
146	самом деле	3	1
147	это и	1	1
148	на деле	1	1
149	же по	1	1
150	поэтому он	1	1
151	на две	1	1
152	проникает в	1	1
153	перед миром	1	1
154	в какой-то	1	1
155	объясняется и	1	1
156	века в	5	1
157	деле же	1	1
158	смотреть на	1	1
159	на пороге	1	1
160	xvii века	4	1
161	и новые	1	1
162	роман в	1	1
163	не вполне	2	1
164	даже самый	1	1
165	самой природе	1	1
166	в виду	3	1
167	начала в	4	1
168	подчеркнуть что	2	1
169	в ней	6	1
170	относит к	2	1
171	мире при	1	1
172	в xix	1	1
173	литературы и	5	1
