N	3gram	Losev_Vesc_1	FransuaR
1	в то же	1	8
2	в конце концов	2	4
3	более или менее	1	3
4	для того чтобы	2	3
5	это и есть	1	3
6	руки и ноги	2	3
7	с другой стороны	2	3
8	подобно тому как	4	3
9	имеется в виду	1	2
10	с точки зрения	3	2
11	на самом же	1	2
12	с одной стороны	3	2
13	самом же деле	1	2
14	не только в	4	2
15	в то время	1	2
16	о том что	4	2
17	нужно сказать что	1	2
18	можно сказать что	3	1
19	таким образом что	1	1
20	и того же	1	1
21	как она есть	3	1
22	того же типа	1	1
23	а следовательно и	1	1
24	да и в	1	1
25	с полной ясностью	1	1
26	дело в том	2	1
27	между прочим и	1	1
28	мы уже сказали	1	1
29	то же самое	1	1
30	одной стороны и	1	1
31	знает что такое	1	1
32	до сих пор	1	1
33	из них в	1	1
34	в той же	1	1
35	в этом отношении	1	1
36	и то что	3	1
37	он думает что	1	1
38	того что они	1	1
39	одно и то	4	1
40	как раз в	1	1
41	так как она	1	1
42	то время как	1	1
43	в самом начале	1	1
44	в данном случае	2	1
45	с тех пор	1	1
46	судить о характере	1	1
47	из них получилось	1	1
48	и то же	4	1
49	и как бы	1	1
50	по природе своей	1	1
51	в этом небольшом	1	1
52	оказывается вовсе не	1	1
53	все же не	1	1
54	это не значит	1	1
55	действительность так как	1	1
56	тех кто не	1	1
57	как мы знаем	1	1
58	не может быть	6	1
59	перед нами как	1	1
60	что мы уже	1	1
61	в нем нет	1	1
62	никто никогда не	1	1
63	даже и в	1	1
64	в свою очередь	4	1
65	прежде всего к	1	1
66	мы не знаем	1	1
67	но даже и	2	1
68	одного и того	1	1
69	мы встречаем здесь	1	1
70	потому что это	1	1
71	них получилось нечто	1	1
72	мы видим что	1	1
73	тех или иных	1	1
74	в том что	4	1
75	что и в	1	1
76	один из самых	1	1
77	что из них	1	1
78	мы видели что	1	1
