N	2gram	Bakhtin_KF_1	StatiiOP
1	и в	24	29
2	в том	6	27
3	том что	4	27
4	в этом	14	21
5	но и	9	19
6	что в	4	19
7	не только	5	19
8	в трагедии	1	17
9	о том	3	17
10	в его	40	13
11	что он	2	13
12	между прочим	1	12
13	то что	7	11
14	в которой	1	11
15	все это	10	11
16	к тому	1	10
17	так и	2	9
18	он не	6	9
19	потому что	2	9
20	и не	26	9
21	в своем	16	9
22	как раз	1	8
23	по поводу	1	8
24	но в	5	8
25	и пр	3	8
26	в своей	10	7
27	с тем	2	7
28	вместе с	1	7
29	для того	3	7
30	в котором	24	7
31	тому что	2	7
32	в самом	1	7
33	я не	6	7
34	в ней	3	7
35	в виду	3	7
36	но все	5	7
37	все же	5	6
38	вопрос о	2	6
39	вовсе не	7	6
40	об этом	1	6
41	в одном	4	6
42	и его	17	6
43	и на	3	6
44	того чтобы	2	6
45	прежде всего	2	5
46	точки зрения	12	5
47	того что	3	5
48	между тем	4	5
49	в качестве	2	5
50	была бы	1	5
51	а не	17	5
52	было бы	8	5
53	как бы	9	5
54	но с	1	4
55	и с	1	4
56	в другом	3	4
57	в нем	28	4
58	не в	12	4
59	выхода в	1	4
60	для него	8	4
61	хотя и	1	4
62	времени и	4	4
63	и к	1	4
64	до того	1	4
65	дело в	2	4
66	и о	1	4
67	еще более	2	4
68	ничего не	3	4
69	именно в	5	4
70	должен был	1	4
71	к этому	2	4
72	а как	2	4
73	не мог	1	3
74	и здесь	7	3
75	отношении к	2	3
76	не сумел	1	3
77	но он	1	3
78	не был	1	3
79	у меня	1	3
80	это слово	1	3
81	не было	8	3
82	не менее	3	3
83	за свою	1	3
84	хотя бы	4	3
85	что эта	2	3
86	что это	3	3
87	относятся к	1	3
88	по себе	2	3
89	в их	8	3
90	и он	1	3
91	но не	12	3
92	оно не	2	3
93	одной из	1	3
94	во всяком	1	3
95	кажется что	2	3
96	на самом	3	3
97	отношений между	1	3
98	никогда не	5	3
99	и даже	1	3
100	в этих	1	3
101	как в	2	3
102	другое дело	2	3
103	с этим	1	3
104	ни в	12	3
105	а с	2	3
106	всяком случае	1	3
107	тем что	3	3
108	что ему	1	3
109	не могло	1	3
110	ни у	2	3
111	из нее	1	3
112	и именно	2	3
113	до конца	3	3
114	в известном	1	3
115	сомнения что	1	3
116	его не	1	3
117	самом деле	3	3
118	оба эти	2	3
119	в эту	1	3
120	не является	1	3
121	и по	1	3
122	но это	6	3
123	все эти	10	2
124	в значительной	1	2
125	на его	1	2
126	как и	5	2
127	бы то	2	2
128	того же	1	2
129	где он	3	2
130	не может	27	2
131	в один	1	2
132	не по	4	2
133	в духе	1	2
134	не к	1	2
135	связь с	1	2
136	в себе	21	2
137	на то	1	2
138	только по	2	2
139	конечно и	1	2
140	в какой	1	2
141	бы ни	1	2
142	в области	2	2
143	дело не	2	2
144	как это	1	2
145	что я	5	2
146	не дает	3	2
147	в это	2	2
148	в то	3	2
149	если не	2	2
150	и теперь	1	2
151	эти слова	1	2
152	его в	5	2
153	и я	5	2
154	это очень	1	2
155	его как	5	2
156	там где	5	2
157	в ее	16	2
158	например что	1	2
159	совершенно не	6	2
160	конечно в	2	2
161	в чисто	1	2
162	особенно в	1	2
163	а затем	1	2
164	тем же	1	2
165	то ни	2	2
166	значительной степени	1	2
167	то же	5	2
168	из его	3	2
169	что этот	3	2
170	с точки	9	2
171	не имеет	5	2
172	этой мысли	1	2
173	они не	1	2
174	в движении	1	2
175	утверждать что	1	2
176	ее в	1	2
177	на почве	1	2
178	до ее	1	2
179	в отношении	1	2
180	только с	3	2
181	и это	12	2
182	далеко от	1	2
183	даны в	2	2
184	и потому	2	2
185	в истории	1	2
186	на первом	2	2
187	нет и	3	2
188	том смысле	1	2
189	тем не	2	2
190	только в	16	2
191	что за	2	2
192	это было	2	2
193	со стороны	7	2
194	если бы	8	2
195	только что	1	2
196	по своему	3	2
197	где я	4	2
198	не должен	3	2
199	только не	1	2
200	ни было	4	2
201	в этой	2	2
202	а к	1	2
203	том же	1	2
204	него самого	1	2
205	что именно	1	2
206	при этом	4	2
207	в каком	4	2
208	нигде не	3	2
209	не потому	2	2
210	только к	1	2
211	что и	7	2
212	есть еще	1	2
213	в процессе	2	2
214	в результате	1	2
215	несмотря на	1	2
216	не раз	1	2
217	с его	1	2
218	также и	1	2
219	меня в	3	2
220	может быть	45	2
221	и др	1	2
222	в содержании	1	2
223	так как	1	2
224	от его	5	2
225	и как	2	2
226	в данном	2	2
227	нет сомнения	1	2
228	его от	1	1
229	что ей	1	1
230	и совершенно	3	1
231	все свои	1	1
232	форму и	1	1
233	вместо того	1	1
234	действительно ли	2	1
235	и исторической	1	1
236	оказался в	1	1
237	места в	4	1
238	могли быть	1	1
239	самого себя	1	1
240	для нас	4	1
241	еще не	4	1
242	гораздо более	1	1
243	все попытки	4	1
244	уже тем	1	1
245	что мне	1	1
246	скорее наоборот	1	1
247	же время	2	1
248	эту разницу	1	1
249	должны быть	1	1
250	говорить о	2	1
251	эта картина	1	1
252	можно сказать	1	1
253	место в	5	1
254	но эти	1	1
255	ни была	1	1
256	или в	1	1
257	жизни и	8	1
258	на том	1	1
259	но для	2	1
260	для которого	3	1
261	отличается от	1	1
262	не будет	2	1
263	а это	2	1
264	нет в	4	1
265	и для	9	1
266	это дело	1	1
267	данном контексте	1	1
268	себе в	1	1
269	котором мы	3	1
270	для всего	1	1
271	на своем	3	1
272	здесь не	3	1
273	эстетики и	1	1
274	и действительно	6	1
275	я могу	5	1
276	является еще	1	1
277	и их	6	1
278	конечно это	1	1
279	именно вследствие	1	1
280	а то	1	1
281	только на	1	1
282	и жизни	4	1
283	только себя	1	1
284	на границе	1	1
285	и тот	1	1
286	известном смысле	1	1
287	только при	1	1
288	и все	7	1
289	бы он	2	1
290	исходить из	1	1
291	над ним	1	1
292	одновременно и	1	1
293	отказаться от	2	1
294	бы что	1	1
295	действие и	1	1
296	другой в	1	1
297	значение для	1	1
298	число таких	1	1
299	все дано	1	1
300	настоящее время	1	1
301	вырастал в	1	1
302	всем что	1	1
303	мы не	3	1
304	второй половине	1	1
305	ценность как	1	1
306	именно что	1	1
307	нисколько не	4	1
308	от него	3	1
309	таким путем	1	1
310	о возможности	1	1
311	вследствие этого	2	1
312	героиня и	1	1
313	лежащий в	1	1
314	как его	4	1
315	и рядом	1	1
316	жизнь в	1	1
317	а в	4	1
318	но внутри	1	1
319	что только	2	1
320	и во	1	1
321	в принципе	2	1
322	были бы	2	1
323	совсем не	2	1
324	в настоящее	1	1
325	независимо от	3	1
326	и принципиально	2	1
327	нуждается в	1	1
328	и такие	1	1
329	отвлеченного начала	1	1
330	жизни в	5	1
331	нет этого	1	1
332	ничем не	1	1
333	это разные	1	1
334	и тут	1	1
335	на чем	1	1
336	но только	1	1
337	вокруг него	2	1
338	всего что	1	1
339	этом смысле	3	1
340	но уже	1	1
341	он жив	1	1
342	отношение к	5	1
343	каких бы	1	1
344	между ними	1	1
345	вышел из	1	1
346	различия в	1	1
347	как не	1	1
348	быть не	2	1
349	здесь нет	2	1
350	связанных с	1	1
351	и очень	1	1
352	последних двух	1	1
