N	3gram	Nazirov_Tv_2	Otkroven
1	о великом инквизиторе	3	6
2	записок из подполья	1	5
3	в записках из	3	3
4	в преступлении и	10	3
5	в нем нет	1	3
6	преступлении и наказании	10	3
7	в романах достоевского	12	3
8	записках из подполья	3	3
9	и в этом	1	2
10	человека в его	1	2
11	никогда не было	2	2
12	и ивана карамазова	1	2
13	что у него	1	2
14	в дневнике писателя	2	2
15	легенда о великом	3	2
16	не может быть	3	2
17	не могут быть	1	2
18	нет ничего кроме	1	2
19	и никогда не	1	2
20	на западе но	1	2
21	в другом месте	1	1
22	ничего не делает	1	1
23	как будто бы	1	1
24	в своих романах	2	1
25	хотя и не	1	1
26	бога и дьявола	1	1
27	и он всегда	1	1
28	потому что в	1	1
29	том что в	1	1
30	н к михайловского	1	1
31	его образ и	1	1
32	кто бы он	1	1
33	в самом деле	2	1
34	у достоевского всегда	1	1
35	достоевским в идиоте	1	1
36	и в том	1	1
37	о том как	1	1
38	так и не	1	1
39	приходит в голову	1	1
40	и в преступлении	1	1
41	записки из подполья	2	1
42	достоевский так и	1	1
43	преступление и наказание	1	1
44	может быть назван	1	1
45	достоевского преступление и	1	1
46	у достоевского нет	2	1
47	униженные и оскорбленные	1	1
48	и не может	2	1
49	во всяком случае	2	1
50	романов достоевского в	1	1
51	не в силах	2	1
52	о том что	2	1
53	о человеке которая	1	1
54	в этот период	1	1
55	он еще не	2	1
56	у достоевского не	1	1
57	и прежде всего	1	1
58	в том что	2	1
59	он ни был	1	1
60	бытия но достоевский	1	1
61	что творчество достоевского	1	1
62	бы он ни	1	1
63	достоевского не могут	1	1
64	не так как	1	1
65	в каждом из	1	1
66	в братьях карамазовых	6	1
67	удар за ударом	1	1
68	не приходит в	1	1
69	у достоевского есть	1	1
70	что он был	1	1
71	всегда и везде	1	1
72	преступления и наказания	2	1
73	как и в	1	1
74	в противоречии с	1	1
75	с иваном карамазовым	2	1
76	достоевского нет ничего	1	1
