N	2gram	Vinokur_Vv_1	Dialekti
1	не есть	4	47
2	и не	13	30
3	т е	38	30
4	может быть	24	20
5	не только	21	19
6	и в	27	19
7	по себе	9	18
8	и т	43	17
9	а не	3	16
10	в себе	4	15
11	т д	37	15
12	что она	3	14
13	потому что	14	14
14	то что	17	14
15	в том	31	14
16	так как	13	14
17	и даже	5	14
18	как бы	5	14
19	вовсе не	6	13
20	то же	8	12
21	точки зрения	7	12
22	не просто	4	12
23	но и	5	12
24	значит что	1	12
25	и все	1	12
26	и как	9	10
27	что это	3	10
28	в нем	13	10
29	как и	5	10
30	том что	26	10
31	сказать что	5	10
32	так и	1	10
33	это не	8	10
34	по крайней	4	9
35	никогда не	3	9
36	времени и	4	9
37	крайней мере	4	9
38	не может	13	9
39	она есть	5	9
40	мы уже	1	8
41	в этом	34	8
42	в своей	4	8
43	с точки	2	8
44	не в	8	8
45	есть нечто	1	8
46	прежде всего	8	8
47	это есть	2	8
48	это значит	1	8
49	и то	5	7
50	есть не	3	7
51	сама по	3	7
52	так что	5	7
53	и к	1	7
54	должно быть	2	7
55	как это	5	7
56	только тогда	1	7
57	но что	3	7
58	как будто	3	7
59	совершенно не	1	7
60	но это	1	7
61	что в	11	7
62	чтобы не	1	6
63	но не	7	6
64	тогда когда	3	6
65	в то	5	6
66	и вообще	3	6
67	и та	1	6
68	что он	4	6
69	не потому	1	6
70	что не	5	6
71	того что	12	6
72	да и	4	6
73	есть и	4	6
74	жизни и	2	6
75	и это	6	5
76	должна быть	2	5
77	говорить о	3	5
78	есть ли	1	5
79	и стало	1	5
80	в силу	3	5
81	все равно	1	5
82	жизнь и	1	5
83	иной раз	2	5
84	же время	5	5
85	и его	5	5
86	и с	2	5
87	в виду	4	5
88	о том	15	5
89	и что	4	5
90	можно сказать	3	5
91	но как	2	5
92	не мешает	1	5
93	не то	1	5
94	что и	3	5
95	с другой	8	5
96	а именно	6	5
97	в одно	1	5
98	по своему	5	5
99	как раз	4	5
100	только что	4	5
101	в самом	12	5
102	только в	13	5
103	и есть	3	4
104	еще не	4	4
105	быть в	4	4
106	самом деле	6	4
107	или иное	1	4
108	в одной	1	4
109	независимо от	3	4
110	в своем	3	4
111	все же	8	4
112	только то	1	4
113	та же	1	4
114	как он	6	4
115	при этом	3	4
116	же это	2	4
117	и вот	3	4
118	что тут	1	4
119	одно и	1	4
120	таким образом	19	4
121	заключается в	4	4
122	не больше	1	4
123	нисколько не	3	4
124	в одном	4	4
125	но он	1	4
126	все это	6	4
127	с ним	1	4
128	связи с	3	4
129	в каком	1	4
130	не могут	5	4
131	есть только	2	4
132	это конечно	1	4
133	что оно	2	4
134	той или	1	4
135	без всякого	1	4
136	в ее	11	4
137	то или	1	4
138	ясно что	9	4
139	в другом	3	4
140	к нему	2	4
141	как нечто	8	4
142	вопрос об	1	4
143	без этого	1	4
144	уже в	5	4
