N	3gram	Tiupa_Teor_1	Myslijsy
1	по отношению к	4	8
2	заключает в себе	1	8
3	в том что	8	7
4	о том что	1	5
5	по крайней мере	1	5
6	не может быть	4	5
7	можно сказать что	2	4
8	для того чтобы	1	4
9	а между тем	1	4
10	то же самое	1	4
11	тем не менее	3	4
12	в то же	5	3
13	в том случае	1	3
14	тем и другим	1	3
15	не только не	2	3
16	может быть назван	1	3
17	то же время	5	3
18	с точки зрения	3	3
19	подобно тому как	1	2
20	так или иначе	4	2
21	а в том	1	2
22	таким образом что	1	2
23	не было и	1	2
24	в большинстве случаев	1	2
25	до известной степени	2	2
26	не что иное	1	2
27	не могут быть	2	2
28	в этих случаях	1	2
29	что иное как	1	2
30	мы имеем дело	2	2
31	в данном случае	5	2
32	при этом в	1	2
33	следует иметь в	1	1
34	можно говорить о	1	1
35	с одной стороны	2	1
36	заключается в том	1	1
37	тогда как в	2	1
38	в том чем	1	1
39	таким же образом	1	1
40	в себе никаких	1	1
41	здесь мы имеем	1	1
42	на нее как	1	1
43	имеет в своем	2	1
44	значении то есть	1	1
45	бы они ни	1	1
46	при всей своей	1	1
47	с другой стороны	5	1
48	может быть и	2	1
49	имеем дело с	1	1
50	все то что	1	1
51	к тому что	2	1
52	как и в	2	1
53	могли бы быть	1	1
54	и того же	3	1
55	даже в том	1	1
56	том случае если	1	1
57	это было возможно	1	1
58	как в поэзии	1	1
59	на первый взгляд	1	1
60	по поводу этой	1	1
61	он ни был	1	1
62	смысле можно говорить	1	1
63	для меня в	1	1
64	прибавить ни убавить	1	1
65	не была бы	1	1
66	и в слове	1	1
67	в сравнении с	1	1
68	а тем более	1	1
69	как один из	1	1
70	одного и того	3	1
71	тому что его	1	1
72	в том числе	2	1
73	дело не в	1	1
74	в наших примерах	1	1
75	в связи с	1	1
76	ни прибавить ни	1	1
77	отвечая на вопрос	1	1
78	иметь в виду	1	1
79	есть не что	1	1
80	со всех сторон	1	1
81	в виду что	1	1
82	точно так же	1	1
83	случае мы имеем	1	1
84	том числе и	1	1
85	дело в том	1	1
86	друг от друга	1	1
87	в свою очередь	2	1
88	не об отсутствии	1	1
89	и здесь мы	1	1
90	не только к	1	1
91	это было бы	1	1
92	не менее не	1	1
93	может быть названо	2	1
94	мы говорим о	1	1
95	личные местоимения не	1	1
96	бы ни был	1	1
97	в то время	1	1
98	имеем дело не	1	1
