1	до сих пор	3	5
2	но все же	1	4
3	не может быть	10	4
4	с другой стороны	1	4
5	что иное как	1	3
6	не что иное	1	3
7	по сравнению с	1	3
8	мы видели что	1	3
9	на то что	2	3
10	в этом случае	1	3
11	как мы видели	3	3
12	не только в	1	2
13	так и в	1	2
14	то же самое	5	2
15	в связи с	7	2
16	смысле этого слова	4	2
17	тем не менее	1	2
18	о том что	3	2
19	и пр или	1	2
20	тем что он	1	2
21	а в связи	1	1
22	и связанные с	1	1
23	но и в	2	1
24	и в особенности	1	1
25	к тому что	3	1
26	между ним и	1	1
27	в узком смысле	2	1
28	с ними в	1	1
29	в том числе	1	1
30	свою связь с	1	1
31	а именно к	1	1
32	не могут быть	1	1
33	в большинстве случаев	5	1
34	и с помощью	1	1
35	что он как	1	1
36	в широком смысле	1	1
37	от него он	1	1
38	хотя и в	1	1
39	в этой форме	1	1
40	одно и то	3	1
41	может быть и	5	1
42	как целое мы	1	1
43	но он не	1	1
44	с нашей точки	2	1
45	как мы увидим	1	1
46	в зависимости от	2	1
47	и в большинстве	1	1
48	и не может	3	1
49	одна из них	1	1
50	то что они	1	1
51	всех этих случаях	1	1
52	тому что в	1	1
53	и в других	1	1
54	на том что	1	1
55	этом как мы	1	1
56	узком смысле этого	1	1
57	же самое что	1	1
58	можно сказать что	1	1
59	независимо от того	1	1
60	мы здесь не	1	1
61	это не совсем	1	1
62	нашей точки зрения	2	1
63	не только по	1	1
64	дело вовсе не	1	1
65	превращает его в	1	1
66	мы уже знаем	2	1
67	как и в	1	1
68	только с помощью	1	1
69	во всех этих	1	1
70	и то же	3	1
