N	2gram	Bakhtin_Pr_3	BTomashe
1	на стр	1	2
2	и не	15	2
3	в ней	7	2
4	можно было	1	2
5	видеть в	1	2
6	лучше и	1	2
7	все это	8	2
8	не то	3	2
9	говорить о	2	1
10	со всем	1	1
11	во всяком	1	1
12	с другой	2	1
13	не все	1	1
14	и полно	1	1
15	как всякий	1	1
16	в своей	3	1
17	по крайней	1	1
18	между ними	2	1
19	всяком случае	1	1
20	в области	3	1
21	и ее	6	1
22	на которой	1	1
23	в эпоху	10	1
24	и в	53	1
25	так и	6	1
26	за пределы	1	1
27	крайней мере	1	1
28	не о	2	1
29	и правильнее	1	1
30	об этом	1	1
31	по этим	1	1
32	и полнее	1	1
33	что все	1	1
34	пожалуй и	1	1
35	не было	4	1
36	и во	4	1
37	кроме того	3	1
38	было бы	5	1
39	одной из	4	1
40	далеко не	2	1
41	и потому	5	1
42	ней только	1	1
43	и более	2	1
44	прежде всего	15	1
45	моментом в	1	1
46	свое название	1	1
47	творчества и	1	1
48	что в	2	1
49	таким образом	6	1
50	к ней	1	1
51	всего в	1	1
52	можно в	1	1
53	а о	1	1
54	еще не	5	1
55	как будто	2	1
56	не только	4	1
57	и на	18	1
58	на самом	1	1
59	другой стороны	1	1
60	из своей	1	1
61	из ее	1	1
62	тем более	2	1
63	а не	11	1
