N	2gram	Berdyaev_M_2	Tragedij
1	и в	46	18
2	петра верховенского	1	17
3	в этом	20	9
4	в бесах	6	9
5	не только	18	8
6	он сам	6	7
7	и с	3	7
8	и на	3	7
9	петр верховенский	4	7
10	достоевский в	3	7
11	может быть	21	7
12	как бы	8	7
13	и не	18	7
14	но в	10	6
15	и его	5	6
16	в образе	3	6
17	что он	7	6
18	у него	22	6
19	то же	5	5
20	что это	6	5
21	это не	5	5
22	как и	13	5
23	так и	4	5
24	это очень	1	5
25	не может	15	5
26	у достоевского	34	5
27	я не	5	4
28	в себе	10	4
29	в целом	1	4
30	что достоевский	1	4
31	в этой	7	4
32	в нем	22	4
33	об этом	1	4
34	том что	4	4
35	достоевский не	5	4
36	и что	2	4
37	но и	15	4
38	но достоевский	3	4
39	прежде всего	12	4
40	так же	6	4
41	но это	8	4
42	все это	1	4
43	что в	4	4
44	и все	5	4
45	то что	5	4
46	достоевского в	2	3
47	в мире	7	3
48	и он	11	3
49	своего рода	1	3
50	как в	7	3
51	в своем	8	3
52	и как	1	3
53	все эти	1	3
54	должно быть	2	3
55	сам достоевский	3	3
56	о чем	1	3
57	своего отца	1	3
58	и сам	1	3
59	мог бы	1	3
60	жизнь и	4	3
61	с ним	3	3
62	к нему	2	3
63	в его	5	3
64	один из	5	3
65	уже в	2	3
66	записках из	1	3
67	для него	18	3
68	смысл жизни	1	3
69	никто не	1	3
70	в конце	5	3
71	как будто	2	3
72	что за	2	3
73	ставрогина и	1	3
74	ивана карамазова	7	2
75	из самых	1	2
76	и за	2	2
77	отказывается от	1	2
78	по замыслу	1	2
79	никогда не	18	2
80	и то	1	2
81	он был	9	2
82	не был	2	2
83	в преступлении	1	2
84	с его	4	2
85	отношение к	8	2
86	не человек	1	2
87	отвечает ему	1	2
88	так что	2	2
89	романах достоевского	1	2
90	это был	1	2
91	говорит что	2	2
92	в самом	5	2
93	бы и	5	2
94	в записках	1	2
95	он не	10	2
96	что она	5	2
97	но все	1	2
98	что все	5	2
99	его в	3	2
100	отца и	1	2
101	я все	1	2
102	ни в	3	2
103	нет в	4	2
104	с тем	1	2
105	не мог	3	2
106	любви и	3	2
107	замыслу достоевского	1	2
108	вопрос о	6	2
109	одном из	1	2
110	но эта	2	2
111	не в	9	2
112	отцом и	1	2
113	настасья филипповна	4	2
114	человека перед	1	2
115	но они	1	2
116	этими двумя	1	2
117	не имеет	4	2
118	в русском	4	2
119	xix веке	1	2
120	достоевским в	3	2
121	не могут	1	2
122	к тому	5	2
123	и это	5	2
124	в ее	1	2
125	веру в	1	2
126	еще в	2	2
127	как у	2	2
128	ничего не	2	2
129	и здесь	6	2
130	о том	3	2
131	теперь и	1	2
132	что и	4	2
133	в том	3	2
134	преступлении и	1	2
135	и ее	1	2
136	человеческой личности	7	2
137	ставрогина к	2	2
138	уже не	4	2
139	не так	3	2
140	друг друга	12	2
141	не случайно	2	2
142	тем что	3	2
143	с иваном	1	2
144	iii этот	1	2
145	до конца	4	2
146	было в	3	2
147	ставрогина он	1	2
148	она должна	1	2
149	в силах	1	2
150	для достоевского	8	2
151	потому что	12	2
152	личности и	2	2
153	и наказании	1	2
154	этим объясняется	1	2
155	по поводу	1	2
156	я и	2	1
157	а между	1	1
158	в сфере	2	1
159	он считает	2	1
160	обращается в	1	1
161	человека и	7	1
162	что наконец	1	1
163	сам по	2	1
164	самом деле	1	1
165	и женщины	4	1
166	это и	3	1
167	на деле	4	1
168	и есть	8	1
169	поэтому он	2	1
170	в мыслях	1	1
171	проникает в	1	1
172	великой идеи	1	1
173	должна быть	1	1
174	высшей степени	3	1
175	над которым	1	1
176	страстное и	1	1
177	достоевский считал	1	1
178	той же	3	1
179	не встречает	1	1
180	для достижения	1	1
181	идеи не	2	1
182	на себя	1	1
183	в разговоре	1	1
184	средство для	2	1
185	начала в	3	1
186	не способен	5	1
187	в ней	11	1
188	в xix	1	1
189	подобного нет	1	1
190	быть в	1	1
191	в чем	3	1
192	во всех	2	1
193	мысль что	4	1
194	в голове	1	1
195	значение и	1	1
196	с отцом	1	1
197	такой силой	1	1
198	друга и	1	1
199	и достоевский	8	1
200	за пределы	1	1
201	в центре	2	1
202	он перестает	1	1
203	человеческая личность	2	1
204	достоевского не	3	1
205	мысль о	2	1
206	со злом	3	1
207	верховенского как	1	1
208	идеи но	1	1
209	добро и	2	1
210	то в	2	1
211	со своей	1	1
212	в которой	2	1
213	он в	3	1
214	бы не	2	1
215	за себя	1	1
216	право на	1	1
217	только один	1	1
218	жизнь как	1	1
219	как он	3	1
220	если он	2	1
221	в братьях	2	1
222	ответом на	1	1
223	человек не	7	1
224	и если	2	1
225	на западе	1	1
226	перестает быть	1	1
227	чем у	4	1
228	к одному	1	1
229	не к	2	1
230	что нужно	1	1
231	душу и	3	1
232	страдания и	3	1
233	в россии	3	1
234	у рогожина	1	1
235	еще сохраняется	1	1
236	этом мире	1	1
237	на этом	2	1
238	бога но	1	1
239	но без	1	1
240	же не	1	1
241	им как	1	1
242	в другом	1	1
243	в финале	1	1
244	обратился к	1	1
245	на все	3	1
246	лишь в	2	1
247	мира сего	3	1
248	которым все	1	1
249	характерный для	1	1
250	из первых	1	1
251	в них	3	1
252	достоевский и	1	1
253	он же	3	1
254	достоевского и	2	1
255	в высшей	3	1
256	из подполья	2	1
257	этого не	1	1
258	а за	2	1
259	всю жизнь	3	1
260	эту тему	1	1
261	которой он	1	1
262	для чего	3	1
263	с такой	1	1
264	ведет к	13	1
265	в развитии	1	1
266	человека мы	1	1
267	то есть?	1	1
268	же я	1	1
269	перед собой	1	1
270	но я	1	1
271	все герои	1	1
272	но если	1	1
273	в своей	5	1
274	в такой	3	1
275	эта тема	1	1
276	во времена	1	1
277	в котором	1	1
278	человеком и	1	1
279	вступил в	1	1
280	понимал что	1	1
281	о загробной	1	1
282	должны были	1	1
283	значение для	1	1
284	стало быть	1	1
285	и вот	5	1
286	но он	11	1
287	в ставрогине	1	1
288	и тайны	1	1
289	не могли	1	1
290	это чувство	1	1
291	теперь я	1	1
292	по себе	2	1
293	тому что	4	1
