N	2gram	Medvedev_B_1	SlovoVZh
1	таким образом	1	12
2	и в	1	12
3	и не	2	10
4	прежде всего	1	8
5	художественного произведения	1	7
6	в ней	2	6
7	должна быть	1	5
8	отнюдь не	1	5
9	а не	1	5
10	на самом	1	4
11	за пределы	1	4
12	все же	1	4
13	не только	1	4
14	так и	1	4
15	с другой	1	4
16	и на	1	4
17	художественном произведении	1	3
18	в пределах	1	3
19	еще не	1	3
20	и ее	1	3
21	в своей	1	3
22	и более	1	3
23	все это	2	3
24	в данном	1	2
25	кроме того	1	2
26	и потому	1	2
27	до конца	1	2
28	другой стороны	1	2
29	между ними	1	2
30	что в	1	2
31	и о	1	1
32	можно было	2	1
33	не вполне	1	1
34	словесного творчества	1	1
35	в значительной	1	1
36	и во	1	1
37	было говорить	1	1
38	крайней мере	1	1
39	это вместе	1	1
40	на которой	1	1
41	стиля и	1	1
42	можно в	1	1
43	более подробно	1	1
44	не то	2	1
45	бы только	1	1
46	всяком случае	1	1
47	значительной степени	1	1
48	что все	1	1
49	выходит за	1	1
50	было бы	1	1
51	не было	1	1
52	далеко не	1	1
53	же не	1	1
54	работу по	1	1
55	автора по	1	1
56	является только	1	1
57	по крайней	1	1
58	точно и	1	1
59	очень узко	1	1
60	тем более	1	1
61	как будто	1	1
62	в области	1	1
63	у нас	3	1
64	по поэтике	1	1
65	во всяком	1	1
