1	в книге	2	3
2	и в	40	2
3	в том	8	2
4	том что	4	2
5	в конце	3	2
6	все это	4	1
7	в другом	3	1
8	гораздо более	1	1
9	в частности	3	1
10	далеко не	2	1
11	только в	3	1
12	так в	4	1
13	и его	17	1
14	дело в	2	1
15	техники и	1	1
16	i г	1	1
17	под влиянием	1	1
18	стр на	1	1
19	хотя бы	2	1
20	все дело	1	1
21	имеется в	1	1
22	одно и	1	1
23	для них	1	1
24	главным образом	1	1
25	в этом	15	1
26	но это	3	1
27	то же	7	1
28	как же	1	1
29	в значительной	3	1
30	и не	13	1
31	ведь это	1	1
32	связанным с	1	1
33	к этому	6	1
34	и только	1	1
35	все то	2	1
36	потому что	2	1
37	в их	4	1
38	все время	1	1
39	ни к	1	1
40	значительной степени	2	1
41	другом месте	1	1
42	образом связаны	1	1
43	в самом	6	1
44	самом деле	3	1
45	речи и	1	1
46	да и	1	1
47	так как	4	1
48	говоря о	1	1
49	именно в	2	1
50	на одном	1	1
51	том же	2	1
