N	2gram	Medvedev_V_1	Freidism
1	и не	1	23
2	в этом	1	15
3	и его	1	12
4	самом деле	1	10
5	и в	2	9
6	то же	1	8
7	все это	1	8
8	только в	1	8
9	так как	1	8
10	в самом	1	7
11	хотя бы	1	6
12	сводится к	1	4
13	потому что	1	4
14	я не	1	4
15	главным образом	1	3
16	а только	1	3
17	по поводу	1	3
18	но это	1	3
19	в другом	1	2
20	конце концов	2	2
21	в конце	2	2
22	в их	1	2
23	ничуть не	1	2
24	все то	1	2
25	да и	1	2
26	речи и	1	2
27	к этому	1	2
28	и то	1	2
29	же с	1	2
30	том что	2	2
31	один пример	1	1
32	и самым	1	1
33	сводится в	1	1
34	даже не	1	1
35	для них	1	1
36	крайней мере	1	1
37	гораздо более	1	1
38	совершенно ясно	1	1
39	говоря о	1	1
40	социальных отношений	1	1
41	и только	1	1
42	на заре	1	1
43	время в	1	1
44	в том	2	1
45	от других	1	1
46	же все	1	1
47	все время	1	1
48	на одном	1	1
49	дело в	1	1
50	связанным с	1	1
51	под влиянием	1	1
52	по крайней	1	1
53	ясно что	1	1
54	образом из	1	1
55	именно в	1	1
56	далеко не	1	1
57	тем более	1	1
58	в книге	3	1
59	не будем	1	1
