N	3gram	Medvedev_U_1	Dialekti
1	в том что	2	7
2	сам по себе	1	6
3	само по себе	1	5
4	то же время	3	4
5	по крайней мере	2	4
6	с другой стороны	3	4
7	на то что	1	4
8	в то же	3	4
9	более или менее	1	3
10	в этом смысле	2	3
11	в конце концов	2	3
12	не может быть	4	3
13	можно сказать что	1	3
14	никогда не может	1	2
15	до сих пор	2	2
16	и в то	1	2
17	не было бы	1	2
18	в этом отношении	2	2
19	но что такое	1	2
20	и в частности	2	2
21	с одной стороны	1	2
22	или по крайней	1	2
23	и с другой	1	2
24	а между тем	2	1
25	превратилось бы в	1	1
26	другой стороны в	1	1
27	это было бы	1	1
28	в самом деле	2	1
29	но даже и	2	1
30	так или иначе	1	1
31	но это не	1	1
32	в ней не	1	1
33	но в то	1	1
34	прежде всего что	1	1
35	которые могли бы	1	1
36	конце концов не	1	1
37	было бы равносильно	1	1
38	не в том	1	1
39	еще ничего не	2	1
40	в первую очередь	1	1
41	а не только	1	1
42	бы это было	1	1
43	между тем в	1	1
44	никогда и не	1	1
45	для него она	1	1
46	тех или иных	2	1
47	друг с другом	1	1
48	если бы это	1	1
49	на первый взгляд	1	1
50	то же самое	2	1
