N	3gram	Potebnia_M_3	Tvorches
1	в то же	5	13
2	то же время	5	12
3	в том что	16	6
4	о том что	1	5
5	то есть не	4	2
6	на самом деле	1	2
7	и та же	1	2
8	и т п	2	2
9	по крайней мере	5	2
10	в данном случае	1	2
11	не только в	4	2
12	можно сказать что	2	2
13	там же с	6	2
14	тем не менее	3	2
15	в котором нет	1	1
16	потому что не	3	1
17	равно как и	1	1
18	не столько выражение	1	1
19	то же самое	1	1
20	в том же	2	1
21	нам кажется что	1	1
22	может быть назван	1	1
23	время в его	1	1
24	по отношению к	5	1
25	до сих пор	3	1
26	и в других	1	1
27	сами по себе	1	1
28	что он не	3	1
29	что как бы	1	1
30	а может быть	1	1
31	но все это	1	1
32	только то что	1	1
33	не могут быть	2	1
34	а вместе с	1	1
35	за то что	1	1
36	заключает в себе	5	1
37	то что называют	1	1
38	к мысли о	1	1
39	то и другое	1	1
40	вместе с тем	4	1
41	я и не	3	1
42	все это в	1	1
43	что оно не	1	1
44	и что в	1	1
45	из себя все	1	1
46	с одной стороны	3	1
47	себе а как	1	1
48	человека и все	1	1
49	одна и та	1	1
50	бросается в глаза	1	1
51	но эти слова	1	1
52	потому что я	1	1
53	у него в	1	1
54	по себе а	4	1
55	заключается в том	1	1
56	то к чему	1	1
57	в свою очередь	3	1
58	значение того что	1	1
59	это значит что	1	1
60	и в самом	2	1
61	в которую не	1	1
62	с другой стороны	4	1
63	таким образом и	1	1
64	к тому что	2	1
65	к вопросу о	1	1
66	как и в	2	1
67	и в ее	1	1
68	на первый взгляд	1	1
69	к тому же	1	1
70	на наш взгляд	1	1
71	и содержание в	1	1
72	и т д	3	1
