N	4gram	Potebnia_M_3	Myshleni
1	в то время как	1	4
2	но вместе с тем	1	4
3	заключается в том что	1	4
4	собственном смысле этого слова	1	3
5	в собственном смысле этого	1	3
6	между тем и другим	1	2
7	одно и то же	5	2
8	одной и той же	2	2
9	или по крайней мере	1	1
10	но тем не менее	2	1
11	с одной стороны и	1	1
12	в том что только	1	1
13	между звуком и значением	1	1
14	и та и другая	1	1
15	единство звука и значения	1	1
16	сам по себе способен	1	1
17	в силу того что	1	1
18	потому что оно есть	1	1
19	потому что он не	2	1
20	в то же время	5	1
21	сливаются друг с другом	1	1
22	в том что он	2	1
23	вместе с тем и	2	1
24	в том что этот	1	1
