N	3gram	Losev_Vesc_1	VrazhdaK
1	в то же	1	4
2	с точки зрения	3	2
3	как раз в	1	2
4	не может быть	6	2
5	в том что	4	2
6	а следовательно и	1	1
7	да и в	1	1
8	общего ни с	1	1
9	то что я	2	1
10	между прочим и	1	1
11	равно как и	2	1
12	еще не знали	1	1
13	до сих пор	1	1
14	в той же	1	1
15	он и не	1	1
16	в этом отношении	1	1
17	независимо от того	1	1
18	всего то что	2	1
19	ничего общего ни	1	1
20	с тех пор	1	1
21	по крайней мере	4	1
22	и то что	3	1
23	одно и то	4	1
24	о том как	1	1
25	так же как	1	1
26	и что он	1	1
27	в конце концов	2	1
28	и то же	4	1
29	и во всей	1	1
30	все же не	1	1
31	– одна из	1	1
32	во всяком случае	2	1
33	что у него	1	1
34	во внимание в	1	1
35	с другой стороны	2	1
36	тем не менее	3	1
37	заключается в том	1	1
38	в то время	1	1
39	в свою очередь	4	1
40	это и есть	1	1
41	что в ней	1	1
42	о том что	4	1
43	и в самом	1	1
44	не только не	2	1
45	не знали что	1	1
46	на то что	2	1
47	имеется в виду	1	1
48	не вдаваясь в	1	1
