N	2gram	Berdyaev_M_2	Istorich
1	и в	46	26
2	так же	6	18
3	т е	4	18
4	то что	5	16
5	не только	18	15
6	может быть	21	14
7	что в	4	14
8	же как	3	13
9	между двумя	1	12
10	но и	15	12
11	связь с	1	12
12	так и	4	10
13	и его	5	10
14	что он	7	10
15	его в	3	9
16	что и	4	9
17	так как	8	9
18	и не	18	9
19	то же	5	8
20	а в	2	8
21	в этом	20	7
22	он не	10	7
23	об этом	1	7
24	как и	13	7
25	в этих	2	7
26	их в	1	7
27	нас к	1	7
28	как в	7	7
29	превращается в	2	7
30	и то	1	6
31	что они	3	6
32	как он	3	6
33	не всегда	2	6
34	к нему	2	6
35	мы видим	2	6
36	потому что	12	6
37	а не	13	6
38	не может	15	6
39	вместе с	2	6
40	когда он	1	6
41	это и	3	5
42	и как	1	5
43	но в	10	5
44	уже не	4	5
45	и только	1	5
46	с собой	2	5
47	но все	1	5
48	в другом	1	5
49	и с	3	5
50	это не	5	5
51	к которым	1	5
52	не в	9	5
53	ничего не	2	5
54	и у	1	5
55	и здесь	6	5
56	и что	2	5
57	в его	5	5
58	раньше чем	1	5
59	у него	22	5
60	тем что	3	5
61	до сих	3	5
62	сих пор	3	5
63	мы должны	1	5
64	к этому	1	5
65	вопрос о	6	4
66	на себя	1	4
67	в которых	1	4
68	его на	4	4
69	он в	3	4
70	в плену	1	4
71	но он	11	4
72	в своей	5	4
73	но эта	2	4
74	того как	3	4
75	о том	3	4
76	с другой	1	4
77	такое же	1	4
78	все что	4	4
79	приводит нас	1	4
80	что иное	3	3
81	не сразу	1	3
82	только тогда	1	3
83	его к	1	3
84	все эти	1	3
85	на то	1	3
86	и если	2	3
87	на его	2	3
88	что она	5	3
89	он должен	1	3
90	что у	4	3
91	на земле	8	3
92	что ни	1	3
93	те же	5	3
94	не мог	3	3
95	том что	4	3
96	от своего	1	3
97	по сравнению	1	3
98	и более	1	3
99	не имеет	4	3
100	в русской	6	3
101	во всем	5	3
102	связи с	2	3
103	к себе	2	3
104	все еще	1	3
105	и он	11	3
106	она не	8	3
107	в образе	3	3
108	в религии	1	3
109	на вопрос	1	3
110	иное как	3	3
111	а также	1	3
112	о природе	1	3
113	это приводит	1	3
114	в том	3	3
115	мы увидим	2	3
116	только в	3	3
117	переходит в	8	3
118	и других	2	3
119	у многих	1	3
120	о чем	1	3
121	к своему	2	3
122	сравнению с	1	3
123	как бы	8	3
124	многих других	1	3
125	но это	8	3
126	только что	1	3
127	уже нет	1	3
128	е в	2	3
129	между ними	1	3
130	на смену	3	3
131	своего отца	1	3
132	или он	1	3
133	не что	3	3
134	к этой	1	3
135	он также	2	2
136	он может	1	2
137	и есть	8	2
138	не хочет	1	2
139	должна быть	1	2
140	и за	2	2
141	только это	2	2
142	в царство	1	2
143	связана с	7	2
144	к царству	1	2
145	отношение к	8	2
146	в этой	7	2
147	с этим	1	2
148	в своем	8	2
149	хотя и	2	2
150	говорит что	2	2
151	царство и	1	2
152	увидим что	2	2
153	что это	6	2
154	в целом	1	2
155	право на	1	2
156	и тот	2	2
157	в себе	10	2
158	в нем	22	2
159	он открывает	2	2
160	не к	2	2
161	на этом	2	2
162	с целью	1	2
163	лишь в	2	2
164	хотя бы	7	2
165	было бы	1	2
166	и тем	1	2
167	стоит на	2	2
168	он же	3	2
169	этого не	1	2
170	с тем	1	2
171	которой он	1	2
172	можно найти	1	2
173	человеком и	1	2
174	все это	1	2
175	по себе	2	2
176	отец и	1	2
177	ему как	2	2
178	что есть	2	2
179	идет на	2	2
180	к этим	1	2
181	не по	1	2
182	показывает как	1	2
183	по своей	3	2
184	что на	1	2
185	от того	3	2
186	у нас	11	2
187	не могут	1	2
188	его с	2	2
189	не есть	13	2
190	формы и	1	2
191	и этим	2	2
192	никогда не	18	2
193	живет в	1	2
194	и на	3	2
195	если бы	3	2
196	это обычно	1	2
197	говорит об	1	2
198	после того	2	2
199	и во	3	2
200	того что	6	2
201	происходит в	1	2
202	у тебя	1	2
203	себя в	4	2
204	так что	2	2
205	уже в	2	2
206	и они	1	2
207	есть в	3	2
208	не дает	1	2
209	его и	1	2
210	ни в	3	2
211	он становится	1	2
212	и толстой	1	2
213	у нее	1	2
214	только с	3	2
215	не случайно	2	2
216	возможно что	1	2
217	в пути	1	2
218	но есть	1	2
219	он уже	2	2
220	гор и	1	2
221	и вот	5	2
222	этого слова	1	2
223	такого рода	2	2
224	смысле этого	1	2
225	и там	6	2
226	с этой	1	2
227	есть и	3	2
228	в который	2	2
229	но для	2	2
230	и все	5	2
231	сказать что	3	2
232	но этот	2	2
233	обращается в	1	1
234	людей на	1	1
235	человека превращает	1	1
236	своей основной	1	1
237	что иван	1	1
238	вдруг начинают	1	1
239	к другому	3	1
240	не имеют	2	1
241	все те	1	1
242	над которым	1	1
243	держит в	1	1
244	на соединение	1	1
245	той же	3	1
246	их и	1	1
247	есть не	5	1
248	это совершенно	1	1
249	мы не	1	1
250	процесс может	1	1
251	что если	1	1
252	ответить на	1	1
253	выходит из	1	1
254	не была	1	1
255	нее он	1	1
256	но она	2	1
257	принадлежит к	2	1
258	они были	3	1
259	в ней	11	1
260	и самого	3	1
261	не от	2	1
262	он был	9	1
263	а еще	1	1
264	на них	1	1
265	он сам	6	1
266	со словами	1	1
267	в чем	3	1
268	во всех	2	1
269	процесс этот	1	1
270	все будет	1	1
271	от его	2	1
272	землю и	2	1
273	то он	2	1
274	два явления	1	1
275	к которой	3	1
276	друг на	1	1
277	к богу	2	1
278	не все	1	1
279	если в	1	1
280	себе и	2	1
281	себя за	1	1
282	независимо от	1	1
283	как к	2	1
284	что нет	3	1
285	есть что-то	4	1
286	целый ряд	1	1
287	вопросом о	1	1
288	и к	7	1
289	на своем	1	1
290	духа и	3	1
291	мир и	2	1
292	есть ли	2	1
293	к чему	4	1
294	та же	10	1
295	привести к	5	1
296	за человека	1	1
297	думать что	4	1
298	ничего и	1	1
299	говорят о	1	1
300	и те	2	1
301	ее как	1	1
302	в жертву	1	1
303	почти всегда	1	1
304	дальше и	2	1
305	но на	2	1
306	с изображением	1	1
307	силы ни	1	1
308	к миру	1	1
309	и социальной	1	1
310	они ведут	1	1
311	есть та	1	1
312	понял что	2	1
313	подобно тому	2	1
314	людей и	3	1
315	образа и	2	1
316	в нее	1	1
317	совпадают с	1	1
318	этом он	2	1
319	им как	1	1
320	на все	3	1
321	то все	2	1
322	он есть	1	1
323	в них	3	1
324	она и	1	1
325	он из	1	1
326	берет на	1	1
327	на друга	1	1
328	и уже	1	1
329	есть явление	2	1
330	перестает быть	1	1
331	с такой	1	1
332	в развитии	1	1
333	потому и	1	1
334	бога и	5	1
335	и тогда	3	1
336	в царстве	4	1
337	если я	2	1
338	и становится	1	1
339	но я	1	1
340	его нельзя	2	1
341	точки зрения	2	1
342	уже к	1	1
343	всему миру	1	1
344	в котором	1	1
345	внутренняя связь	1	1
346	должны были	1	1
347	момент в	3	1
348	и мать	1	1
349	отцом и	1	1
350	что было	3	1
351	даже склонен	1	1
352	сам он	2	1
353	тому что	4	1
354	ледяной холод	2	1
355	а от	2	1
356	одна сторона	1	1
357	все три	1	1
358	не знающих	1	1
359	тогда когда	2	1
360	на два	1	1
361	общества он	1	1
362	человека за	1	1
363	или иная	1	1
364	в русском	4	1
365	к ней	2	1
366	с этих	1	1
367	он хочет	3	1
368	же этот	1	1
369	его он	3	1
370	со своим	2	1
371	убить человека	1	1
372	до того	1	1
373	него было	1	1
374	и делает	1	1
375	в основе	2	1
376	не потому	1	1
377	действует в	1	1
378	в момент	1	1
379	должны быть	4	1
380	к тому	5	1
381	и это	5	1
382	можно и	1	1
383	не всякая	1	1
384	как не	1	1
385	средних веков	1	1
386	человеку но	1	1
387	в пределах	1	1
388	приводит к	1	1
