N	3gram	Vinokur_St_3	OGranits
1	с точки зрения	4	5
2	не может быть	5	4
3	в г в	3	2
4	но так как	1	2
5	в самом деле	1	2
6	с одной стороны	2	2
7	с другой стороны	4	2
8	с самого начала	2	2
9	в том что	11	2
10	и не является	1	2
11	то он и	1	1
12	тем хуже для	1	1
13	в чем же	1	1
14	этой точки зрения	1	1
15	иметь в виду	1	1
16	более или менее	1	1
17	на самом деле	1	1
18	и в некоторых	1	1
19	то же самое	1	1
20	должно было бы	1	1
21	в выборе темы	1	1
22	тесно связана с	2	1
23	выборе темы в	1	1
24	и не мог	1	1
25	между тем как	2	1
26	каждом отдельном случае	1	1
27	в этом отношении	4	1
28	то что в	1	1
29	в собственном смысле	1	1
30	можно было бы	1	1
31	в значительной мере	1	1
32	с этой точки	1	1
33	и тем что	1	1
34	в своей статье	1	1
35	и пр с	1	1
36	для того чтобы	1	1
37	может быть не	1	1
38	которая связана с	1	1
39	говоря даже и	1	1
40	состоит в том	3	1
41	тем не менее	2	1
42	отношение к слову	1	1
43	в течение всей	2	1
44	но может быть	1	1
45	в связи с	3	1
46	прежде всего в	3	1
47	то же время	3	1
48	может быть это	3	1
49	что в ней	1	1
50	мы видим у	1	1
51	первое и последнее	1	1
52	на то что	3	1
53	было бы быть	1	1
54	собственно говоря даже	1	1
55	в то же	3	1
56	в каждом отдельном	1	1
57	к тому что	2	1
58	в предисловии к	2	1
