N	2gram	Bakhtin_KF_1	BTomashe
1	и не	26	2
2	в ней	3	2
3	видеть в	1	2
4	все это	10	2
5	говорить о	2	1
6	со всем	5	1
7	во всяком	1	1
8	вопрос о	2	1
9	является только	1	1
10	совершенно не	6	1
11	в своей	10	1
12	между ними	1	1
13	всяком случае	1	1
14	и о	1	1
15	в области	2	1
16	области методологии	1	1
17	до конца	3	1
18	и ее	2	1
19	не со	2	1
20	более что	1	1
21	и в	24	1
22	так и	2	1
23	для которой	3	1
24	не о	2	1
25	об этом	1	1
26	представляется нам	1	1
27	точке зрения	1	1
28	так по	1	1
29	и полнее	1	1
30	что все	1	1
31	же не	1	1
32	не было	8	1
33	и во	1	1
34	должна быть	4	1
35	признать его	1	1
36	было бы	8	1
37	отнюдь не	6	1
38	одной из	1	1
39	было и	2	1
40	бы только	1	1
41	и потому	2	1
42	нет но	1	1
43	в значительной	1	1
44	говорить об	1	1
45	и исторической	1	1
46	все же	5	1
47	его не	1	1
48	следует конечно	1	1
49	как таковому	1	1
50	прежде всего	2	1
51	этой книги	1	1
52	творчества и	1	1
53	что в	4	1
54	к ней	1	1
55	всего в	1	1
56	можно в	1	1
57	еще не	4	1
58	не только	5	1
59	в данном	2	1
60	не следует	1	1
61	и на	3	1
62	на самом	3	1
63	значительной степени	1	1
64	а не	17	1
