N	3gram	Voloshinov_1	Tvorches
1	и т д	1	11
2	в то же	5	7
3	то же время	5	7
4	до сих пор	3	3
5	по отношению к	9	3
6	не может быть	3	3
7	о том что	1	2
8	в таком случае	2	2
9	в одной из	1	2
10	в том что	4	2
11	и не может	1	2
12	так и в	2	2
13	не в силах	2	2
14	в отличие от	1	2
15	на этот вопрос	1	2
16	в самом деле	5	2
17	это прежде всего	1	2
18	во всяком случае	3	2
19	по крайней мере	1	2
20	в наше время	1	2
21	в чем же	1	1
22	мы не можем	1	1
23	с самого начала	5	1
24	на себе самом	1	1
25	софокла царь эдип	1	1
26	том что в	1	1
27	в этой борьбе	1	1
28	об этом сам	1	1
29	рядом с ним	1	1
30	мы знаем что	3	1
31	это и есть	1	1
32	но в то	3	1
33	а может быть	1	1
34	и на себе	1	1
35	а с другой	1	1
36	и нет ничего	1	1
37	в целом ряде	1	1
38	и прежде всего	5	1
39	в глубине души	1	1
40	в нем и	1	1
41	ответ на этот	1	1
42	не видим его	1	1
43	приходит в голову	1	1
44	в этот период	3	1
45	в чем не	2	1
46	ничего общего с	1	1
47	жизни например в	1	1
48	но при этом	1	1
49	как будто бы	1	1
50	то или иное	2	1
51	ни в чем	2	1
52	что он был	1	1
53	в конечном счете	1	1
54	не могут быть	3	1
55	и в дальнейшем	1	1
56	нужно сказать что	1	1
57	со всех сторон	1	1
58	нет и не	1	1
59	только потому что	1	1
60	в г в	1	1
61	или во всяком	1	1
62	относится и к	1	1
63	большую роль в	1	1
64	в высшей степени	2	1
65	дело в том	1	1
66	ничего не говорит	1	1
67	является одним из	1	1
68	только то что	2	1
69	в свою очередь	1	1
70	фрейд в своей	2	1
71	что он сам	1	1
72	для сведения счетов	1	1
73	хотя и не	1	1
74	в то время	1	1
