N	3gram	Vinokur_Ku_1	RusskieA
1	в том что	15	18
2	состоит в том	3	13
3	в этом случае	2	6
4	для того чтобы	15	6
5	т е в	2	5
6	и т д	14	5
7	вместе с тем	3	4
8	так же как	1	4
9	о том что	5	4
10	в этих случаях	1	3
11	в отличие от	1	3
12	не может быть	3	3
13	только тогда когда	1	3
14	тем не менее	4	2
15	во многих случаях	1	2
16	что иное как	1	2
17	не что иное	1	2
18	в том чтобы	8	2
19	после того как	1	2
20	с одной стороны	1	2
21	потому что он	1	1
22	как например в	1	1
23	в одном ряду	1	1
24	того чтобы на	1	1
25	иметь в виду	1	1
26	более или менее	3	1
27	в тех случаях	2	1
28	одном ряду с	1	1
29	в настоящее время	1	1
30	так что в	1	1
31	т е не	1	1
32	относится к г	1	1
33	того или другого	1	1
34	о том как	3	1
35	и во многих	1	1
36	по существу не	1	1
37	во многих других	1	1
38	в первую очередь	2	1
39	между тем как	1	1
40	а может быть	1	1
41	в этом отношении	5	1
42	таким образом в	1	1
43	по аналогии с	1	1
44	а вместе с	1	1
45	следует обратить внимание	1	1
46	состоит не в	1	1
47	можно было бы	3	1
48	когда пишет что	1	1
49	в научной литературе	1	1
50	в это время	1	1
51	одна из наиболее	1	1
52	в применении к	1	1
53	говорить что в	1	1
54	во всяком случае	5	1
55	смысле этого слова	1	1
56	что с ними	1	1
57	стоит в одном	1	1
58	е как бы	2	1
59	главным образом на	1	1
60	еще не все	1	1
61	может рассматриваться как	1	1
62	во всех этих	1	1
63	с другой стороны	6	1
64	т е как	4	1
65	все то что	1	1
66	и в таком	1	1
67	это еще не	1	1
68	нужно было бы	2	1
69	то же значение	1	1
70	необходимо для того	1	1
71	в свою очередь	3	1
72	у нас на	1	1
73	что представление о	1	1
74	на то что	2	1
75	тем более что	1	1
76	тех случаях когда	2	1
77	предположить что в	1	1
78	дело не в	1	1
79	всех этих случаях	1	1
80	можно понимать как	1	1
