N	2gram	Potebnia_M_4	Dialekti
1	не есть	9	40
2	и не	18	30
3	или от	3	22
4	и есть	3	19
5	а не	12	18
6	и т	7	17
7	ничего не	1	17
8	может быть	26	17
9	то что	29	16
10	т д	3	15
11	стало быть	8	15
12	и в	23	15
13	как бы	5	14
14	точки зрения	4	14
15	не имеет	5	14
16	так как	14	14
17	что это	7	13
18	по себе	11	13
19	это есть	3	13
20	того что	14	13
21	это не	7	12
22	в этом	23	11
23	говорить о	5	11
24	ясно что	1	11
25	в том	23	11
26	прежде всего	1	11
27	не может	11	11
28	и все	4	11
29	том что	12	10
30	потому что	33	10
31	она есть	1	10
32	то же	14	9
33	мы не	8	9
34	было бы	8	9
35	с точки	3	9
36	в виду	3	9
37	и что	7	9
38	уже не	3	9
39	все это	5	9
40	что иное	2	8
41	в чем	1	8
42	не в	11	8
43	в себе	14	8
44	не только	10	8
45	и это	2	8
46	и о	4	8
47	иное как	2	8
48	это значит	1	8
49	не что	2	8
50	должна быть	1	7
51	и мы	5	7
52	он есть	1	7
53	как и	14	7
54	по крайней	5	7
55	и вообще	2	7
56	и его	2	7
57	только в	15	7
58	крайней мере	5	7
59	что мы	10	7
60	или в	1	7
61	что он	4	7
62	что в	17	7
63	перед нами	1	6
64	хотя и	5	6
65	и тем	4	6
66	если бы	13	6
67	в то	4	6
68	же время	3	6
69	что и	7	6
70	так что	5	6
71	вовсе не	7	6
72	и даже	2	6
73	а именно	4	6
74	нет ничего	3	6
75	тем более	5	6
76	сказать что	8	6
77	в сфере	1	5
78	той же	3	5
79	мы имеем	4	5
80	в сущности	2	5
81	и на	3	5
82	быть в	1	5
83	только тогда	5	5
84	субъекта и	1	5
85	в своем	8	5
86	то в	3	5
87	на то	7	5
88	что она	2	5
89	в нем	7	5
90	есть не	4	5
91	что такое	7	5
92	же это	1	5
93	что я	11	5
94	в ней	2	5
95	на себе	3	5
96	но что	2	5
97	того чтобы	4	5
98	тогда когда	8	5
99	я не	2	5
100	в каком	4	5
101	таким образом	24	5
102	о том	8	5
103	в себя	1	5
104	так и	6	5
105	другими словами	8	5
106	можно сказать	4	5
107	и можно	1	5
108	именно в	3	5
109	если мы	2	5
110	есть символ	1	5
111	не говорит	1	5
112	для того	6	5
113	как же	4	5
114	знания и	1	5
115	в смысле	3	5
116	и для	2	5
117	но если	1	5
