N	2gram	Nazirov_Tr_1	VrazhdaK
1	в году	9	18
2	в бесах	9	10
3	не только	8	9
4	в этом	9	8
5	и в	18	8
6	достоевский в	7	8
7	и что	4	8
8	достоевский и	1	8
9	достоевского в	3	7
10	достоевского и	1	7
11	но и	4	7
12	и все	4	7
13	то что	4	7
14	что в	4	7
15	все же	5	6
16	но в	6	6
17	в нем	4	6
18	как и	5	6
19	в котором	1	6
20	и с	7	6
21	о нем	1	6
22	и даже	4	6
23	в романе	10	6
24	то же	5	5
25	об этом	4	5
26	в то	5	5
27	бедных людей	1	5
28	же время	6	5
29	между тем	1	5
30	у него	6	5
31	не было	1	5
32	в россии	1	5
33	и не	7	5
34	х годов	1	4
35	в ней	1	4
36	что он	6	4
37	в истории	1	4
38	что достоевский	4	4
39	при этом	3	4
40	это не	5	4
41	несмотря на	5	4
42	все это	4	4
43	в виду	1	4
44	во многом	1	4
45	с ним	3	4
46	о том	2	4
47	для нас	1	4
48	у достоевского	5	4
49	и детей	2	4
50	уже в	3	4
51	отцов и	1	4
52	из черновиков	1	4
53	может быть	7	4
54	достоевского не	1	4
55	как бы	7	4
56	так же	4	4
57	одним из	1	3
58	что князь	2	3
59	из подполья	1	3
60	я не	4	3
61	он был	2	3
62	в чем	1	3
63	с его	2	3
64	в своем	3	3
65	и как	3	3
66	его в	2	3
67	петр верховенский	7	3
68	он не	2	3
69	том что	4	3
70	в черновиках	1	3
71	достоевский уже	3	3
72	но он	1	3
73	сам достоевский	3	3
74	достоевский не	4	3
75	и его	6	3
76	связи с	1	3
77	по нашему	1	3
78	и о	1	3
79	достоевского к	1	3
80	в его	3	3
81	в том	2	3
82	чтобы он	1	3
83	в конце	3	3
84	тем что	2	3
85	в связи	1	3
86	о себе	1	3
87	эти слова	1	3
88	наряду с	1	3
89	матери и	1	3
90	он использовал	1	3
91	ставрогина он	2	3
92	т е	1	3
93	ставрогина и	3	3
94	и то	2	2
95	петра верховенского	17	2
96	и он	3	2
97	он сам	7	2
98	столь же	2	2
99	роман достоевского	2	2
100	но как	1	2
101	тогда как	1	2
102	и достоевский	1	2
103	человека с	1	2
104	отнюдь не	3	2
105	в той	1	2
106	и дети	2	2
107	в письмах	2	2
108	при создании	1	2
109	в этой	4	2
110	в себе	4	2
111	таким образом	1	2
112	в мире	3	2
113	в глазах	2	2
114	в них	1	2
115	рядом с	1	2
116	не мог	2	2
117	отцы и	2	2
118	в своей	1	2
119	и ее	2	2
120	достоевский всегда	1	2
121	не менее	1	2
122	права на	2	2
123	за год	1	2
124	одна из	2	2
125	никогда не	2	2
126	м м	1	2
127	и далее	1	2
128	в момент	1	2
129	к себе	1	2
130	его с	1	2
131	время он	1	2
132	и это	2	2
133	году в	2	2
134	же не	1	2
135	в лицо	1	2
136	еще не	4	2
137	меня как	1	2
138	эту сцену	1	2
139	году и	1	2
140	а также	1	2
141	а достоевский	1	2
142	молодого достоевского	1	2
143	по мнению	2	2
144	что ж	1	2
145	уже не	2	2
146	для него	3	2
147	отношение к	2	2
148	к ним	1	2
149	как же	2	2
150	и стал	1	2
151	с которым	1	2
152	о чем	3	2
153	не может	5	2
154	вместе с	1	2
155	в это	2	2
156	романе бесы	1	2
157	но это	4	2
158	что я	4	2
159	очень хорошо	1	2
160	в период	1	2
161	это в	1	2
162	этого романа	2	1
163	а между	1	1
164	к людям	3	1
165	вряд ли	2	1
166	ко всем	1	1
167	портрет и	1	1
168	на творчество	1	1
169	обращается в	1	1
170	человека и	1	1
171	что образ	3	1
172	к своей	1	1
173	это и	1	1
174	и есть	1	1
175	над которым	1	1
176	имя его	1	1
177	исповеди ставрогина	1	1
178	вы не	1	1
179	той же	1	1
180	что уже	1	1
181	роман в	1	1
182	событий и	1	1
183	ему в	1	1
184	и тонко	1	1
185	свой роман	1	1
186	составляет самую	1	1
187	одном из	2	1
188	на них	1	1
189	он обратился	1	1
190	№ он	1	1
191	его ума	1	1
192	в преступлении	2	1
193	в петербурге	1	1
194	но не	1	1
195	и т.д	1	1
196	некоторые черты	1	1
197	тут же	2	1
198	руку и	1	1
199	на стол	1	1
200	к сожалению	1	1
201	от злости	1	1
202	даже некоторые	1	1
203	и я	2	1
204	как говорит	2	1
205	как в	3	1
206	достоевского этот	1	1
207	что ее	1	1
208	третий раз	1	1
209	хочет сделать	1	1
210	и наконец	1	1
211	верховенского с	1	1
212	образа петра	1	1
213	них он	1	1
214	роль играет	1	1
215	то в	1	1
216	поэтому он	1	1
217	в самом	2	1
218	что это	5	1
219	русского революционера	1	1
220	в целом	4	1
221	не был	2	1
222	знать и	1	1
223	из высшей	1	1
224	как он	1	1
225	их отношения	1	1
226	и верховенский	1	1
227	в записках	2	1
228	он всегда	4	1
229	ненависти и	1	1
230	не могла	1	1
231	ее матери	1	1
232	одному из	1	1
233	же хуже	1	1
234	которой не	1	1
235	высшей степени	1	1
236	чем у	1	1
237	сказал что	1	1
238	ее своей	1	1
239	никому не	1	1
240	петруша это	1	1
241	ввел в	1	1
242	конечно в	1	1
243	обратился к	1	1
244	не социалист	1	1
245	это было	1	1
246	заключается в	1	1
247	дома и	2	1
248	ни разу	1	1
249	на пороге	1	1
250	из первых	1	1
251	в высшей	1	1
252	этого не	1	1
253	а за	1	1
254	всю жизнь	1	1
255	которой он	1	1
256	он и	2	1
257	в развитии	1	1
258	года и	1	1
259	он сказал	1	1
260	но я	1	1
261	со мной	2	1
262	или вообще	1	1
263	и их	1	1
264	всяком случае	1	1
265	человеком и	1	1
266	свое понимание	1	1
267	представление о	1	1
268	своего рода	3	1
269	сам же	1	1
270	но достоевский	4	1
271	чтоб я	1	1
272	идиот и	1	1
273	тем не	1	1
274	не могли	1	1
275	с такими	1	1
276	что этот	2	1
277	возвращается к	1	1
278	до исступления	1	1
279	раз и	2	1
280	так он	1	1
281	вплоть до	1	1
282	но они	2	1
283	тем самым	3	1
