N	2gram	Tiupa_Vved_1	VrazhdaK
1	не только	20	9
2	в этом	21	8
3	и в	13	8
4	и что	1	8
5	но и	19	7
6	и все	4	7
7	то что	6	7
8	что в	3	7
9	все же	6	6
10	но в	6	6
11	в нем	5	6
12	как и	11	6
13	в котором	8	6
14	и с	2	6
15	в начале	3	6
16	и даже	1	6
17	в романе	6	6
18	то же	5	5
19	об этом	4	5
20	в то	4	5
21	же время	3	5
22	между тем	1	5
23	у него	1	5
24	не было	2	5
25	и не	12	5
26	в ней	4	4
27	что он	1	4
28	в истории	1	4
29	целый ряд	2	4
30	при этом	26	4
31	это не	6	4
32	несмотря на	1	4
33	все это	1	4
34	в виду	1	4
35	с ним	3	4
36	о том	5	4
37	для нас	2	4
38	уже в	1	4
39	может быть	18	4
40	как бы	4	4
41	в своих	2	4
42	так же	1	4
43	речь идет	1	3
44	одним из	5	3
45	в своем	5	3
46	в этот	2	3
47	на то	1	3
48	он не	3	3
49	далеко не	4	3
50	том что	7	3
51	но он	1	3
52	что есть	1	3
53	и его	5	3
54	связи с	1	3
55	человека в	1	3
56	и о	1	3
57	что у	1	3
58	в его	4	3
59	в том	10	3
60	и у	1	3
61	в конце	1	3
62	тем что	2	3
63	в связи	1	3
64	в те	1	3
65	наряду с	2	3
66	к этому	2	3
67	но после	1	2
68	и он	1	2
69	он сам	1	2
70	столь же	1	2
71	но как	1	2
72	ответ на	1	2
73	тогда как	10	2
74	к автору	1	2
75	отнюдь не	7	2
76	в той	4	2
77	его на	1	2
78	в этой	1	2
79	что к	1	2
80	в себе	5	2
81	о которой	2	2
82	в нашей	1	2
83	их в	2	2
84	нашего времени	2	2
85	таким образом	4	2
86	в мире	8	2
87	мне и	1	2
88	в них	2	2
89	а с	2	2
90	не мог	1	2
91	на первый	1	2
92	во время	1	2
93	точки зрения	1	2
94	в своей	5	2
95	и ее	1	2
96	место в	2	2
97	не менее	4	2
98	том же	1	2
99	одна из	4	2
100	никогда не	4	2
101	в роман	1	2
102	к себе	1	2
103	его с	2	2
104	году в	1	2
105	же не	1	2
106	на основе	1	2
107	так в	4	2
108	еще не	7	2
109	а также	8	2
110	об их	1	2
111	уже не	5	2
112	из них	1	2
113	его и	1	2
114	для него	3	2
115	от сознания	1	2
116	отношение к	2	2
117	к ним	2	2
118	как раз	2	2
119	и т.п	9	2
120	о чем	2	2
121	начиная с	3	2
122	этот рассказ	1	2
123	не может	7	2
124	вместе с	1	2
125	в него	1	2
126	ко мне	1	2
127	но это	3	2
128	что я	1	2
129	же в	1	2
130	а в	6	2
131	в период	1	2
132	в свою	4	2
133	как известно	1	1
134	также и	4	1
135	у гоголя	1	1
136	и борьбы	1	1
137	рассматривать в	1	1
138	и писатель	1	1
139	того же	1	1
140	е годы	1	1
141	к своей	1	1
142	идет о	1	1
143	едва ли	3	1
144	в их	1	1
145	из всех	1	1
146	полагает что	1	1
147	той же	1	1
148	именно к	1	1
149	не слишком	1	1
150	он как	1	1
151	начинается с	1	1
152	говорить о	2	1
153	в полной	1	1
154	в разные	1	1
155	это отношение	1	1
156	в составе	2	1
157	событий и	1	1
158	всего романа	1	1
159	это время	2	1
160	имя и	1	1
161	как ему	1	1
162	к сюжетному	1	1
163	по своему	2	1
164	как правило	6	1
165	но не	5	1
166	в сторону	1	1
167	не все	2	1
168	если в	2	1
169	и т.д	5	1
170	тут же	1	1
171	не хотел	1	1
172	в е	2	1
173	говорилось выше	1	1
174	что они	1	1
175	к сожалению	1	1
176	как по	2	1
177	из которого	1	1
178	первый взгляд	1	1
179	как в	4	1
180	как к	1	1
181	и наконец	2	1
182	могла ли	1	1
183	то в	1	1
184	с просьбой	1	1
185	в самом	2	1
186	фабула мыслилась	1	1
187	что это	1	1
188	в целом	3	1
189	что же	3	1
190	еще один	1	1
191	рассказ о	1	1
192	встреча с	2	1
193	тому же	4	1
194	это такая	1	1
195	как он	2	1
196	в свет	1	1
197	да и	1	1
198	которой не	1	1
199	высшей степени	2	1
200	в первой	1	1
201	ключ к	1	1
202	всех этих	1	1
203	в силу	2	1
204	уже говорилось	1	1
205	из него	1	1
206	людей и	1	1
207	однако в	4	1
208	этом он	1	1
209	было бы	4	1
210	в итоге	3	1
211	в жизни	4	1
212	в высшей	2	1
213	соответствии с	6	1
214	этого не	1	1
215	автору и	1	1
216	не всегда	2	1
217	которой он	1	1
218	он и	2	1
219	в москве	1	1
220	несколько минут	1	1
221	одного и	1	1
222	в этих	3	1
223	в войне	2	1
224	и их	1	1
225	всяком случае	1	1
226	вторая часть	1	1
227	время самой	1	1
228	далее в	1	1
229	в авторском	2	1
230	начале х	1	1
231	встрече с	2	1
232	своего рода	10	1
233	и уж	1	1
234	сам же	1	1
235	войне и	2	1
236	тем не	3	1
237	по крайней	1	1
238	а вот	1	1
239	за обедом	2	1
240	вплоть до	1	1
241	но они	2	1
242	тем самым	5	1
243	не имеет	2	1
244	его декларация	1	1
245	в процессе	1	1
