N	4gram	Losev_Vlad_3	Dialekti
1	одно и то же	1	4
2	в то же время	2	4
3	не имеет ничего общего	2	3
4	имеет ничего общего с	2	3
5	с одной стороны и	2	2
6	не с точки зрения	1	2
7	ровно ничего не говорит	1	2
8	и в то же	2	2
9	и в этом смысле	3	2
10	и то и другое	1	2
11	если иметь в виду	1	2
12	да и то не	1	2
13	и ни в каком	1	1
14	до сих пор не	1	1
15	в то время как	2	1
16	так а не иначе	1	1
17	а содержит в себе	1	1
18	не имеет никакого отношения	1	1
19	то это значит что	4	1
20	на самом же деле	2	1
21	иметь в виду что	1	1
22	и тем не менее	1	1
23	дело в том что	4	1
24	не что иное как	1	1
25	отчет в том что	1	1
26	имеет никакого отношения к	1	1
27	никогда не был ни	1	1
28	мы уже знаем что	1	1
29	ни в каком смысле	1	1
