N	2gram	Propp_Russ_1	Myshleni
1	в том	17	33
2	том что	19	27
3	в развитии	1	26
4	точки зрения	3	26
5	то что	6	20
6	в этом	12	19
7	с точки	3	18
8	того что	4	17
9	не только	22	15
10	и в	36	15
11	таким образом	6	14
12	что в	19	14
13	что он	1	12
14	мы не	6	10
15	в целом	2	10
16	было бы	1	10
17	но и	16	10
18	мы можем	2	10
19	в своем	3	9
20	о том	8	9
21	связи с	4	9
22	может быть	8	9
23	что мы	1	9
24	не может	4	9
25	не является	1	9
26	так и	7	8
27	если бы	1	8
28	и что	4	8
29	на основе	1	7
30	он не	1	7
31	к тому	4	7
32	тот же	1	7
33	потому что	10	7
34	мы знаем	1	7
35	как бы	5	7
36	и не	6	7
37	во всяком	1	7
38	как известно	2	6
39	самом деле	1	6
40	с таким	1	6
41	мы уже	1	6
42	зависимости от	1	6
43	по отношению	1	6
44	в этой	1	6
45	в истории	1	6
46	мы должны	2	6
47	и к	3	6
48	что это	3	6
49	как он	2	6
50	на то	1	6
51	к выводу	2	6
52	как и	10	6
53	мы видели	1	6
54	всяком случае	1	6
55	точку зрения	1	6
56	как мы	10	6
57	в виду	1	6
58	но в	2	6
59	по этому	3	6
60	к которому	1	6
61	на этот	3	6
62	там где	2	6
63	в частности	2	6
64	вместе с	10	6
65	как это	8	6
66	в связи	4	6
67	сказать что	1	6
68	показать что	1	5
69	то же	3	5
70	полагает что	6	5
71	вопрос о	1	5
72	уже в	1	5
73	приводит к	3	5
74	это не	10	5
75	тогда когда	1	5
76	во всей	1	5
77	можно было	1	5
78	связь между	2	5
79	этот вопрос	2	5
80	и их	4	5
81	представление о	3	5
82	и др	4	5
83	по существу	4	5
84	отношению к	1	5
85	все что	1	5
86	переход от	2	4
87	с в	4	4
88	с его	1	4
89	из этих	4	4
90	независимо от	2	4
91	как в	5	4
92	все же	5	4
93	в которой	1	4
94	том чтобы	1	4
95	что все	1	4
96	в них	6	4
97	несмотря на	3	4
98	к этому	4	4
99	их в	3	4
100	не имеет	6	4
101	того как	5	4
102	и его	1	4
103	в совершенно	1	4
104	и с	2	4
105	мы видим	2	4
106	так как	15	4
107	только в	4	4
108	который в	1	4
109	что нам	1	4
110	в качестве	3	4
111	в начале	1	4
112	а с	4	4
113	так же	3	4
114	все это	6	4
115	для нас	6	4
116	а в	9	4
117	по поводу	1	4
118	в объяснении	1	3
119	на самом	2	3
120	и до	2	3
121	собственном смысле	1	3
122	мы имеем	4	3
123	рассматривается как	1	3
124	и ее	1	3
125	точка зрения	1	3
126	в общем	1	3
127	должны были	2	3
128	очевидно что	1	3
129	что они	7	3
130	что именно	2	3
131	с этим	2	3
132	когда он	2	3
133	животных и	4	3
134	все эти	2	3
135	что она	2	3
136	при этом	6	3
137	что у	2	3
138	состоит в	8	3
139	и по	8	3
140	об этом	9	3
141	те же	1	3
142	во время	14	3
143	таким же	3	3
144	в которых	5	3
145	но эта	1	3
146	при рассмотрении	1	3
147	для этого	2	3
148	из которых	1	3
149	вытекает из	1	3
150	этом отношении	1	3
151	в основе	1	3
152	для себя	1	3
153	и это	1	3
154	данном случае	1	3
155	в собственном	1	3
156	и сам	1	3
157	с собой	4	3
158	с ним	2	3
159	ничего не	3	3
160	но мы	1	3
161	этому поводу	2	3
162	значение в	1	3
163	но не	2	3
164	мы попытаемся	2	3
165	вот почему	1	3
166	рассматриваться как	1	3
167	из них	8	3
168	отличие от	1	3
169	в отличие	1	3
170	что для	1	3
171	а не	2	3
172	в данном	1	3
173	этого слова	3	3
174	только для	2	3
175	в первые	2	3
176	он на	1	3
177	или в	2	3
178	гораздо менее	1	3
179	и все	1	3
180	того же	1	3
181	в заключение	1	3
182	не можем	3	3
183	они не	1	3
184	ту же	1	2
185	также и	1	2
186	же как	1	2
187	увидим ниже	3	2
188	из всех	1	2
189	что между	1	2
190	что если	1	2
191	которую мы	1	2
192	в первый	4	2
193	на место	1	2
194	имеет свою	1	2
195	говорить о	1	2
196	в их	4	2
197	во всех	4	2
198	только тогда	1	2
199	которые не	3	2
200	отнюдь не	2	2
201	в течение	5	2
202	наряду с	1	2
203	общего с	1	2
204	и различные	1	2
205	относятся к	2	2
206	перед нами	1	2
207	целый ряд	1	2
208	как уже	4	2
209	и как	2	2
210	его к	2	2
211	следующим образом	4	2
212	увидим что	1	2
213	от этого	1	2
214	представляет собой	4	2
215	в себе	1	2
216	этот вывод	1	2
217	после этого	4	2
218	он должен	1	2
219	в силу	2	2
220	и более	2	2
221	друг с	1	2
222	подобно тому	1	2
223	на все	2	2
224	на этой	2	2
225	и мы	1	2
226	ни в	1	2
227	жизни человека	1	2
228	в один	2	2
229	в этих	3	2
230	но если	1	2
231	том же	2	2
232	быть может	1	2
233	и вообще	1	2
234	нас к	2	2
235	от жизни	1	2
236	не могло	1	2
237	находится в	2	2
238	или как	1	2
239	к ней	2	2
240	и теперь	1	2
241	что на	4	2
242	не потому	1	2
243	с другом	1	2
244	не могут	1	2
245	могут быть	2	2
246	но все	3	2
247	в других	11	2
248	как только	1	2
249	его с	4	2
250	как по	2	2
251	на том	1	2
252	которую можно	1	2
253	как у	1	2
254	можно сказать	1	2
255	прав в	1	2
256	а также	3	2
257	с целью	2	2
258	нас в	1	2
259	судить о	2	2
260	раньше чем	1	2
261	в его	2	2
262	что и	7	2
263	о причине	1	2
264	о своих	1	2
265	полагая что	3	2
266	что здесь	1	2
267	как например	3	2
268	приведенных выше	1	2
269	бы ни	1	2
270	и тем	1	2
271	каким образом	1	2
272	не дает	1	2
273	и других	7	2
274	в одном	3	2
275	но что	2	2
276	у него	2	2
277	случае не	1	2
278	должны будем	1	2
279	заметить что	1	2
280	тем что	4	2
281	от того	1	2
282	известно о	1	2
283	и из	3	2
284	с ней	2	2
285	в некоторых	4	2
286	на которых	1	2
287	и самый	1	2
288	нет никаких	1	2
289	эта теория	1	2
290	первые годы	1	2
291	становится на	1	2
292	для обозначения	2	2
293	формы мышления	1	2
294	чем в	2	2
295	тому как	1	2
296	думается что	1	2
297	в первой	1	2
298	можно считать	1	2
299	на которой	1	2
300	но для	1	2
301	к вопросу	2	2
302	на одной	1	2
303	в более	2	2
304	и для	2	2
305	приводит нас	2	2
306	однако и	1	2
307	так называемых	1	2
308	в отдельных	1	2
309	это все	1	2
310	легко заметить	1	2
311	мы увидим	8	2
312	и другой	3	2
313	не объясняет	2	2
314	ни странно	1	1
315	говоря о	1	1
316	переходит к	1	1
317	тех же	1	1
318	в приведенном	1	1
319	форм мышления	1	1
320	по которым	1	1
321	по преимуществу	1	1
322	что эти	1	1
323	не имеют	1	1
324	видеть в	1	1
325	по его	1	1
326	она в	3	1
327	или наоборот	1	1
328	не во	1	1
329	изложения и	1	1
330	и о	1	1
331	еще до	2	1
332	в глубоком	1	1
333	но даже	2	1
334	же что	1	1
335	и он	1	1
336	в ней	2	1
337	дальнейшее развитие	1	1
338	и на	10	1
339	и много	1	1
340	он был	2	1
341	между собой	2	1
342	в чем	1	1
343	не отличается	1	1
344	как правило	3	1
345	друг к	2	1
346	ответ на	1	1
347	с совершенно	1	1
348	какой степени	2	1
349	а и	5	1
350	себе и	1	1
351	еды в	1	1
352	но тем	2	1
353	нет надобности	2	1
354	в той	1	1
355	его на	1	1
356	одном из	1	1
357	так называемая	1	1
358	которые можно	2	1
359	оторванное от	1	1
360	совершенно другой	1	1
361	однако не	1	1
362	и наконец	1	1
363	смысла но	1	1
364	хорошо им	1	1
365	с той	1	1
366	и первую	1	1
367	та же	2	1
368	не будем	3	1
369	в нашем	2	1
370	думать что	3	1
371	характере этого	1	1
372	сливаются в	1	1
373	тому же	1	1
374	в нем	2	1
375	связанные с	3	1
376	потребности в	1	1
