N	3gram	Losev_Vesc_1	Komedia
1	до сих пор	1	9
2	в том что	4	9
3	в самом деле	4	6
4	для того чтобы	2	6
5	в свою очередь	4	6
6	в то же	1	4
7	о том что	4	4
8	о том как	1	3
9	с точки зрения	3	3
10	вместе с тем	1	3
11	во всяком случае	2	3
12	и в самом	1	3
13	с одной стороны	3	3
14	тем не менее	3	3
15	то же самое	1	3
16	так или иначе	4	2
17	по сравнению с	6	2
18	бы то ни	4	2
19	он и не	1	2
20	в этом отношении	1	2
21	то время как	1	2
22	т е в	7	2
23	то ни было	4	2
24	в конце концов	2	2
25	с другой стороны	2	2
26	в то время	1	2
27	что и в	1	2
28	но и все	1	1
29	в чем он	1	1
30	и тому же	1	1
31	я мог бы	4	1
32	ничем не отличаются	1	1
33	и без всякого	2	1
34	более или менее	1	1
35	и как раз	1	1
36	равно как и	2	1
37	подобно тому как	4	1
38	одной стороны и	1	1
39	в зависимости от	1	1
40	самое главное в	1	1
41	должен быть не	1	1
42	независимо от того	1	1
43	так как имя	1	1
44	но и здесь	1	1
45	на то что	2	1
46	может быть только	3	1
47	с этой точки	1	1
48	по крайней мере	4	1
49	и в частности	1	1
50	как раз в	1	1
51	в самом начале	1	1
52	в том чтобы	1	1
53	в первом случае	2	1
54	т е чисто	1	1
55	только один из	1	1
56	человека по имени	2	1
57	если не будет	2	1
58	как из того	1	1
59	мы подходим к	1	1
60	и ничем не	1	1
61	как раз с	1	1
62	этой точки зрения	1	1
63	только на то	1	1
64	можно сказать что	3	1
65	что у него	1	1
66	вопрос о том	1	1
67	в основе своей	2	1
68	к одному и	1	1
69	как мы знаем	1	1
70	тому как мы	1	1
71	она не могла	1	1
72	таким образом что	1	1
73	в своем уме	1	1
74	к тому что	2	1
75	друг с другом	1	1
76	как и вся	1	1
77	на то чтобы	1	1
78	одному и тому	1	1
79	и т д	19	1
80	в свое время	2	1
