N	3gram	Vinokur_Ku_3	Problema
1	по отношению к	2	19
2	и т п	41	13
3	не может быть	3	11
4	с точки зрения	16	6
5	в отличие от	2	5
6	и прежде всего	1	5
7	в данном случае	4	4
8	с другой стороны	3	4
9	в конечном счете	1	4
10	в противном случае	1	3
11	на самом деле	3	3
12	в самом деле	11	3
13	в этом смысле	1	3
14	в иных случаях	1	3
15	бы то ни	1	3
16	можно было бы	10	3
17	с одной стороны	4	3
18	то же время	1	3
19	в том что	8	3
20	в то же	1	3
21	тем не менее	9	3
22	в какой мере	2	2
23	то же самое	1	2
24	ни в коем	1	2
25	совершенно независимо от	1	2
26	в строгом смысле	1	2
27	но и в	1	2
28	и не может	1	2
29	и в области	3	2
30	то или иное	2	2
31	можно говорить и	1	2
32	в коем случае	1	2
33	и в то	1	2
34	не только в	3	2
35	не могут быть	2	2
36	никогда не может	1	2
37	языка в его	1	2
38	того или иного	3	2
39	так и в	3	2
40	той или иной	5	2
41	для того чтобы	11	2
42	формы и содержания	2	2
43	в этом его	1	1
44	именно в том	1	1
45	но она может	1	1
46	молодая русская поэтика	1	1
47	в ее целом	1	1
48	точка зрения на	1	1
49	хотя и не	1	1
50	следует отметить что	1	1
51	рядом с ними	1	1
52	прежде всего следует	3	1
53	уже выше в	1	1
54	а не с	1	1
55	а вовсе не	1	1
56	в свою очередь	1	1
57	далеко не все	1	1
58	не говоря уже	2	1
59	также и в	1	1
60	могут и должны	1	1
61	здесь прежде всего	1	1
62	и содержания в	1	1
63	имеется в виду	1	1
64	по своему значению	1	1
65	во что бы	1	1
66	до сих пор	8	1
67	говоря уже о	2	1
68	хотя бы и	1	1
69	слове как материале	1	1
70	такое значение имеет	1	1
71	тех же целях	1	1
72	и в область	1	1
73	что все эти	1	1
74	лингвистической точки зрения	1	1
75	с тем что	1	1
76	в известной мере	1	1
77	имеют в виду	1	1
78	ни в какой	2	1
79	может быть и	1	1
80	здесь же мы	1	1
81	т п и	4	1
82	и тем не	3	1
83	в равной мере	1	1
84	что бы то	1	1
85	какое же значение	1	1
86	смысле этого слова	2	1
87	то ни стало	1	1
88	с помощью которого	1	1
89	и в этом	4	1
90	говорить об особой	1	1
91	не в том	2	1
92	в связи с	4	1
93	если бы все	1	1
94	в том смысле	1	1
95	тем или иным	1	1
96	у нас в	1	1
97	что далеко не	1	1
98	не должна быть	1	1
99	слова в их	1	1
100	и независимо от	1	1
101	независимо от их	1	1
102	в свое время	2	1
103	всего следует отметить	1	1
104	а в том	1	1
105	смысле слова и	1	1
106	в связи со	1	1
107	том смысле что	1	1
108	в то время	1	1
109	содержание как бы	1	1
110	в тех же	1	1
111	ясно что в	1	1
112	и т д	8	1
113	первом случае мы	1	1
114	и в самом	4	1
115	или иным путем	1	1
116	выходит за пределы	1	1
117	не выходит за	1	1
118	в двух направлениях	2	1
119	не может обойтись	1	1
120	она не могла	1	1
121	к тому что	1	1
122	в первом случае	2	1
123	если бы не	2	1
124	быть не может	1	1
125	бы не было	1	1
126	на этот вопрос	1	1
