N	3gram	Tiupa_Lite_2	Problema
1	тем не менее	2	18
2	то же самое	1	9
3	для того чтобы	1	8
4	в данном случае	3	8
5	ничего общего с	1	7
6	о том что	2	5
7	в том что	5	5
8	на самом деле	1	4
9	только то что	1	4
10	и вовсе не	1	4
11	в конце концов	1	4
12	то есть в	1	4
13	той или иной	1	4
14	в то же	9	4
15	что же касается	1	3
16	с точки зрения	3	3
17	сказать и о	1	3
18	не только не	1	3
19	с другой стороны	4	3
20	вовсе не является	1	3
21	в себе не	1	3
22	в этом случае	2	2
23	не говоря уже	2	2
24	по крайней мере	2	2
25	и то что	1	2
26	даже и не	1	2
27	тех или иных	1	2
28	имеет ничего общего	1	2
29	во всех этих	1	2
30	тем что в	1	2
31	не может быть	7	2
32	не имеет ничего	1	2
33	имел в виду	1	2
34	что может быть	1	2
35	можно было бы	1	2
36	подобно тому как	2	2
37	вместе с тем	1	1
38	в данный момент	1	1
39	мы имеем дело	1	1
40	но то что	1	1
41	но даже и	1	1
42	есть по преимуществу	1	1
43	во всей своей	1	1
44	говоря уже о	2	1
45	и в то	1	1
46	вдруг оказывается что	1	1
47	является одним из	1	1
48	в этом отношении	3	1
49	и т п	2	1
50	в сущности говоря	1	1
51	в основе своей	1	1
52	то что было	1	1
53	одно и то	2	1
54	в самом начале	1	1
55	и то же	2	1
56	нам представляется что	1	1
57	внутренней и внешней	1	1
58	не могут быть	1	1
59	со мной и	1	1
60	бы то ни	1	1
61	и притом в	1	1
62	в этом же	1	1
63	может быть это	1	1
64	в том чтобы	3	1
65	к тому что	1	1
66	то что ей	1	1
67	в сравнении с	2	1
68	в разговоре с	2	1
69	как мы видели	1	1
