N	2gram	Bakhtin_Fr_5	Myshleni
1	в том	10	33
2	том что	7	27
3	точки зрения	4	26
4	то что	2	20
5	в этом	14	19
6	с точки	2	18
7	того что	3	17
8	мышления и	1	16
9	не только	14	15
10	и в	45	15
11	речи и	1	15
12	таким образом	8	14
13	что в	12	14
14	и речи	1	13
15	того чтобы	6	12
16	и т.д	2	12
17	что он	6	12
18	в самом	4	11
19	в процессе	1	11
20	мы не	4	10
21	в целом	2	10
22	было бы	2	10
23	для того	6	10
24	но и	10	10
25	мы можем	2	10
26	в сущности	4	9
27	в своем	11	9
28	о том	4	9
29	связи с	6	9
30	может быть	2	9
31	не может	5	9
32	не в	7	8
33	никогда не	1	8
34	казалось бы	1	8
35	так и	6	8
36	если бы	1	8
37	и что	2	8
38	он не	6	7
39	к тому	2	7
40	и т.п	16	7
41	тот же	1	7
42	потому что	7	7
43	мы знаем	1	7
44	как бы	12	7
45	и не	15	7
46	во всяком	1	7
47	самом деле	5	6
48	мы уже	4	6
49	в учении	1	6
50	по отношению	1	6
51	в этой	6	6
52	в истории	2	6
53	и к	5	6
54	что это	2	6
55	как он	3	6
56	на то	1	6
57	как и	10	6
58	мы видели	7	6
59	точку зрения	2	6
60	в отношении	2	6
61	что эта	2	6
62	как мы	8	6
63	но в	14	6
64	по этому	1	6
65	если мы	2	6
66	мы находим	4	6
67	вовсе не	8	6
68	к которому	1	6
69	на этот	3	6
70	там где	3	6
71	в частности	1	6
72	вместе с	3	6
73	как это	4	6
74	в связи	5	6
75	сказать что	4	6
76	то же	11	5
77	полагает что	1	5
78	видели что	1	5
79	приводит к	1	5
80	речью и	1	5
81	это не	3	5
82	что с	1	5
83	тогда когда	1	5
84	во всей	1	5
85	можно было	4	5
86	и даже	4	5
87	связь между	1	5
88	которым мы	1	5
89	и их	5	5
90	друг друга	1	5
91	и др	8	5
92	с помощью	3	5
93	по существу	3	5
94	отношению к	1	5
95	связана с	1	4
96	хотя бы	2	4
97	с его	7	4
98	из этих	3	4
99	конечном счете	1	4
100	независимо от	2	4
101	как в	3	4
102	все же	2	4
103	что все	2	4
104	в них	6	4
105	несмотря на	2	4
106	со всей	1	4
107	в эту	2	4
108	в своей	3	4
109	от его	3	4
110	признать что	1	4
111	к этому	2	4
112	их в	1	4
113	даже в	2	4
114	не имеет	3	4
115	того как	1	4
116	и его	13	4
117	и с	10	4
118	на вопрос	1	4
119	в конечном	1	4
120	мы видим	5	4
121	так как	6	4
122	только в	4	4
123	в качестве	2	4
124	для всех	3	4
125	в начале	2	4
126	как раз	5	4
127	прежде всего	10	4
128	так же	8	4
129	все это	7	4
130	а в	4	4
131	по поводу	4	4
132	на самом	5	3
133	здесь и	5	3
134	и до	2	3
135	и ее	1	3
136	в общем	4	3
137	должны были	1	3
138	что они	1	3
139	с этим	4	3
140	когда он	2	3
141	бы и	1	3
142	он в	2	3
143	все эти	5	3
144	но на	3	3
145	что она	3	3
146	при этом	2	3
147	что у	1	3
148	и по	1	3
149	об этом	4	3
150	те же	1	3
151	лишь в	2	3
152	о которых	1	3
153	во время	12	3
154	бы к	1	3
155	в которых	3	3
156	но эта	2	3
157	для этого	1	3
158	в самой	8	3
159	уже говорили	2	3
160	этом отношении	5	3
161	в основе	4	3
162	больше того	1	3
163	детей в	1	3
164	числе и	2	3
165	что при	1	3
166	и это	4	3
167	данном случае	2	3
168	и человека	1	3
169	которое мы	1	3
170	и сам	1	3
171	с ним	5	3
172	ничего не	4	3
173	в игре	1	3
174	но мы	2	3
175	этому поводу	1	3
176	и только	2	3
177	тем более	1	3
178	значение в	1	3
179	одной из	5	3
180	но не	4	3
181	вот почему	1	3
182	из них	1	3
183	для него	3	3
184	на двух	1	3
185	отличие от	2	3
186	во власти	1	3
187	в отличие	2	3
188	что для	1	3
189	а не	4	3
190	в данном	2	3
191	этого слова	1	3
192	только для	2	3
193	о мире	1	3
194	не существует	1	3
195	он на	1	3
196	развития и	1	3
197	и все	7	3
198	того же	3	3
199	в заключение	3	3
200	не можем	1	3
201	том числе	4	3
202	они не	1	3
203	ту же	2	2
204	также и	7	2
205	же как	4	2
206	и есть	2	2
207	в присутствии	1	2
208	в котором	1	2
209	все те	1	2
210	той же	4	2
211	которую мы	1	2
212	он как	1	2
213	говорить о	2	2
214	принадлежит к	1	2
215	в их	4	2
216	столь же	1	2
217	во всех	13	2
218	только тогда	1	2
219	друг от	1	2
220	нет и	2	2
221	за пределы	1	2
222	еще один	2	2
223	в течение	3	2
224	общего с	1	2
225	перед нами	4	2
226	целый ряд	1	2
227	вопросом о	1	2
228	и как	5	2
229	от этого	2	2
230	раз в	2	2
