N	3gram	Losev_Prob_4	SlovoVZh
1	дело в том	1	4
2	в том что	8	4
3	и не может	1	3
4	тем не менее	10	3
5	бы то ни	1	3
6	этой точки зрения	1	3
7	до сих пор	1	3
8	и не в	1	3
9	то ни было	1	3
10	имеем в виду	3	2
11	на самом деле	3	2
12	с другой стороны	6	2
13	мы все время	2	2
14	то же самое	6	2
15	с точки зрения	11	2
16	в зависимости от	3	2
17	но отнюдь не	1	2
18	одно и то	1	2
19	эти и подобные	1	2
20	в этих двух	1	2
21	и подобные им	1	2
22	в данном случае	5	2
23	в настоящее время	1	2
24	в жизни и	1	2
25	с одной стороны	1	2
26	тех или иных	3	1
27	том что всякий	1	1
28	в виду и	1	1
29	но все же	1	1
30	каких бы то	1	1
31	в чем не	1	1
32	имеем дело с	1	1
33	как единство и	1	1
34	мы имеем дело	3	1
35	все эти моменты	1	1
36	то время как	2	1
37	более или менее	2	1
38	друг к другу	1	1
39	во всяком случае	4	1
40	еще не вполне	1	1
41	в этом смысле	3	1
42	самом же деле	2	1
43	но если бы	2	1
44	нам кажется что	1	1
45	мы убедились что	1	1
46	же как и	1	1
47	в нем и	1	1
48	в то время	2	1
49	только в результате	2	1
50	ни в чем	1	1
51	все эти и	2	1
52	равно как и	1	1
53	сам по себе	6	1
54	сами по себе	2	1
55	ни в коем	3	1
56	ясно что здесь	3	1
57	для нас и	1	1
58	в свою очередь	1	1
59	вопросов о том	1	1
60	таким образом к	1	1
61	образом каждая вещь	1	1
62	и независимо от	2	1
63	на самом же	2	1
64	о том что	3	1
65	но все это	1	1
66	только то что	1	1
67	ничего общего с	2	1
68	не обходится без	2	1
69	что не только	1	1
70	с самого начала	1	1
71	совершенно ясно что	1	1
72	ни в какой	4	1
73	и прежде всего	2	1
74	можно было бы	4	1
75	является для него	2	1
76	в основе своей	1	1
77	мы имеем в	1	1
78	по себе в	1	1
79	по крайней мере	6	1
80	здесь вовсе не	1	1
81	в то же	2	1
82	бы даже и	3	1
83	отнюдь не является	1	1
84	в коем случае	3	1
85	и в частности	2	1
86	да и всякого	1	1
87	того чтобы не	1	1
88	сама по себе	2	1
89	относится не к	1	1
90	так же как	1	1
91	для нас не	1	1
92	как и в	1	1
93	в литературе и	1	1
94	сих пор мы	1	1
95	к тому же	2	1
96	коем случае нельзя	1	1
97	едва ли кто-нибудь	2	1
