N	3gram	Vygotskiy__6	Sotsiolo
1	в том что	19	2
2	в конце концов	1	2
3	по отношению к	10	2
4	в настоящее время	1	1
5	в том и	1	1
6	и в этом	1	1
7	не может не	1	1
8	только то что	2	1
9	то что в	1	1
10	то же самое	6	1
11	как то что	1	1
12	о том как	1	1
13	друг от друга	1	1
14	по самому существу	1	1
15	в этой области	2	1
16	в целом все	1	1
17	в связи с	2	1
18	на первый план	1	1
19	как бы он	1	1
20	главным образом в	1	1
21	в лучшем случае	1	1
22	с одной стороны	1	1
23	бы он ни	1	1
24	в его работах	1	1
