N	3gram	Berdyaev_M_2	Hudozhes
1	о том что	2	9
2	по отношению к	2	8
3	в том что	2	6
4	к тому что	3	4
5	с точки зрения	1	3
6	и быть может	1	3
7	в этом отношении	1	3
8	та или иная	1	3
9	друг для друга	2	3
10	как и в	2	3
11	том что в	1	2
12	в тот момент	1	2
13	по своей природе	1	2
14	что он не	1	2
15	до сих пор	3	2
16	в значительной степени	1	2
17	что у него	1	2
18	не может быть	8	2
19	на то что	1	2
20	не означает что	1	1
21	а между тем	1	1
22	потому что он	2	1
23	в чем не	2	1
24	что она не	2	1
25	и не случайно	1	1
26	я никогда не	2	1
27	в плену у	1	1
28	на самом деле	1	1
29	а не о	1	1
30	том что он	1	1
31	же как и	3	1
32	все та же	1	1
33	и в этом	3	1
34	для себя и	1	1
35	а также в	1	1
36	и та же	2	1
37	всякого человека в	1	1
38	в себе и	1	1
39	с другим я	1	1
40	в письме к	1	1
41	как и все	1	1
42	в другом и	1	1
43	в ней есть	2	1
44	не потому что	1	1
45	в высшей степени	3	1
46	в конце концов	1	1
47	между тем в	1	1
48	не до конца	2	1
49	он уже не	1	1
50	друг друга даже	1	1
51	одна и та	2	1
52	в стороне от	1	1
53	друг друга как	1	1
54	ни в чем	2	1
55	в этом он	2	1
56	на наших глазах	1	1
57	друга и каждый	1	1
58	никогда не бывает	2	1
59	ни у кого	1	1
60	с другим и	1	1
61	также в значительной	1	1
62	если бы не	1	1
63	вопрос о природе	1	1
64	она не может	1	1
65	лишь во второй	1	1
66	в центре внимания	1	1
