N	4gram	Losev_Prob_1	Vladivir
1	дело в том что	3	4
2	то это значит что	1	4
3	тем не менее если	1	3
4	не имеет ничего общего	2	2
5	что бы то ни	1	2
6	на самом же деле	1	2
7	еще и потому что	1	2
8	и в то же	1	2
9	бы то ни стало	1	2
10	как мы видели выше	1	2
11	сводится к тому что	1	2
12	свидетельствует о том что	2	2
13	в то время как	1	2
14	ничего не говорит о	1	2
15	во что бы то	1	2
16	имеет ничего общего с	1	2
17	и тем не менее	8	1
18	только более или менее	1	1
19	в конце концов даже	1	1
20	перед нами не просто	1	1
21	в буквальном смысле слова	1	1
22	одно и то же	1	1
23	тем не менее он	1	1
24	не имеют никакого отношения	1	1
25	не что иное как	2	1
26	не выходит за пределы	1	1
27	это вовсе не есть	2	1
28	но все дело в	1	1
29	точно так же и	2	1
30	вещь и в том	1	1
31	имеют никакого отношения к	1	1
32	так же как и	1	1
33	а иной раз и	1	1
34	обстоятельства первое обстоятельство это	1	1
35	то же самое время	4	1
36	за свое существование и	1	1
37	не говоря уже об	1	1
38	тем не менее этот	1	1
39	все дело в том	1	1
40	то более то менее	1	1
41	в истории философии и	2	1
42	на то что в	1	1
43	заключается в том что	1	1
44	не принимая во внимание	1	1
45	а именно то что	1	1
46	то во всяком случае	1	1
47	может быть имеет смысл	1	1
48	мы должны сказать что	1	1
49	указанных у нас выше	1	1
50	в то же самое	4	1
