N	2gram	Berdyaev_M_1	Hudozhes
1	в мире	10	23
2	то есть	3	18
3	и не	11	16
4	не только	29	15
5	и в	28	15
6	в том	6	15
7	может быть	30	13
8	в частности	1	13
9	и его	9	12
10	а в	4	12
11	но не	8	11
12	в этом	20	11
13	в себе	7	11
14	я в	1	11
15	по отношению	2	10
16	как бы	2	10
17	так и	1	10
18	а не	25	10
19	отношению к	2	10
20	но и	25	10
21	точки зрения	4	9
22	в его	9	9
23	себя в	3	8
24	в душе	1	8
25	я и	1	7
26	отличие от	1	7
27	но в	7	7
28	в отличие	1	7
29	в то	2	7
30	в искусстве	1	7
31	с его	3	6
32	отношение к	4	6
33	том что	3	6
34	не в	16	6
35	в основе	2	6
36	по своей	2	6
37	в ее	3	6
38	приводит к	2	6
39	не может	28	6
40	что в	10	6
41	в их	4	5
42	в самом	11	5
43	то что	5	5
44	могут быть	2	5
45	того что	7	5
46	только в	6	5
47	уже не	4	5
48	в нем	13	5
49	отношения к	4	4
50	и то	1	4
51	мы имеем	1	4
52	место в	2	4
53	жизни как	1	4
54	еще не	1	4
55	как к	1	4
56	сознания в	1	4
57	и как	2	4
58	он не	24	4
59	в этих	4	4
60	в своей	15	4
61	не столько	1	4
62	личности в	2	4
63	входит в	2	4
64	между тем	1	4
65	искусства в	1	4
66	для него	11	4
67	к которому	1	4
68	прежде всего	10	4
69	а на	1	4
70	не знает	4	4
71	произведения искусства	1	4
72	к тому	3	4
73	особого рода	1	4
74	сказать что	2	4
75	со своей	1	3
76	и ее	1	3
77	в виду	2	3
78	как говорит	1	3
79	и к	2	3
80	в противоположность	1	3
81	в которой	6	3
82	он должен	3	3
83	лишь в	6	3
84	его в	3	3
85	это не	5	3
86	к области	1	3
87	как и	5	3
88	несет в	1	3
89	но он	9	3
90	в отношении	1	3
91	не менее	1	3
92	в русской	1	3
93	потому что	16	3
94	в пределах	1	3
95	так в	1	3
96	мог бы	4	3
97	к его	1	3
98	если бы	2	3
99	и что	2	3
100	что он	10	3
101	к нему	7	3
102	во всей	1	3
103	человека с	2	3
104	в области	1	3
105	не на	1	3
106	человеческой жизни	2	3
107	человека к	2	3
108	по своему	2	3
109	о чем	2	3
110	в той	2	3
111	и для	2	3
112	личности и	1	3
113	в свою	2	3
114	и состоит	1	3
115	человека и	14	2
116	и это	12	2
117	это и	4	2
118	между двумя	1	2
119	к другому	1	2
120	но она	1	2
121	принадлежит к	1	2
122	не вполне	1	2
123	я не	1	2
124	и на	6	2
125	не все	2	2
126	человеческих отношений	1	2
127	за пределы	4	2
128	опыта к	1	2
129	в своем	10	2
130	говорит что	1	2
131	все эти	2	2
132	бы не	2	2
133	в этой	6	2
134	с их	2	2
135	не как	4	2
136	в силу	1	2
137	на этом	3	2
138	ни был	1	2
139	значительной степени	1	2
140	об этом	1	2
141	дома и	1	2
142	в них	4	2
143	ведет к	6	2
144	и более	1	2
145	вовсе не	1	2
146	не могло	1	2
147	не принадлежит	2	2
148	оно не	1	2
149	и о	1	2
150	того чтобы	2	2
151	к жизни	1	2
152	роль в	1	2
153	и сам	1	2
154	с самим	2	2
155	с человеком	1	2
156	о том	2	2
157	при котором	1	2
158	в глаза	1	2
159	в значительной	1	2
160	во внутренней	1	2
161	а именно	1	2
162	ни к	1	2
163	мире и	1	2
164	и др	1	2
165	одно из	3	2
166	никто не	2	2
167	в одном	1	2
168	у него	17	2
169	для того	2	2
170	себя и	3	2
171	жизни то	1	2
172	мира в	1	2
173	в сторону	1	2
174	о себе	3	2
175	так же	1	2
176	и потому	10	2
177	как в	2	2
178	и по	4	2
179	для понимания	1	2
180	жизни в	2	2
181	о его	1	2
182	во всех	1	2
183	мира и	5	2
184	тем более	1	2
185	с ним	2	2
186	отношении к	2	2
187	одной из	1	2
188	от всех	1	2
189	в иной	3	2
190	культуры в	1	2
191	кто бы	1	1
192	также и	2	1
193	чтобы не	2	1
194	начинается с	1	1
195	и через	1	1
196	жизни поэтому	1	1
197	в христианском	4	1
198	он обращен	1	1
199	и есть	14	1
200	этого мира	3	1
201	достоевского в	9	1
202	можно лишь	1	1
203	в зависимости	1	1
204	восстает против	1	1
205	есть не	4	1
206	не во	1	1
207	не была	3	1
208	что иное	1	1
209	человек должен	6	1
210	никогда не	14	1
211	не знают	3	1
212	зависимости от	1	1
213	не что	1	1
214	момент в	2	1
215	начало и	1	1
216	не от	1	1
217	обращен к	4	1
218	собой в	1	1
219	зрения у	1	1
220	людей в	1	1
221	иное как	1	1
222	себя а	1	1
223	в существовании	1	1
224	в преступлении	2	1
225	и мира	3	1
226	тем как	1	1
227	быть художественно	1	1
228	иных случаях	1	1
229	для других	1	1
230	ивана карамазова	7	1
231	себе и	2	1
232	быть так	1	1
233	или к	4	1
234	что они	1	1
235	и я	5	1
236	в истории	2	1
237	более чем	1	1
238	отношение человека	1	1
239	с эпохи	1	1
240	в центре	2	1
241	о жизни	1	1
242	в различные	1	1
243	человеческая личность	1	1
244	такова же	1	1
245	глубже чем	1	1
246	во весь	1	1
247	нему как	1	1
248	над собой	1	1
249	силе и	1	1
250	и свою	1	1
251	от этого	2	1
252	искусство и	1	1
253	добро и	3	1
254	я верю	1	1
255	к чему	2	1
256	говорят о	1	1
257	и идет	1	1
258	бы и	3	1
259	привести к	4	1
260	что достоевский	4	1
261	за это	1	1
262	жизни так	1	1
263	отношение между	1	1
264	этого опыта	1	1
265	имеем в	1	1
266	во многих	1	1
267	ее как	1	1
268	проникает в	2	1
269	все человеческие	1	1
270	духовной культуры	1	1
271	что она	1	1
272	в мир	3	1
273	к миру	2	1
274	все это	6	1
275	ключ к	1	1
276	в понимании	1	1
277	к одному	1	1
278	отношений между	1	1
279	его сознание	1	1
280	остается лишь	2	1
281	бытия это	1	1
282	на земле	2	1
283	своей свободы	1	1
284	заключает в	3	1
285	подход к	1	1
286	том случае	1	1
287	бы быть	1	1
288	теми которые	1	1
289	широк человек	1	1
290	а как	2	1
291	это было	1	1
292	его личности	3	1
293	было бы	10	1
294	он ни	2	1
295	не совпадает	1	1
296	зрения и	1	1
297	весь мир	1	1
298	делает его	1	1
299	в жизни	3	1
300	на всякое	1	1
301	нет в	4	1
302	рядом с	1	1
303	моего сознания	1	1
304	и достоевского	2	1
305	он и	2	1
306	духовной жизни	3	1
307	он от	1	1
308	же я	1	1
309	перед собой	1	1
310	моей духовной	1	1
311	от своего	1	1
312	в такой	1	1
313	и без	1	1
314	эту свободу	1	1
315	в котором	8	1
316	и вокруг	1	1
317	все и	1	1
318	себе а	1	1
319	до последнего	1	1
320	от его	2	1
321	всякий раз	1	1
322	не путем	1	1
323	любовь и	1	1
324	есть его	1	1
325	но во	1	1
326	в конце	7	1
327	и наоборот	1	1
328	не должно	1	1
329	границы личности	1	1
330	это особенно	2	1
331	жизни ее	1	1
332	между людьми	1	1
333	себе такова	1	1
334	ее не	1	1
335	с которой	2	1
336	не имеет	3	1
337	что такое	1	1
338	к этим	2	1
339	карамазова в	1	1
340	зрения герои	1	1
341	когда они	1	1
342	это еще	1	1
343	он мог	2	1
344	себе самом	1	1
345	казалось бы	1	1
346	только свобода	3	1
347	только и	3	1
348	в самой	7	1
349	же этот	1	1
350	индивидуальности к	1	1
351	ничто не	1	1
352	не внешняя	1	1
353	как будто	2	1
354	границы человеческой	4	1
355	в каком	2	1
356	в момент	3	1
357	все то	1	1
358	реальности это	1	1
359	такого отношения	3	1
360	когда мы	2	1
361	он еще	1	1
362	вокруг него	1	1
363	всего что	2	1
364	в каждом	1	1
365	на это	1	1
366	говорит о	1	1
367	о судьбе	1	1
368	должен быть	2	1
369	и открывает	1	1
370	на помощь	2	1
371	из всего	1	1
372	что составляет	1	1
373	человеческого сознания	2	1
374	то время	2	1
375	свободу и	4	1
376	значение в	1	1
377	живет в	2	1
378	разного рода	2	1
379	и зло	1	1
380	интересом к	1	1
381	мире в	1	1
382	означает что	1	1
383	герой из	1	1
384	жизни не	1	1
385	именно потому	1	1
386	и поэтому	1	1
387	дорожит этой	1	1
388	к знанию	1	1
389	может не	2	1
390	восходит к	1	1
391	по типу	1	1
392	путь к	1	1
393	у достоевского	42	1
394	от одного	1	1
395	в другой	1	1
396	если он	5	1
397	человека как	2	1
398	о своих	2	1
399	в него	3	1
400	и мир	2	1
401	не несет	1	1
402	существует не	2	1
403	с той	1	1
404	на которой	1	1
405	один из	4	1
406	мы видим	2	1
407	характерна для	1	1
408	действующих лиц	1	1
409	образа в	1	1
410	между этими	1	1
411	бы ни	1	1
412	как первоначальная	1	1
413	так что	1	1
414	же и	1	1
415	это ни	1	1
416	определяющее значение	2	1
417	с нею	1	1
418	ничего нельзя	1	1
419	то и	1	1
420	сознание как	1	1
421	против собственной	1	1
422	состоит чтобы	1	1
423	мышления и	1	1
424	чего бы	1	1
425	себе в	1	1
426	ведь это	2	1
427	и против	1	1
428	у нее	1	1
429	так как	3	1
430	и от	2	1
431	к ним	1	1
432	должен был	4	1
433	встречаемся с	1	1
434	но из	1	1
435	не было	18	1
436	он же	1	1
437	обращением к	1	1
438	личность и	2	1
439	и даже	1	1
440	точек зрения	1	1
441	но одно	1	1
442	как у	1	1
443	этом пути	2	1
444	связаны с	1	1
445	по своим	1	1
446	души и	1	1
447	мира это	1	1
448	что не	1	1
449	человека но	4	1
450	всю жизнь	4	1
451	от мира	2	1
452	жизнь в	1	1
453	красота есть	1	1
454	его как	2	1
455	время для	1	1
456	и литературные	1	1
457	как ни	1	1
458	нет никаких	2	1
459	имея в	1	1
460	вступает в	1	1
461	вместе с	6	1
462	в одной	1	1
463	в иных	3	1
464	не могут	5	1
465	и остроте	1	1
466	встреч и	1	1
467	мировой жизни	1	1
468	да и	1	1
469	в состоянии	1	1
470	быть не	2	1
471	мира с	1	1
472	него не	2	1
473	в это	1	1
474	с этой	4	1
475	своей жизни	1	1
476	только для	1	1
477	все же	2	1
478	от нас	1	1
479	о мире	2	1
480	как своей	1	1
481	свободе его	1	1
482	он уже	6	1
483	в более	2	1
484	за его	1	1
485	если не	1	1
486	совершается в	1	1
487	отношений и	1	1
488	она может	2	1
489	его природы	2	1
490	для нас	3	1
491	от него	4	1
492	идет не	1	1
493	бы в	2	1
494	в динамике	3	1
495	как явление	1	1
496	действительной жизни	1	1
497	вести к	1	1
498	можно признать	1	1
499	но если	3	1
500	но всегда	1	1
501	быть и	1	1
502	не есть	9	1
503	к преступлению	4	1
504	а внутри	1	1
505	не быть	1	1
506	впервые в	1	1
507	понимается как	1	1
508	жизни а	1	1
509	открывает что	1	1
510	свободы я	1	1
511	всего в	2	1
512	быть назван	1	1
513	жизни и	2	1
514	судьба в	1	1
515	судьбы в	1	1
516	случае если	1	1
517	в своих	1	1
518	можно назвать	1	1
519	все что	2	1
520	они не	1	1
521	которая не	1	1
