N	3gram	Bakhtin_fo_1	Istorich
1	в этом случае	1	7
2	с одной стороны	2	7
3	вместе с тем	2	6
4	о том что	1	4
5	в связи с	5	4
6	но все же	2	4
7	как мы увидим	1	3
8	так же как	2	3
9	но вместе с	1	3
10	не может быть	3	3
11	для того чтобы	5	3
12	на том что	1	2
13	по отношению к	3	2
14	в другую страну	2	2
15	же как и	2	2
16	до сих пор	3	2
17	наряду с этим	2	2
18	в истории этого	1	2
19	в это время	1	2
20	в особенности в	1	2
21	в данном случае	1	2
22	не только в	2	2
23	при помощи которой	1	2
24	но и в	2	2
25	друг с другом	1	2
26	в том что	2	2
27	как и в	2	2
28	к тому времени	1	1
29	в дословном переводе	1	1
30	большую роль в	1	1
31	мы видим в	1	1
32	которого никто не	1	1
33	в виду что	1	1
34	в частности от	1	1
35	все это он	1	1
36	в том числе	4	1
37	в соответствии с	2	1
38	одной стороны и	2	1
39	на них а	1	1
40	с точки зрения	2	1
41	и не только	2	1
42	в зависимости от	1	1
43	в отличие от	2	1
44	в себе и	1	1
45	с тем что	1	1
46	но наряду с	1	1
47	том числе и	2	1
48	совершенно так же	1	1
49	то же время	9	1
50	в нужный момент	1	1
51	у него нет	1	1
52	главным образом в	1	1
53	то время как	2	1
54	и на ней	1	1
55	в ту же	1	1
56	все же и	1	1
57	во всех этих	1	1
58	в преисподнюю и	1	1
59	в таких произведениях	1	1
60	чаще всего это	1	1
61	мы уже говорили	3	1
62	его вместе с	1	1
63	он попадает в	1	1
64	во всяком случае	1	1
65	здесь конечно не	1	1
66	и в других	4	1
67	мы уже видели	1	1
68	могут быть найдены	1	1
69	мы уже знаем	1	1
70	этого мотива но	1	1
71	надел на себя	1	1
72	в то время	3	1
73	в свою очередь	1	1
74	но дело не	1	1
75	уже видели как	1	1
76	и приходит к	1	1
77	но оно уже	1	1
78	одна из форм	1	1
79	с самого начала	2	1
80	и не могло	1	1
81	в самом деле	1	1
82	я вошел в	1	1
83	в частности с	1	1
84	в то же	6	1
85	одно из древнейших	1	1
86	здесь как и	1	1
87	на другой день	2	1
88	на следующий день	1	1
89	мы еще не	1	1
