N	3gram	Losev_Prob_5	Tragedij
1	то же время	1	5
2	в то же	1	5
3	так и в	1	3
4	и в дальнейшем	1	2
5	точно так же	3	2
6	и в частности	3	2
7	в данном случае	2	2
8	но в то	1	2
9	и как бы	1	2
10	бросается в глаза	1	2
11	не в силах	1	2
12	о том что	9	2
13	но все же	2	2
14	в том что	8	2
15	как и его	1	1
16	не только по	1	1
17	сам о себе	1	1
18	не только о	1	1
19	том что он	2	1
20	у него нет	1	1
21	сам по себе	1	1
22	и то что	3	1
23	в виду не	1	1
24	во всяком случае	2	1
25	в конце концов	6	1
26	он сам о	1	1
27	и в этом	1	1
28	тем не менее	5	1
29	все же не	3	1
30	в связи с	7	1
31	не может быть	2	1
32	приходит в голову	1	1
33	и все же	1	1
34	и знает что	2	1
35	и вместе с	1	1
36	это и есть	1	1
37	что в ней	1	1
38	у него есть	1	1
39	и он сам	1	1
40	который в своей	3	1
41	с самого начала	1	1
42	уже в году	1	1
43	несмотря на всю	1	1
44	в самом деле	1	1
45	после того как	3	1
46	на всю ее	1	1
47	своей и чужой	1	1
