N	2gram	Bakhtin_Fr_8	Formalny
1	и в	56	24
2	в его	18	23
3	прежде всего	6	22
4	и не	9	20
5	так и	13	18
6	точки зрения	6	16
7	не может	2	16
8	в этом	14	15
9	в нем	8	14
10	может быть	3	14
11	таким образом	17	13
12	на почве	1	13
13	с точки	2	13
14	в своем	3	11
15	как и	5	11
16	в своей	2	11
17	в их	3	11
18	в ней	4	10
19	то же	11	10
20	вовсе не	6	10
21	настоящее время	3	10
22	и ее	4	10
23	и его	12	10
24	и их	8	10
25	а не	2	10
26	в настоящее	3	10
27	в то	12	9
28	в процессе	5	9
29	и потому	4	9
30	все это	8	9
31	и на	7	8
32	как в	1	8
33	и с	8	8
34	лишь в	1	8
35	не в	3	8
36	же время	10	8
37	в ее	6	8
38	именно в	1	8
39	то что	3	8
40	на самом	2	7
41	с ее	5	7
42	не только	8	7
43	место в	1	7
44	жизни и	1	7
45	до конца	11	7
46	и от	1	7
47	но и	9	7
48	еще не	10	6
49	самом деле	2	6
50	более или	2	6
51	все эти	15	6
52	в этой	6	6
53	как бы	11	6
54	или менее	2	6
55	в пределах	5	6
56	и здесь	3	6
57	до сих	8	6
58	в том	13	6
59	было бы	2	6
60	сих пор	8	6
61	форм и	4	6
62	и все	6	6
63	а в	2	6
64	бы ни	1	5
65	во всех	8	5
66	одним словом	1	5
67	но в	6	5
68	в самом	9	5
69	при этом	4	5
70	и до	10	5
71	как мы	7	5
72	непосредственно в	1	5
73	в литературе	3	5
74	того что	1	5
75	только на	2	5
76	с другой	2	5
77	и др	8	5
78	со всею	3	5
79	с его	5	4
80	по отношению	1	4
81	независимо от	1	4
82	и к	4	4
83	в которой	4	4
84	отчасти и	2	4
85	главным образом	3	4
86	не как	2	4
87	не из	1	4
88	в мире	2	4
89	с другими	1	4
90	задачи и	1	4
91	только и	1	4
92	как на	1	4
93	никогда не	5	4
94	если бы	2	4
95	для этого	1	4
96	в формах	1	4
97	с одной	4	4
98	конечно не	4	4
99	одной стороны	2	4
100	в связи	3	4
101	в частности	7	4
102	этой последней	1	4
103	отношению к	1	4
104	стороны и	1	4
105	с этой	2	4
106	быть и	1	4
107	что в	5	4
108	так же	2	4
109	культуры и	2	3
110	ее целом	1	3
111	действительности и	2	3
112	мы не	2	3
113	время в	3	3
114	бы то	2	3
115	но не	5	3
116	со всеми	1	3
117	значение и	2	3
118	как к	2	3
119	все же	2	3
120	когда он	2	3
121	целый ряд	2	3
122	и как	2	3
123	и наконец	3	3
124	в себе	4	3
125	так сказать	5	3
126	он не	5	3
127	всех этих	3	3
128	так например	2	3
129	то ни	2	3
130	на все	1	3
131	его в	2	3
132	в них	11	3
133	вещей и	11	3
134	они не	5	3
135	в отношении	5	3
136	в основе	4	3
137	в систему	3	3
138	на язык	1	3
139	связи с	6	3
140	не по	1	3
141	всего в	1	3
142	к тому	1	3
143	нашей работы	2	3
144	здесь не	1	3
145	особенно в	1	3
146	громадное значение	1	3
147	влияние на	1	3
148	борьба с	1	3
149	бы в	3	3
150	наконец в	4	3
151	один из	5	3
152	или же	1	3
153	в большинстве	7	3
154	и других	4	3
155	для него	2	3
156	в особенности	4	3
157	со всем	1	3
158	и даже	8	3
159	в области	5	3
160	не было	5	3
161	и непосредственно	1	3
162	его как	2	3
163	на фоне	1	3
164	этого слова	1	3
165	дело идет	1	3
166	но это	2	3
167	она должна	1	3
168	более того	3	3
169	с помощью	3	3
170	же в	1	3
171	между ними	2	3
172	от всех	2	3
173	что он	2	3
174	и развитие	1	2
175	чтобы не	1	2
176	и это	1	2
177	в году	3	2
178	в германии	1	2
179	а как	1	2
180	вопрос о	1	2
181	литературы и	1	2
182	для других	1	2
183	за пределы	4	2
184	чем же	1	2
185	идет о	1	2
186	эта связь	1	2
187	в действительности	2	2
188	стиля и	1	2
189	он в	1	2
190	в нашем	2	2
191	эпохи и	6	2
192	и те	2	2
193	этот образ	1	2
194	на его	6	2
195	к миру	1	2
196	мы полагаем	1	2
197	и вот	1	2
198	и более	4	2
199	но ведь	1	2
200	каждый акт	1	2
201	это не	2	2
202	действительности в	1	2
203	с начала	3	2
204	начала и	4	2
205	отражение в	2	2
206	в новое	1	2
207	ни в	2	2
208	с тем	2	2
209	мы видели	5	2
210	а отчасти	1	2
211	культуры с	1	2
212	в эту	2	2
213	значение для	1	2
214	войти в	1	2
215	этой работы	1	2
216	чтобы стать	2	2
217	к другим	1	2
218	только не	2	2
219	следовательно и	1	2
220	одна из	4	2
221	до настоящего	3	2
222	в самой	1	2
223	этом процессе	2	2
224	за исключением	1	2
225	на языке	2	2
226	и является	1	2
227	во всем	4	2
228	может и	1	2
229	фактов и	2	2
230	настоящего времени	3	2
231	эта область	1	2
232	его с	1	2
233	если же	1	2
234	вещей в	1	2
235	в науке	1	2
236	глубоко и	1	2
237	еще в	1	2
238	она была	1	2
239	с ним	2	2
240	и что	1	2
241	чтобы вскрыть	1	2
242	все в	1	2
243	между тем	3	2
244	ее от	1	2
245	что и	3	2
246	во всей	2	2
247	нем и	2	2
248	в лице	1	2
249	только в	9	2
250	мира как	1	2
251	уже не	3	2
252	не можем	1	2
253	ни одного	2	2
254	большинстве случаев	6	2
255	его и	1	2
256	точка зрения	2	2
257	в одном	2	2
258	и со	1	2
259	как раз	2	2
260	полагаем что	1	2
261	они становятся	1	2
262	и глубже	2	2
263	вопрос об	2	2
264	здесь в	3	2
265	и самый	3	2
266	не на	3	2
267	под влиянием	1	2
268	мира в	1	2
269	все более	1	2
270	бы оно	1	2
271	вместе с	2	2
272	и особенно	1	2
273	почти совершенно	1	2
274	подхода к	1	2
275	в ряду	1	2
276	к которому	3	2
277	совершается в	1	2
278	в результате	5	2
279	ни было	2	2
280	в своих	4	2
281	одной из	3	2
282	от литературы	1	2
283	только как	1	2
284	в системе	1	2
285	они были	4	2
286	иная чем	1	2
287	новое время	2	1
288	смысле слова	1	1
289	с природой	1	1
290	ту же	4	1
291	этого в	1	1
292	также и	2	1
293	лишь медленно	1	1
294	например в	4	1
295	как целому	1	1
296	начинается с	1	1
297	в замкнутой	1	1
298	к вопросу	1	1
299	действительностью в	1	1
300	сил и	1	1
301	почти впервые	1	1
302	между всеми	1	1
303	и принципиально	1	1
304	из самых	1	1
305	явления и	1	1
306	и чрезвычайно	2	1
307	по преимуществу	2	1
308	как сами	1	1
309	мы уже	10	1
310	той же	6	1
311	всего того	1	1
312	и значение	1	1
313	времени еще	1	1
314	миру когда	1	1
315	словами в	1	1
316	не во	1	1
317	конкретностью и	1	1
318	почти все	2	1
319	и новых	1	1
320	был понят	1	1
321	хотя здесь	1	1
322	вместо того	1	1
323	ему в	1	1
324	целого в	1	1
325	из ее	1	1
326	xix века	1	1
327	не был	4	1
328	явления например	1	1
329	оно ни	1	1
330	в чем	1	1
331	не имеющий	1	1
332	но конечно	1	1
333	значительное влияние	1	1
334	и всего	1	1
335	предисловии к	1	1
336	чем это	1	1
337	совсем не	2	1
338	в данном	2	1
339	к которой	1	1
340	оценок в	1	1
341	и речи	1	1
342	связи и	3	1
343	всего это	1	1
344	вот как	2	1
345	части в	1	1
346	перед нами	3	1
347	и точность	1	1
348	глубже чем	1	1
349	понять и	1	1
350	хотя и	2	1
351	реальной действительности	1	1
352	его дела	1	1
353	в точке	2	1
354	очень распространены	1	1
355	в этот	1	1
356	в условиях	5	1
357	и конечно	2	1
358	словом не	1	1
359	та же	1	1
360	перестанет быть	1	1
361	бы и	2	1
362	из этих	1	1
363	еще далеко	1	1
364	сущности и	1	1
365	и принципиальной	1	1
366	так в	1	1
367	с их	2	1
368	как он	1	1
369	фактический материал	1	1
370	быть только	1	1
371	не следует	1	1
372	по-видимому не	1	1
373	в поэтике	1	1
374	все те	2	1
375	в первой	3	1
376	они в	1	1
377	на таком	1	1
378	состоит в	1	1
379	к одному	1	1
380	понятий и	1	1
381	этот процесс	1	1
382	вообще не	1	1
383	особые формы	1	1
384	так часто	2	1
385	свою силу	1	1
386	таких которые	1	1
387	какой бы	1	1
388	этого жанра	1	1
389	место его	1	1
390	людей и	2	1
391	отношении в	1	1
392	в нее	1	1
393	последнее слово	5	1
394	это конечно	1	1
395	для всей	1	1
396	связанных с	1	1
397	никакой смысловой	2	1
398	этих форм	2	1
399	на этой	1	1
400	с каким-либо	1	1
401	заключается в	1	1
402	форм их	1	1
403	но самый	1	1
404	этом смысле	1	1
405	должен был	1	1
406	и тем	1	1
407	и эстетика	1	1
408	ведь в	3	1
409	только одно	1	1
410	действительности правда	1	1
411	нет в	1	1
412	даже без	1	1
413	далеко не	2	1
414	в контексте	1	1
415	место и	1	1
416	новые формы	1	1
417	переходим к	4	1
418	он и	2	1
419	и превращения	1	1
420	первом плане	1	1
421	как целого	1	1
422	это совершенно	1	1
423	литературное явление	1	1
424	как целое	2	1
425	такой же	5	1
426	и тогда	1	1
427	смысл и	1	1
428	не мог	3	1
429	этот материал	1	1
430	исторической действительности	1	1
431	в этих	11	1
432	и другие	5	1
433	все элементы	1	1
434	что между	1	1
435	очень остро	1	1
436	соприкосновение с	1	1
437	в котором	2	1
438	из которой	1	1
439	и свой	1	1
440	в отличие	1	1
441	значение то	1	1
442	лишь тем	2	1
443	бы мы	1	1
444	своего рода	5	1
445	совершенно иначе	1	1
446	этих моментов	1	1
447	даны в	1	1
448	такую же	1	1
449	но он	3	1
450	друг другу	2	1
451	и эти	2	1
452	есть еще	1	1
453	и почти	3	1
454	не знает	1	1
455	и вся	1	1
456	тому что	1	1
457	вещей как	1	1
458	иной раз	1	1
459	самого начала	1	1
460	этими двумя	1	1
461	эти формы	1	1
462	не имеет	1	1
463	на котором	2	1
464	здесь на	1	1
465	и притом	1	1
466	но самые	1	1
467	и сама	1	1
468	и отдельных	2	1
469	того чтобы	4	1
470	в структуре	1	1
471	остановимся здесь	1	1
472	свой язык	2	1
473	техникой и	1	1
474	воспитанного на	1	1
475	правда в	1	1
476	что самое	1	1
477	правда некоторые	1	1
478	этих последних	1	1
479	он хочет	1	1
480	по своей	4	1
481	углом зрения	1	1
482	потому что	6	1
483	со сменой	1	1
484	было не	1	1
485	только с	1	1
486	этом отношении	1	1
487	что на	2	1
488	и из	1	1
489	без исключения	1	1
490	глаз на	1	1
491	этот в	1	1
492	уже о	1	1
493	и стиль	2	1
494	не стали	2	1
495	в духе	4	1
496	не могут	1	1
497	могут быть	1	1
498	числе и	2	1
499	более широкой	2	1
500	как для	1	1
501	лишены всякой	2	1
502	тому только	1	1
503	его значение	1	1
504	науки в	1	1
505	этим только	1	1
506	значение это	1	1
507	правда не	1	1
508	они вовсе	1	1
509	и о	3	1
510	и сами	1	1
511	как один	1	1
512	ведь они	1	1
513	данном случае	2	1
514	же наконец	1	1
515	языка и	6	1
516	характер и	3	1
517	исторической жизни	2	1
518	к минимуму	1	1
519	с самого	1	1
520	роль в	5	1
521	мы наблюдаем	3	1
522	в образе	3	1
523	было в	1	1
524	в борьбе	2	1
525	здесь нет	3	1
526	мог бы	1	1
527	во многом	2	1
528	и всегда	1	1
529	что дело	1	1
530	по сравнению	1	1
531	все остальные	2	1
532	и делают	1	1
533	мире в	2	1
534	смысле и	1	1
535	этого языка	1	1
536	душе не	1	1
537	в отдельных	1	1
538	в другом	3	1
539	широкой и	2	1
540	того он	1	1
541	на всех	1	1
542	язык и	2	1
543	с разных	1	1
544	его жизни	2	1
545	притом в	1	1
546	можно сказать	2	1
547	романа а	1	1
548	а также	3	1
549	по их	1	1
550	науке и	1	1
551	разобранной нами	1	1
552	на отдельные	1	1
553	и своей	1	1
554	и всю	1	1
555	от них	1	1
556	вся эта	2	1
557	быть найдены	1	1
558	и во	2	1
559	и научной	1	1
560	должно было	1	1
561	творчества в	1	1
562	точке пересечения	1	1
563	на одном	2	1
564	в языке	1	1
565	в форме	3	1
566	исторического становления	1	1
567	и ни	1	1
568	исторического развития	1	1
569	в свете	4	1
570	не тот	2	1
571	вещи как	1	1
572	видим что	2	1
573	в современной	1	1
574	это наиболее	2	1
575	этого ряда	1	1
576	к нему	2	1
577	отражения в	1	1
578	романа и	1	1
579	значений и	1	1
580	мы видим	6	1
581	и особые	1	1
582	очень много	2	1
583	по мнению	1	1
584	между этими	1	1
585	времени как	1	1
586	в предисловии	1	1
587	именно на	1	1
588	так что	3	1
589	для всех	1	1
590	и актуальные	1	1
591	себя в	1	1
592	слова в	1	1
593	в виде	2	1
594	не исчерпывает	1	1
595	язык это	1	1
596	или даже	1	1
597	и обратно	1	1
598	из них	2	1
599	участие в	1	1
600	непосредственным влиянием	1	1
601	предмет и	1	1
602	мы знаем	1	1
603	достаточно назвать	1	1
604	был бы	3	1
605	мы рассматривали	1	1
606	никто не	1	1
607	так как	4	1
608	и близкого	1	1
609	и вещей	4	1
610	как его	1	1
611	у него	7	1
612	отличие от	1	1
613	вне их	1	1
614	от плоскости	1	1
615	же деле	1	1
616	но вся	1	1
617	связан с	2	1
618	материал и	1	1
619	не были	3	1
620	выходит за	1	1
621	или иной	1	1
622	имеет и	1	1
623	как у	1	1
624	не один	1	1
625	что они	2	1
626	а именно	1	1
627	характерно для	1	1
628	эпохи так	1	1
629	а с	1	1
630	что для	3	1
631	самом же	1	1
632	нужно сказать	1	1
633	и литературной	1	1
634	а на	2	1
635	к своему	1	1
636	однако и	1	1
637	идет уже	1	1
638	и социальных	1	1
639	в слове	2	1
640	понят и	1	1
641	и исторической	2	1
642	там где	3	1
643	несмотря на	2	1
644	и историческими	1	1
645	тем существеннее	1	1
646	к его	3	1
647	имен в	1	1
648	о различных	1	1
649	лишена подхода	1	1
650	из которых	2	1
651	эта взаимоориентация	1	1
652	почти всех	1	1
653	по своему	8	1
654	другу и	1	1
655	если оно	1	1
656	по поводу	1	1
657	сравнению с	1	1
658	в той	6	1
659	однако эти	2	1
660	данной эпохи	1	1
661	во все	3	1
662	даже с	1	1
663	культуре и	1	1
664	здесь идет	1	1
665	дело здесь	1	1
666	весь этот	2	1
667	здесь очень	1	1
668	явления а	1	1
669	оценки и	1	1
670	между тремя	1	1
671	их конкретной	1	1
672	между собой	1	1
673	кроме того	3	1
674	в более	1	1
675	стремиться к	1	1
676	отношениях к	1	1
677	и для	2	1
678	с конкретностью	1	1
679	слова но	1	1
680	не подлежит	3	1
681	что оно	1	1
682	мира и	2	1
683	том что	8	1
684	романе и	1	1
685	это уже	1	1
686	или другой	1	1
687	к одной	1	1
688	его структуру	1	1
689	для нас	1	1
690	романа в	2	1
691	еще более	1	1
692	тем более	1	1
693	них и	2	1
694	обстоит дело	1	1
695	разных сторон	1	1
696	они и	1	1
697	сказать что	3	1
