N	4gram	Bakhtin_Pr_1	KFilosof
1	ни в чем не	2	4
2	по отношению к нему	1	4
3	лишь в соотнесении с	1	2
4	бы то ни было	2	2
5	должно быть соотнесено с	1	2
6	только по отношению к	4	2
7	в то же время	3	2
8	ни к чему не	1	2
9	дело в том что	1	1
10	и тем не менее	1	1
11	и для эстетического созерцания	2	1
12	там где оно не	1	1
13	и в то же	2	1
14	в противном случае мы	1	1
15	во всех своих моментах	2	1
16	взаимно проникают друг друга	1	1
17	позицию по отношению к	3	1
18	только при этом условии	1	1
19	но в то же	1	1
20	или иной культурной области	1	1
21	в его целом как	1	1
22	к единству содержания и	1	1
23	в основе своей есть	1	1
24	в их конкретном единстве	1	1
25	в его целом в	1	1
26	ни в один момент	1	1
27	несмотря на то что	1	1
28	той или иной культурной	1	1
29	в один момент не	1	1
