N	2gram	Berdyaev_N_1	KFilosof
1	может быть	7	43
2	в его	1	39
3	в нем	5	31
4	не может	16	27
5	и не	11	26
6	и в	16	22
7	в себе	2	21
8	в котором	1	21
9	не есть	3	19
10	и его	1	17
11	в ее	3	17
12	а не	17	17
13	только в	1	16
14	в этом	7	13
15	и это	2	12
16	но не	2	12
17	ни в	6	12
18	все эти	2	11
19	в своей	3	11
20	не в	6	11
21	к нему	1	11
22	во всех	3	10
23	в своем	1	10
24	это не	4	10
25	все это	5	10
26	и есть	10	9
27	бытия и	1	9
28	но и	3	9
29	и для	4	9
30	и все	4	9
31	лишь в	6	8
32	было бы	1	8
33	мир в	1	8
34	не было	4	8
35	жизни и	8	8
36	то что	4	7
37	во всем	1	7
38	должен быть	5	7
39	себя в	2	7
40	конечно не	3	7
41	быть только	1	7
42	я не	2	6
43	только изнутри	1	6
44	менее всего	1	6
45	он не	8	6
46	не значит	3	6
47	в мире	3	6
48	и только	1	6
49	уже не	2	6
50	и их	1	6
51	но это	6	6
52	в смысле	2	6
53	в том	8	6
54	жизни как	2	5
55	но в	2	5
56	не только	5	5
57	но ведь	1	5
58	но все	1	5
59	как и	7	5
60	должно быть	4	5
61	не имеет	4	5
62	никогда не	6	5
63	бытия как	1	5
64	для себя	1	5
65	ни одно	1	5
66	с ним	1	5
67	бытия в	2	5
68	есть лишь	4	5
69	в основе	3	5
70	хотя бы	2	5
71	жизни в	3	5
72	не знает	6	5
73	я могу	1	5
74	себя а	1	4
75	быть в	2	4
76	в чем	1	4
77	мира но	1	4
78	место в	2	4
79	к ним	3	4
80	не по	1	4
81	в каком	1	4
82	в категориях	2	4
83	времени и	2	4
84	мира и	2	4
85	познания и	2	4
86	том что	2	4
87	а в	2	4
88	что в	9	4
89	бытия а	1	3
90	этого мира	1	3
91	должна быть	3	3
92	и этот	1	3
93	мы не	2	3
94	в ней	5	3
95	еще не	3	3
96	и на	2	3
97	не могу	1	3
98	себе и	1	3
99	нет и	2	3
100	к чему	1	3
101	для того	1	3
102	всех своих	1	3
103	людей и	1	3
104	ее жизни	1	3
105	этом смысле	2	3
106	нет в	1	3
107	не должно	1	3
108	что этот	1	3
109	не менее	4	3
110	мира не	1	3
111	в час	4	3
112	могут быть	2	3
113	культуры и	7	3
114	в виду	1	3
115	о том	4	3
116	и весь	2	3
117	других людей	1	3
118	к последнему	1	3
119	котором и	1	3
120	философия не	1	3
121	тем что	1	3
122	от того	1	3
123	что не	1	3
124	и пр	3	3
125	и жизни	1	3
126	ближе к	1	3
127	вступает в	1	3
128	по своему	4	3
129	не быть	1	3
130	но можно	1	3
131	в свою	1	3
132	в то	2	3
133	он может	1	2
134	это и	2	2
135	вопрос о	3	2
136	с его	6	2
137	совсем не	12	2
138	как в	3	2
139	от этого	1	2
140	перестал быть	1	2
141	думать что	2	2
142	ни одна	2	2
143	в этой	1	2
144	человек не	1	2
145	так и	2	2
146	смысле в	1	2
147	не будет	7	2
148	а по	1	2
149	и мы	4	2
150	весь мир	1	2
151	в жизни	5	2
152	с тем	3	2
153	и того	1	2
154	но я	2	2
155	возможности в	1	2
156	этот мир	2	2
157	по себе	1	2
158	сам этот	1	2
159	и развивается	1	2
160	она могла	1	2
161	того чтобы	2	2
162	для другого	1	2
163	в области	1	2
164	к себе	1	2
165	выход из	1	2
166	бы он	1	2
167	оно не	1	2
168	отказаться от	1	2
169	на нем	1	2
170	чтобы быть	1	2
171	говорить о	1	2
172	и когда	1	2
173	философии жизни	1	2
174	нем не	1	2
175	может иметь	1	2
176	и она	1	2
177	что он	1	2
178	вступить в	1	2
179	него и	1	2
180	а это	1	2
181	к содержанию	2	2
182	слова в	1	2
183	ли это	2	2
184	для этого	2	2
185	было и	1	2
186	себя и	1	2
187	прежде всего	4	2
188	он и	1	2
189	я уже	2	2
190	и потому	4	2
191	это есть	7	2
192	быть не	1	2
193	в это	1	2
194	но для	2	2
195	это уже	1	2
196	ни к	2	2
197	потому что	4	2
198	нужно помнить	1	1
199	смысле слова	3	1
200	человека и	3	1
201	и через	1	1
202	в средние	3	1
203	ей придется	1	1
204	и до	1	1
205	права и	2	1
206	не имеют	2	1
207	ведь и	2	1
208	в зависимости	1	1
209	мы уже	1	1
210	из всех	1	1
211	со всех	4	1
212	как я	1	1
213	всех сторон	4	1
214	и индивидуальности	2	1
215	освобождения от	1	1
216	мысли и	2	1
217	не был	1	1
218	и мира	1	1
219	была лишь	1	1
220	пути ее	1	1
221	черты и	1	1
222	я исхожу	1	1
223	красота и	1	1
224	в истории	3	1
225	с этим	2	1
226	помнить что	2	1
227	хотя и	2	1
228	материальные и	1	1
229	он находится	1	1
230	и к	5	1
231	в каком-то	1	1
232	в этот	1	1
233	в самом	1	1
234	мыслить как	1	1
235	в которой	1	1
236	в известном	1	1
237	жизнью и	1	1
238	эту мысль	1	1
239	что она	2	1
240	исхожу из	1	1
241	все другие	1	1
242	она становится	1	1
243	перестает быть	4	1
244	не к	2	1
245	оно должно	1	1
246	их в	1	1
247	другого мира	1	1
248	стремится быть	1	1
249	значительной степени	1	1
250	всех великих	1	1
251	том случае	1	1
252	и с	2	1
253	это было	3	1
254	который и	1	1
255	он есть	1	1
256	мыслить в	1	1
257	этого она	1	1
258	вся полнота	1	1
259	политики и	2	1
260	этого не	1	1
261	всю жизнь	1	1
262	и переживает	1	1
263	и было	2	1
264	такой же	2	1
265	в этих	1	1
266	жизнь не	1	1
267	она сама	1	1
268	всяком случае	1	1
269	значение для	1	1
270	к такой	1	1
271	но он	1	1
272	но во	1	1
273	творчества и	1	1
274	быть таким	1	1
275	есть еще	1	1
276	есть всегда	1	1
277	и очень	1	1
278	нет никакого	1	1
279	говорят об	1	1
280	быть признан	1	1
281	она не	3	1
282	мысли в	2	1
283	одна из	2	1
284	есть принцип	1	1
285	смысле и	1	1
286	в живого	1	1
287	и имеет	1	1
288	из их	1	1
289	этого конечно	1	1
290	все свои	1	1
291	которые могут	1	1
292	жизни не	3	1
293	бытию не	1	1
294	по своей	1	1
295	и мысли	1	1
296	к таким	1	1
297	и должно	2	1
298	есть только	1	1
299	во все	1	1
300	и всех	1	1
301	зависимости от	1	1
302	к тому	3	1
303	т.е к	1	1
304	жизни этих	1	1
305	всего что	1	1
306	политика в	1	1
307	социальные и	1	1
308	но сама	1	1
309	него как	1	1
310	оно может	1	1
311	более не	2	1
312	с ее	5	1
313	что все	2	1
314	как не	8	1
315	человек а	1	1
316	средних веков	1	1
317	и от	2	1
318	характер и	1	1
319	приводит к	1	1
320	культуры на	1	1
321	с собой	1	1
322	не с	1	1
323	и религии	1	1
324	который я	1	1
325	жить только	1	1
326	и даже	2	1
327	приобщается к	1	1
328	мы живем	5	1
329	суждения не	1	1
330	и начало	3	1
331	только так	1	1
332	в религии	2	1
333	можно сказать	1	1
334	в значительной	1	1
335	и во	1	1
336	а во	1	1
337	все в	1	1
338	но внутри	1	1
339	переходит в	1	1
340	внутри познания	1	1
341	истина не	1	1
342	но нет	1	1
343	нуждается в	1	1
344	это предполагает	1	1
345	к своеобразному	1	1
346	уже во	1	1
347	к ней	1	1
348	в каких	1	1
349	святой и	1	1
350	значит что	4	1
351	известном смысле	1	1
352	или нет	1	1
353	их не	1	1
354	изнутри и	1	1
355	нем нет	2	1
356	но будет	1	1
357	же и	1	1
358	в большинстве	1	1
359	истины не	1	1
360	есть проблема	1	1
361	мир и	2	1
362	он стремится	1	1
363	большинстве случаев	1	1
364	мир не	1	1
365	истории для	1	1
366	наше время	4	1
367	не для	1	1
368	так как	1	1
369	друг друга	1	1
370	они будут	1	1
371	к той	1	1
372	для решения	1	1
373	о словах	1	1
374	во власти	1	1
375	говорим о	1	1
376	и т.п	2	1
377	и из	1	1
378	мир все	1	1
379	на ее	1	1
380	до этого	1	1
381	нового времени	12	1
382	превращается в	1	1
383	уже давно	1	1
384	ничем не	1	1
385	зависит от	2	1
386	этих терминов	1	1
387	человеческой жизни	1	1
388	что мы	1	1
389	нет ничего	1	1
390	нашей мысли	1	1
391	эти слова	1	1
392	вместе с	2	1
393	мы говорим	2	1
394	в духе	3	1
395	будет знать	1	1
396	в бытие	1	1
397	но сам	1	1
398	когда мы	2	1
399	в мир	1	1
400	оставить в	1	1
401	это значит	1	1
402	есть мир	1	1
403	том смысле	1	1
404	будет и	2	1
405	жизни его	1	1
406	только для	1	1
407	мысли но	1	1
408	должны быть	1	1
409	она должна	1	1
410	за его	1	1
411	одного и	1	1
412	не существует	3	1
413	прав на	2	1
414	а к	1	1
415	вся культура	1	1
416	в эту	1	1
417	мы должны	1	1
418	все они	2	1
419	или не	1	1
420	уже нет	1	1
421	быть понята	1	1
422	но оно	1	1
423	лишь по	1	1
424	средние века	7	1
425	экономический материализм	1	1
426	равно как	2	1
427	того же	1	1
428	жизни а	1	1
429	культуры в	5	1
430	к единству	1	1
431	людей но	1	1
432	и культуры	2	1
433	который не	1	1
434	во всяком	1	1
435	все что	1	1
436	они не	1	1
