N	2gram	Medvedev_F_2	StatiiOP
1	и в	38	44
2	в том	11	36
3	и т	14	30
4	что в	7	30
5	том что	2	29
6	в этом	27	21
7	т д	5	21
8	вовсе не	11	19
9	не только	9	18
10	то что	6	18
11	было бы	6	17
12	о том	1	17
13	а в	6	17
14	а не	6	16
15	и не	20	16
16	может быть	23	15
17	т е	26	15
18	в области	3	14
19	в данном	1	14
20	как в	4	13
21	можно было	1	13
22	не в	15	12
23	в первой	1	12
24	самом деле	8	11
25	в этой	6	11
26	того чтобы	3	11
27	у нас	1	11
28	точки зрения	8	11
29	но в	4	10
30	ясно что	1	10
31	для того	3	10
32	что он	5	10
33	только в	6	10
34	но и	13	10
35	как и	9	9
36	в то	5	9
37	так и	8	9
38	во второй	2	9
39	если бы	5	9
40	того что	3	9
41	в его	10	9
42	т п	9	9
43	с другой	3	9
44	например в	3	8
45	статьи в	1	8
46	во всех	5	8
47	все же	8	8
48	но ведь	3	8
49	это не	2	8
50	из них	4	8
51	с точки	7	8
52	и его	21	8
53	не может	14	8
54	на эти	1	7
55	что они	4	7
56	в самом	16	7
57	в статье	4	7
58	таким образом	20	7
59	другой стороны	4	7
60	для нас	1	7
61	этом отношении	7	7
62	до сих	1	7
63	прежде всего	15	7
64	сих пор	1	7
65	сказать что	2	7
66	на самом	3	6
67	со стороны	2	6
68	из этих	3	6
69	в своей	7	6
70	и языка	1	6
71	потому что	2	6
72	данном случае	1	6
73	что и	8	6
74	всяком случае	5	6
75	так что	1	6
76	для него	7	6
77	именно в	5	6
78	дело в	1	6
79	в той	2	6
80	что же	5	6
81	но это	2	6
82	хотя бы	6	6
83	во всяком	5	6
84	вряд ли	2	5
85	и то	2	5
86	то же	6	5
87	той же	1	5
88	уже о	1	5
89	в целом	3	5
90	все эти	6	5
91	в нем	13	5
92	евгения онегина	1	5
93	и по	2	5
94	в слове	5	5
95	такой же	3	5
96	в котором	2	5
97	этой области	1	5
98	не менее	1	5
99	никогда не	2	5
100	могут быть	6	5
101	примеров из	1	5
102	так как	4	5
103	тем что	8	5
104	и даже	4	5
105	в стихотворениях	1	5
106	там где	4	5
107	все это	3	5
108	была бы	3	5
109	совершенно не	4	5
110	жизни и	3	5
111	так же	1	5
112	как это	2	4
113	это и	5	4
114	в которой	2	4
115	вопрос о	1	4
116	в основу	2	4
117	столь же	2	4
118	что это	3	4
119	на то	1	4
120	в россии	1	4
121	является не	2	4
122	но все	3	4
123	но если	1	4
124	том как	1	4
125	случае в	1	4
126	представление о	2	4
127	не имеет	2	4
128	же время	5	4
129	своей статье	3	4
130	как будто	1	4
131	научной работы	2	4
132	в ее	2	4
133	языка и	12	4
134	во втором	7	4
135	этот вопрос	2	4
136	в качестве	2	4
137	же и	2	4
138	никто не	1	4
139	как раз	6	4
140	не было	6	4
141	даже не	2	4
142	к которому	1	4
143	на эту	1	4
144	должна была	2	4
145	научного изучения	1	4
146	как бы	4	4
147	еще более	5	4
148	или иного	5	4
149	того или	4	4
150	гораздо более	1	4
151	же как	3	3
152	того же	1	3
153	и без	1	3
154	тем же	3	3
155	должна быть	5	3
156	то это	3	3
157	конечно и	1	3
158	в ней	6	3
159	он был	2	3
160	в чем	2	3
161	но не	2	3
162	или иное	1	3
163	к сожалению	2	3
164	в истории	6	3
165	общего с	1	3
166	с этим	5	3
167	как к	3	3
168	то в	2	3
169	задний план	1	3
170	ведь и	1	3
171	же это	2	3
172	в каждом	1	3
173	связанные с	1	3
174	же касается	1	3
175	в другом	1	3
176	и с	9	3
177	лишь в	7	3
178	и тем	2	3
179	даже в	2	3
180	кажется что	1	3
181	ни в	2	3
182	чем в	1	3
183	что не	4	3
184	тому что	2	3
185	что о	2	3
186	в конце	2	3
187	о значении	1	3
188	а на	1	3
189	не по	2	3
190	в основе	5	3
191	этих двух	2	3
192	стремление к	1	3
193	п в	1	3
194	в каком	1	3
195	в остальных	1	3
196	и вполне	1	3
197	должны быть	1	3
198	что оно	4	3
199	в применении	2	3
200	должен быть	1	3
201	для себя	1	3
202	то или	1	3
203	и нужно	2	3
204	между тем	2	3
205	и только	5	3
206	в какой	3	3
207	и так	1	3
208	по этому	2	3
209	с одной	1	3
210	если это	2	3
211	вопроса о	2	3
212	в виде	1	3
213	без всякой	3	3
214	а именно	2	3
215	что для	2	3
216	говорит о	1	3
217	на этот	1	3
218	применении к	2	3
219	в тех	2	3
220	да и	1	3
221	материал для	1	3
