N	2gram	Propp_Russ_1	Morfolog
1	может быть	8	52
2	и т	10	49
3	т д	9	47
4	и пр	2	40
5	таким образом	6	20
6	в сказке	1	19
7	не может	4	17
8	представляет собой	4	17
9	т е	17	16
10	в этих	3	16
11	могут быть	2	15
12	этих случаях	1	14
13	с этим	2	14
14	и в	36	13
15	в этом	12	13
16	и др	4	12
17	так как	15	12
18	связи с	4	11
19	чаще всего	3	11
20	мы видим	2	11
21	перед нами	1	11
22	видим что	1	10
23	заметить что	1	10
24	представляют собой	7	10
25	так и	7	9
26	в связи	4	9
27	то же	3	9
28	этом случае	5	9
29	и не	6	9
30	мы имеем	4	9
31	не всегда	1	9
32	а не	2	9
33	а затем	1	8
34	что и	7	8
35	по существу	4	8
36	все же	5	7
37	в тех	4	7
38	вопрос о	1	7
39	но если	1	7
40	в качестве	3	7
41	в лес	1	7
42	и здесь	2	6
43	в форме	1	6
44	а в	9	6
45	но не	2	6
46	может считаться	1	6
47	это не	10	6
48	не могут	1	6
49	в том	17	6
50	этот случай	1	6
51	во время	14	6
52	составные части	2	6
53	подобно тому	1	6
54	а также	3	6
55	в поле	3	5
56	не менее	3	5
57	или в	2	5
58	сюда же	1	5
59	мы не	6	5
60	во всех	4	5
61	наряду с	1	5
62	в образе	2	5
63	потому что	10	5
64	и другие	13	5
65	не все	1	5
66	мы увидим	8	5
67	один из	8	5
68	тому как	1	5
69	то что	6	5
70	далеко не	3	5
71	иногда в	2	5
72	как бы	5	5
73	как мы	10	4
74	как и	10	4
75	ни одна	1	4
76	видно что	6	4
77	так же	3	4
78	случае не	1	4
79	отношению к	1	4
80	точки зрения	3	4
81	раньше чем	1	4
82	там где	2	4
83	на этом	3	4
84	в некоторых	4	4
85	если в	3	4
86	об этом	9	4
87	тем что	4	4
88	его в	1	4
89	показать что	1	4
90	тем не	3	4
91	что в	19	4
92	хотя и	2	4
93	тех же	1	4
94	с точки	3	4
95	по отношению	1	4
96	как в	5	4
97	следующим образом	4	4
98	в других	11	4
99	ничего не	3	4
100	в сказку	1	4
101	в иных	1	4
102	два раза	1	4
103	также и	1	4
104	увидим ниже	3	4
105	несмотря на	3	4
106	было бы	1	4
107	не только	22	4
108	и как	2	4
