N	3gram	Tiupa_Hudo_1	StatiiOP
1	в том что	7	16
2	о том что	1	11
3	том что он	1	5
4	для того чтобы	2	5
5	к тому что	2	5
6	что он не	1	4
7	иметь в виду	1	3
8	так же как	1	3
9	с другой стороны	5	3
10	в сочетании с	1	2
11	в одной из	1	2
12	с точки зрения	3	2
13	в отличие от	7	2
14	бы то ни	1	2
15	как раз в	1	2
16	в значительной степени	1	2
17	то ни было	1	2
18	мере в какой	1	2
19	более или менее	5	2
20	той мере в	1	2
21	тем не менее	3	2
22	в той мере	1	2
23	к тому же	1	2
24	том что она	1	1
25	в виду что	1	1
26	следует подчеркнуть что	1	1
27	в настоящее время	1	1
28	в этом смысле	3	1
29	он не только	1	1
30	принадлежат к числу	1	1
31	для которого он	1	1
32	вследствие того что	1	1
33	с которыми он	1	1
34	точно так же	1	1
35	и др в	1	1
36	именно в этом	1	1
37	одно и то	3	1
38	не могло быть	2	1
39	себе отчет в	1	1
40	и то же	3	1
41	в известном смысле	1	1
42	по большей части	2	1
43	так или иначе	3	1
44	не может сомневаться	1	1
45	в связи с	1	1
46	не только к	1	1
47	и в том	1	1
48	относится не только	1	1
49	по отношению к	9	1
50	то же время	5	1
51	заключается в том	1	1
52	в то время	1	1
53	имея в виду	1	1
54	в свою очередь	2	1
55	в этом случае	1	1
56	но он не	2	1
57	в статье о	1	1
58	в данном отношении	1	1
59	в то же	5	1
60	в том числе	2	1
61	говорит что он	1	1
62	в отношении к	1	1
63	дело не в	1	1
