N	3gram	Bakhtin_sl_2	StatiiOP
1	и т д	2	21
2	в том что	4	17
3	о том что	1	11
4	для того чтобы	2	10
5	и т п	33	9
6	с точки зрения	3	8
7	до сих пор	2	7
8	в этом отношении	3	7
9	с другой стороны	1	6
10	во всяком случае	2	6
11	не может быть	15	5
12	то же время	4	4
13	не только в	2	4
14	так и в	3	4
15	того или иного	1	4
16	нужно сказать что	1	4
17	на то что	1	4
18	в то же	4	4
19	том что в	1	3
20	по отношению к	4	3
21	в применении к	1	3
22	это не значит	1	3
23	тем или иным	1	3
24	т п в	2	3
25	но все же	4	3
26	и даже не	1	2
27	в том числе	1	2
28	что не может	1	2
29	в этом случае	6	2
30	хотя бы и	2	2
31	а во второй	1	2
32	в той же	1	2
33	но и в	1	2
34	том числе и	1	2
35	может быть и	2	2
36	говорит о том	1	2
37	к сожалению не	1	2
38	но в то	3	2
39	с одной стороны	5	2
40	а также и	2	2
41	вовсе не в	1	2
42	речь идет о	1	2
43	тем не менее	1	2
44	как и в	1	2
45	не может не	1	1
46	именно там где	1	1
47	в той или	3	1
48	той или иной	5	1
49	чтобы оно не	1	1
50	а не в	1	1
51	далеко не все	1	1
52	целом ряде случаев	1	1
53	также и в	1	1
54	выйти за пределы	1	1
55	том что он	1	1
56	несколько слов о	2	1
57	дело не только	1	1
58	наук и в	1	1
59	заключается именно в	1	1
60	т п но	2	1
61	в лучшем случае	1	1
62	в зависимости от	4	1
63	сами по себе	1	1
64	что он не	1	1
65	все это очень	2	1
66	тот факт что	2	1
67	и в то	1	1
68	этом случае она	4	1
69	языка не может	2	1
70	во всех этих	1	1
71	всяком случае не	1	1
72	только с точки	1	1
73	а вовсе не	2	1
74	для правильного понимания	1	1
75	в целом ряде	1	1
76	именно в том	1	1
77	а в том	1	1
78	проявляется в том	1	1
79	сих пор не	2	1
80	таким образом в	1	1
81	лежащий в основе	1	1
82	и притом в	1	1
83	она ни была	1	1
84	те или иные	1	1
85	и не может	1	1
86	эпохи и в	1	1
87	языка может быть	2	1
88	ни в чем	2	1
89	мы говорим о	1	1
90	что как раз	1	1
91	в узком смысле	4	1
92	и его современников	1	1
93	и могут быть	1	1
94	и не в	1	1
95	он не только	1	1
