N	3gram	Vygotskiy__4	NovoeSre
1	не может быть	1	4
2	подобно тому как	1	3
3	в средние века	1	3
4	со всех сторон	1	3
5	равно как и	1	2
6	в этом смысле	1	2
7	что в нем	5	2
8	в нем нет	2	2
9	вместе с тем	2	2
10	так же как	3	2
11	с одной стороны	3	2
12	с другой стороны	2	2
13	ни одна из	1	2
14	в том и	1	2
15	она не может	1	2
16	что она не	1	1
17	что в этом	1	1
18	в своем развитии	1	1
19	как я уже	1	1
20	а не в	1	1
21	то время как	2	1
22	но это значит	1	1
23	но все время	1	1
24	мы должны перейти	1	1
25	же как и	1	1
26	потому что не	1	1
27	до сих пор	3	1
28	и не может	1	1
29	сами по себе	3	1
30	о том чтобы	1	1
31	жизни для этого	2	1
32	я уже говорил	1	1
33	можно было бы	4	1
34	бы сказать что	1	1
35	было бы сказать	2	1
36	которая в глубине	1	1
37	в том чтобы	3	1
38	не только в	1	1
39	жизни в этой	1	1
40	то что он	3	1
41	во всяком случае	3	1
42	он не хочет	1	1
43	я не могу	1	1
44	о том что	10	1
45	в то время	2	1
46	то что в	3	1
47	и вместе с	1	1
48	это и есть	3	1
49	и все они	1	1
50	и мы не	1	1
51	говорит что в	1	1
52	быть не может	1	1
53	в том что	12	1
