N	2gram	Berdyaev_V_1	DiskursI
1	не только	2	28
2	в том	3	23
3	а не	7	22
4	то есть	1	20
5	тогда как	1	19
6	том что	2	19
7	может быть	1	17
8	как и	4	16
9	и в	16	16
10	в этом	4	15
11	еще не	8	14
12	но и	5	14
13	но не	2	11
14	прежде всего	2	11
15	и не	20	11
16	как в	1	10
17	с другой	1	10
18	в нем	4	9
19	но в	3	8
20	так и	4	8
21	не было	3	7
22	то же	1	7
23	не в	3	7
24	роль в	1	7
25	в его	4	7
26	только в	2	7
27	в своем	1	6
28	и на	1	5
29	во всех	3	5
30	в котором	4	5
31	в их	1	5
32	в процессе	1	5
33	в себя	2	5
34	а с	2	5
35	как бы	5	5
36	к тому	3	5
37	а в	2	5
38	то что	9	5
39	в своей	3	5
40	в которых	1	4
41	с его	3	4
42	отношение к	1	4
43	в истории	8	4
44	уже не	2	4
45	в целом	1	4
46	лишь в	3	4
47	в них	3	4
48	потому что	4	4
49	могут быть	2	4
50	для себя	1	4
51	между тем	2	4
52	что он	4	4
53	для него	2	4
54	что не	4	4
55	что в	3	4
56	и потому	7	3
57	во мне	4	3
58	в самом	1	3
59	это не	2	3
60	ведет к	1	3
61	в своих	1	3
62	они и	2	3
63	как не	3	3
64	в ее	1	3
65	не с	2	3
66	что и	3	3
67	хотя бы	3	3
68	к ним	1	3
69	тем что	2	3
70	мира в	2	3
71	того что	5	3
72	один из	2	3
73	все же	1	3
74	другой стороны	1	3
75	и есть	4	2
76	он всегда	1	2
77	на себя	5	2
78	в виду	1	2
79	но как	1	2
80	в новом	1	2
81	хотя и	5	2
82	в противоположность	1	2
83	в этой	1	2
84	по словам	1	2
85	и по	1	2
86	на этом	1	2
87	человека в	1	2
88	и тем	1	2
89	не всегда	1	2
90	наших дней	1	2
91	по крайней	1	2
92	нельзя не	1	2
93	крайней мере	1	2
94	не есть	6	2
95	оно не	3	2
96	в едином	1	2
97	как мы	1	2
98	на том	2	2
99	и вообще	1	2
100	во всяком	2	2
101	и что	3	2
102	и во	2	2
103	в форме	2	2
104	в разные	1	2
105	и ее	1	2
106	современной культуры	1	2
107	уже в	1	2
108	или даже	1	2
109	в одном	1	2
110	никогда не	3	2
111	бы это	1	2
112	о чем	1	2
113	более чем	2	2
114	тем кто	2	2
115	жизни в	1	2
116	и было	1	2
117	и все	4	2
118	будто бы	1	2
119	может и	1	2
120	это в	1	2
121	они не	1	2
122	к этому	1	2
123	нем нет	2	1
124	речь идет	1	1
125	и то	2	1
126	от своей	2	1
127	и до	1	1
128	которое может	1	1
129	и за	2	1
130	говорить о	4	1
131	но она	1	1
132	я не	1	1
133	мы и	2	1
134	пока они	1	1
135	истории в	1	1
136	ее к	1	1
137	себе и	1	1
138	нет и	2	1
139	что они	7	1
140	что во	3	1
141	его на	1	1
142	человеческого бытия	1	1
143	и нет	1	1
144	проявляется как	1	1
145	со своей	1	1
146	в которой	1	1
147	бы и	3	1
148	что это	1	1
149	не был	1	1
150	личности по	1	1
151	жизнь как	1	1
152	в исторических	1	1
153	этом пути	1	1
154	они в	3	1
155	в понимании	1	1
156	чем у	1	1
157	не к	2	1
158	нашего времени	1	1
159	на земле	7	1
160	но все	1	1
161	не будет	2	1
162	значение в	1	1
163	в мире	5	1
164	в жизни	3	1
165	для них	2	1
166	с этой	1	1
167	с тем	2	1
168	мы не	2	1
169	в этих	3	1
170	на разных	1	1
171	таким же	1	1
172	в первый	3	1
173	он осуществляет	1	1
174	мир и	2	1
175	его к	2	1
176	что было	2	1
177	не могли	2	1
178	раз и	1	1
179	разные конкретные	1	1
180	как можно	1	1
181	не имеет	3	1
182	не по	1	1
183	мы все	1	1
184	и слишком	1	1
185	во всем	1	1
186	это слово	1	1
187	и теперь	2	1
188	на него	1	1
189	что на	1	1
190	не могут	2	1
191	в речах	1	1
192	всего в	2	1
193	его с	1	1
194	отказаться от	1	1
195	и это	2	1
196	значения и	2	1
197	и от	1	1
198	и сам	2	1
199	он говорит	1	1
200	живет в	1	1
201	основана на	1	1
202	в словах	1	1
203	себя не	1	1
204	теперь и	1	1
205	к нему	1	1
206	нет у	4	1
207	а потому	1	1
208	вслед за	2	1
209	а его	1	1
210	человека как	2	1
211	вообще в	1	1
212	и мы	3	1
213	красоте и	1	1
214	известном смысле	1	1
215	с ними	1	1
216	из сторон	1	1
217	имеет своим	1	1
218	не имеют	1	1
219	я в	1	1
220	ничего нельзя	1	1
221	то и	1	1
222	в виде	1	1
223	если в	1	1
224	слова не	1	1
225	в известном	1	1
226	присутствует в	1	1
227	но от	1	1
228	его и	2	1
229	за ним	3	1
230	в теоретическом	1	1
231	в прошлом	2	1
232	в конце	3	1
233	не случайно	1	1
234	может ли	1	1
235	что человек	1	1
236	и чем	1	1
237	еще и	1	1
238	себя и	1	1
239	о красоте	1	1
240	на которых	1	1
241	нового времени	1	1
242	говорит о	1	1
243	от этого	3	1
244	ничем не	1	1
245	сознания от	2	1
246	в одно	1	1
247	это лишь	1	1
248	разные эпохи	1	1
249	вместе с	1	1
250	как это	1	1
251	человека к	1	1
252	и будут	2	1
253	их к	1	1
254	если оно	1	1
255	и ведет	1	1
256	мировой жизни	4	1
257	да и	2	1
258	мировой истории	1	1
259	к чему	3	1
260	не создает	2	1
261	этого слова	1	1
262	в чем	3	1
263	о мире	1	1
264	указать на	1	1
265	не существует	1	1
266	в результате	1	1
267	вопрос о	1	1
268	это как	1	1
269	которая в	1	1
270	а к	2	1
271	у них	1	1
272	это он	1	1
273	но это	3	1
274	в мировом	1	1
275	в новых	1	1
276	личности и	3	1
277	богами и	1	1
278	людей но	1	1
279	и другие	1	1
280	им и	1	1
281	в роли	1	1
