N	3gram	Bakhtin_Pr_1	Mirosoze
1	не может быть	11	8
2	для того чтобы	2	4
3	его отношение к	1	4
4	что иное как	1	3
5	до сих пор	1	3
6	к тому что	1	3
7	в высшей степени	5	3
8	она никогда не	1	3
9	и в этом	1	3
10	это и есть	1	3
11	решения вопроса о	1	3
12	в творчестве достоевского	1	3
13	есть не что	1	3
14	не что иное	1	3
15	в чем не	2	2
16	подобно тому как	1	2
17	также и в	1	2
18	есть лишь момент	2	2
19	с самим собою	1	2
20	может быть и	1	2
21	в нем нет	1	2
22	по отношению к	19	2
23	ни в чем	2	2
24	как и в	1	2
25	может быть лишь	1	2
26	в том что	3	2
27	и для всякой	1	1
28	а между тем	1	1
29	а следовательно и	1	1
30	не проникает в	1	1
31	по своему значению	1	1
32	в нем и	1	1
33	на мир на	1	1
34	с точки зрения	6	1
35	не могли быть	1	1
36	но и в	2	1
37	между тем как	5	1
38	в этом отношении	2	1
39	во всех своих	2	1
40	на то что	1	1
41	и не проникает	1	1
42	поэтому она никогда	1	1
43	в своем творчестве	1	1
44	к миру и	2	1
45	в значительной степени	1	1
46	со всеми его	1	1
47	которые могли бы	1	1
48	смысле этого слова	1	1
49	и должно быть	1	1
50	не есть ни	1	1
51	по сравнению с	1	1
52	и менее всего	1	1
53	в этом направлении	1	1
54	как момент в	1	1
55	не для того	1	1
56	в свои права	1	1
57	в культуре не	1	1
58	та или иная	1	1
59	на протяжении всего	1	1
60	хотя бы в	1	1
61	той или иной	2	1
62	к которому он	1	1
63	если бы не	1	1
64	и если он	1	1
65	на самом деле	3	1
66	и в нем	3	1
67	во всех его	4	1
68	она не может	1	1
