N	3gram	Voloshinov_1	Hudozhes
1	той или иной	1	5
2	в том что	1	5
3	я и его	1	4
4	и того же	1	3
5	всех без исключения	1	3
6	с точки зрения	6	3
7	одного и того	1	3
8	в конечном счете	2	3
9	можно сказать что	3	3
10	в этом смысле	3	3
11	в коем случае	1	2
12	ни в коем	1	2
13	с одной стороны	1	2
14	а с другой	1	2
15	для того чтобы	1	2
16	на наших глазах	1	2
17	и прежде всего	1	2
18	я и мир	1	1
19	что иное как	1	1
20	однако в рамках	1	1
21	имеем в виду	1	1
22	подобно тому как	1	1
23	может быть это	3	1
24	бы то ни	1	1
25	сказать что для	1	1
26	с этой точки	1	1
27	по крайней мере	3	1
28	и со всеми	1	1
29	то ни было	1	1
30	таким образом и	1	1
31	в себя и	1	1
32	не могут быть	2	1
33	имеем дело с	1	1
34	его за пределы	1	1
35	в связи с	1	1
36	на этом пути	1	1
37	так же как	2	1
38	все то что	2	1
39	в свое время	1	1
40	по ту сторону	4	1
41	обратим внимание на	1	1
42	это и есть	1	1
43	во внешнем мире	1	1
44	прежде всего к	1	1
45	о том что	2	1
46	и теперь в	1	1
47	этой точки зрения	1	1
48	мы имеем в	1	1
49	таким образом с	1	1
50	не что иное	1	1
51	быть не может	1	1
52	не может быть	3	1
