N	2gram	Savitsky_P_1	EvropaiC
1	в том	9	31
2	и в	14	24
3	том что	4	20
4	не может	4	18
5	то что	4	17
6	может быть	5	15
7	все же	1	15
8	точки зрения	3	13
9	в своем	4	12
10	в этом	10	12
11	с этим	2	11
12	между тем	3	11
13	все это	2	11
14	во всех	2	10
15	культуры и	1	10
16	мы знаем	1	10
17	как бы	4	10
18	культуры в	2	10
19	на то	1	9
20	как и	1	9
21	с другом	1	9
22	друг с	1	9
23	в результате	1	9
24	что в	4	9
25	в самом	1	8
26	с точки	3	8
27	знаем что	1	8
28	не в	5	8
29	идет речь	1	8
30	ясно что	1	8
31	если бы	4	8
32	так же	1	8
33	из этих	1	7
34	в силу	2	7
35	европейской культуры	4	7
36	или менее	1	7
37	не менее	2	7
38	того чтобы	1	7
39	для этого	1	7
40	и что	1	7
41	для того	3	7
42	но и	6	7
43	и не	12	7
44	более или	1	7
45	о котором	1	7
46	должна быть	1	6
47	еще не	1	6
48	и на	1	6
49	в общем	2	6
50	в этой	1	6
51	в мире	2	6
52	и при	1	6
53	что и	1	6
54	того что	2	6
55	только в	7	6
56	мы можем	1	6
57	с другой	5	6
58	вместе с	1	6
59	в европе	2	6
60	как на	2	6
61	из всех	1	5
62	столь же	3	5
63	как к	1	5
64	и к	4	5
65	но в	9	5
66	в которой	1	5
67	что это	1	5
68	в себе	3	5
69	не только	17	5
70	и если	4	5
71	что все	1	5
72	и с	2	5
73	его в	1	5
74	и без	3	5
75	что с	1	5
76	в то	7	5
77	что при	1	5
78	по сравнению	2	5
79	в его	2	5
80	потому что	3	5
81	именно в	2	5
82	далеко не	1	5
83	другой стороны	1	5
84	сравнению с	1	5
85	и то	1	4
86	то же	9	4
87	что его	1	4
88	хотя и	3	4
89	значительная часть	1	4
90	из них	2	4
91	должно быть	2	4
92	этой области	1	4
93	что эта	1	4
94	многие из	1	4
95	тех кто	4	4
96	никогда не	1	4
97	в народе	1	4
98	если мы	1	4
99	не есть	1	4
100	в виде	2	4
101	без того	1	4
102	в области	11	4
103	а с	1	4
104	мы должны	4	4
105	хотя бы	8	4
106	как известно	1	3
107	же как	1	3
108	другие народы	2	3
109	вопрос о	1	3
110	не вполне	1	3
111	в данном	1	3
112	в истории	1	3
113	что по	1	3
114	в нем	3	3
115	и по	1	3
116	на этой	1	3
117	заключается в	3	3
118	это не	3	3
119	в жизни	2	3
120	с тем	3	3
121	в этих	1	3
122	что если	1	3
123	для нас	2	3
124	что оно	1	3
125	и это	2	3
126	с одной	3	3
127	настоящее время	1	3
128	может не	1	3
129	различия между	1	3
130	тот же	3	3
131	в эти	1	3
132	в начале	2	3
133	и других	2	3
134	от тех	1	3
135	каждый из	1	3
136	отличие от	1	3
137	прежде всего	3	3
138	и потому	4	3
139	по одному	1	3
140	случаях когда	1	3
141	в с	4	3
142	в настоящее	1	3
143	тем более	2	3
144	только что	1	3
145	а в	4	3
146	что мы	3	3
147	в психологии	1	3
148	которого в	1	2
149	в котором	4	2
150	также и	1	2
151	с ее	1	2
152	и ее	1	2
153	мы и	1	2
154	в ней	6	2
155	в а	2	2
156	во всяком	1	2
157	но как	1	2
158	совершенно ясно	1	2
159	более как	1	2
160	есть в	2	2
161	и где	1	2
162	у в	1	2
163	не очень	1	2
164	если он	1	2
165	но на	1	2
166	при виде	1	2
167	а затем	1	2
168	ценности и	1	2
169	в них	2	2
170	и особенно	1	2
171	и уже	1	2
172	в эту	2	2
173	давно уже	1	2
174	представить себе	1	2
175	на каждом	1	2
176	в которых	5	2
177	и более	1	2
178	она не	1	2
179	тем самым	3	2
180	тогда когда	1	2
181	одна из	2	2
182	говорить о	2	2
183	мы все	1	2
184	этих двух	1	2
185	заключает в	2	2
186	от нее	1	2
187	должен быть	1	2
188	современной европейской	2	2
189	рассматривать как	1	2
190	в себя	1	2
191	на нее	1	2
192	те же	1	2
193	веры в	1	2
194	чем другие	1	2
195	сводится к	3	2
196	именно потому	1	2
197	же время	7	2
198	них в	1	2
199	было бы	6	2
