N	3gram	Tiupa_Lite_1	Myshleni
1	по отношению к	2	12
2	в том что	11	11
3	с точки зрения	2	9
4	в этом отношении	2	5
5	с самого начала	1	5
6	в другом месте	1	4
7	не в состоянии	1	4
8	подобно тому как	2	4
9	из того что	2	4
10	к тому чтобы	1	4
11	с этой точки	3	4
12	этой точки зрения	3	4
13	о том что	2	4
14	и того же	1	3
15	состоит в том	5	3
16	в лучшем случае	1	3
17	до сих пор	1	3
18	можно было бы	1	3
19	с одной стороны	2	3
20	в свою очередь	1	3
21	не может быть	1	3
22	одного и того	1	3
23	в той мере	1	3
24	в самом деле	1	2
25	том что он	1	2
26	знает что он	1	2
27	в зависимости от	1	2
28	в отличие от	5	2
29	и то что	2	2
30	и в частности	1	2
31	но при этом	2	2
32	а с другой	1	2
33	с другой стороны	1	2
34	ничего общего с	1	2
35	но все же	1	2
36	и тем более	1	2
37	в основе этой	1	2
38	на самом деле	1	1
39	в этом последнем	1	1
40	как и во	1	1
41	есть альфа и	1	1
42	не столько в	1	1
43	в том числе	1	1
44	в том же	3	1
45	потому что я	1	1
46	как например в	1	1
47	только в том	2	1
48	для этой цели	1	1
49	несмотря на свою	1	1
50	то в чем	1	1
51	оно было бы	1	1
52	в равной мере	1	1
53	характеризуется тем что	1	1
54	не могло быть	2	1
55	а не только	1	1
56	обнаруживает в своем	1	1
57	в этой связи	1	1
58	еще и в	1	1
59	в себя и	1	1
60	все более и	1	1
61	и тем самым	2	1
62	в связи с	4	1
63	мы никогда не	1	1
64	а не как	1	1
65	исходит из того	1	1
66	в ходе исследования	1	1
67	как нам представляется	1	1
68	во всяком случае	2	1
69	в этом и	1	1
70	на эту тему	1	1
71	в полной мере	1	1
72	тем не менее	2	1
73	в себе поскольку	1	1
74	по аналогии с	3	1
75	подтверждают эту мысль	1	1
76	более и более	1	1
77	но в силу	1	1
78	в то же	5	1
79	а во второй	1	1
80	из прошлого в	1	1
81	тех или иных	1	1
82	возникают прежде всего	1	1
83	тем более не	1	1
84	альфа и омега	1	1
85	не нуждается в	1	1
86	что он в	1	1
87	программы при этом	1	1
88	том что для	1	1
