N	3gram	Potebnia_M_1	FransuaR
1	в том что	13	6
2	до сих пор	1	4
3	с точки зрения	3	3
4	в этом отношении	1	3
5	в применении к	2	3
6	дело в том	2	2
7	на самом деле	1	2
8	друг в друга	1	2
9	но и в	4	2
10	на этот вопрос	2	2
11	его связь с	1	2
12	с одной стороны	3	2
13	то есть только	1	2
14	и в том	3	2
15	так и в	3	2
16	как бы ни	2	2
17	но все же	1	2
18	между людьми и	1	1
19	и может быть	2	1
20	а между тем	3	1
21	зрения на мир	1	1
22	времен и народов	1	1
23	по отношению к	13	1
24	то есть по	1	1
25	и в более	1	1
26	всяком случае не	1	1
27	свое значение и	1	1
28	и не только	1	1
29	сами по себе	1	1
30	же объясняется и	1	1
31	сказать что и	1	1
32	и тела в	1	1
33	переходят друг в	1	1
34	в собственном смысле	1	1
35	и телесной жизни	1	1
36	о необходимости и	1	1
37	и мыслью и	1	1
38	для нас в	1	1
39	всех времен и	1	1
40	не могла бы	2	1
41	может быть только	1	1
42	но дело в	2	1
43	то есть его	1	1
44	чтобы убедиться в	1	1
45	не потому что	1	1
46	продолжает жить и	1	1
47	вовлекает в свой	1	1
48	жизни но и	1	1
49	бы ни были	1	1
50	но при этом	1	1
51	того что не	1	1
52	между тем в	1	1
53	не могут быть	2	1
54	в связи с	1	1
55	и даже по	1	1
56	все более и	2	1
57	во всяком случае	1	1
58	что касается до	1	1
59	с другой стороны	5	1
60	на деле же	1	1
61	что при таком	2	1
62	не может быть	9	1
63	во всем своем	1	1
64	как и всякая	1	1
65	убедиться в этом	1	1
66	то же время	3	1
67	в свой круг	1	1
68	то есть из	1	1
69	то что мы	1	1
70	имея в виду	1	1
71	ни для кого	1	1
72	в одном из	1	1
73	в самом зародыше	1	1
74	более и более	2	1
75	бы они ни	2	1
76	для того чтобы	2	1
77	точки зрения он	1	1
78	друг от друга	2	1
79	и многое другое	1	1
80	и говорит что	1	1
81	в то же	3	1
82	это приводит к	1	1
83	но это не	1	1
84	не только в	3	1
85	все то что	2	1
86	не может стать	1	1
